,State,550,556,563,570,577,584,591
0,Washington,NaN,5628,6903,8280,10109,12458,15559
1,Illinois,NaN,8431,13589,21528,33953,50772,66856
2,California,NaN,57111,96302,149606,209026,248666,246536
3,Arizona,NaN,11258,15849,21782,28928,37261,46014
4,Massachusetts,NaN,3095,5142,7891,11531,15797,19756
5,Wisconsin,NaN,2247,3179,4605,6777,9449,12144
6,Texas,NaN,42652,72986,125996,202086,275315,306927
7,Nebraska,NaN,390,376,382,435,528,654
8,Utah,NaN,2188,2214,2562,3254,4102,5217
9,Oregon,NaN,2600,3362,4213,5323,6687,8688
10,Florida,NaN,55434,72860,90629,107513,115876,110945
11,New York,NaN,10873,15531,21156,27975,35222,41526
12,Rhode Island,NaN,229,254,265,286,320,364
13,Georgia,NaN,13167,20376,30490,43821,56514,63127
14,New Hampshire,NaN,223,259,297,343,418,522
15,North Carolina,NaN,10634,16641,26051,40404,60285,78376
16,New Jersey,NaN,5048,7225,9678,12827,16363,19483
17,Colorado,NaN,3492,3618,3829,4128,4617,5238
18,Maryland,NaN,1621,2258,3025,4101,5646,7833
19,Nevada,NaN,6910,8054,10203,13896,18782,23886
20,Tennessee,NaN,8902,16128,27226,41722,52806,54694
21,Hawaii,NaN,1344,2082,3054,4328,5996,7596
22,Indiana,NaN,4239,5624,7585,10677,14939,20203
23,Kentucky,NaN,5164,8807,15523,25546,33806,33449
24,Minnesota,NaN,1568,2000,2542,3384,4578,6175
25,Oklahoma,NaN,4458,5960,7986,10591,14051,17691
26,Pennsylvania,NaN,3784,5899,9065,13921,20885,28167
27,South Carolina,NaN,5817,9950,16522,26096,36432,43705
28,District of Columbia,NaN,410,706,1032,1368,1672,1885
29,Kansas,NaN,4045,5350,6873,8657,10272,11157
30,Missouri,NaN,15976,18805,21647,24513,27070,29082
31,Vermont,NaN,71,78,88,102,123,146
32,Virginia,NaN,3931,5807,8749,13769,21479,31131
33,Connecticut,NaN,1685,2717,4136,6184,9072,12348
34,Iowa,NaN,1183,1537,2092,2955,4145,5681
35,Louisiana,NaN,18420,26127,33338,37248,36496,31877
36,Ohio,NaN,4797,7104,10496,16120,25515,39416
37,Michigan,NaN,3017,4234,6010,8594,12518,18591
38,South Dakota,NaN,168,181,222,304,426,597
39,Arkansas,NaN,12270,16866,20358,21538,20194,16703
40,Delaware,NaN,399,484,591,738,922,1140
41,Mississippi,NaN,5571,8510,12152,15546,17348,17383
42,New Mexico,NaN,1088,1402,1781,2233,2840,3426
43,North Dakota,NaN,151,176,222,288,411,547
44,Wyoming,NaN,468,489,511,572,677,762
45,Alaska,NaN,1250,1837,2589,3486,4298,4996
46,Maine,NaN,281,360,470,634,846,1179
47,Alabama,NaN,12114,20500,31618,43110,50369,49157
48,Idaho,NaN,1361,1779,2391,3298,4363,5625
49,Montana,NaN,470,565,688,853,1089,1412
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,568,680,789,951,1262,1631
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
