,State,494,500,507,514,521,528,535
0,Washington,NaN,5823,7712,10184,13258,16540,19203
1,Illinois,NaN,5531,4052,3060,2370,1962,1696
2,California,NaN,6422,6178,6312,6714,7575,8744
3,Arizona,NaN,3174,3630,4270,5124,6323,7813
4,Massachusetts,NaN,1362,845,535,332,218,141
5,Wisconsin,NaN,1633,1211,978,860,823,838
6,Texas,NaN,8421,8214,9194,11026,14308,19183
7,Nebraska,NaN,174,104,79,71,70,76
8,Utah,NaN,907,732,619,544,486,440
9,Oregon,NaN,2062,1644,1394,1203,1103,1008
10,Florida,NaN,11593,8687,6695,5350,4422,3901
11,New York,NaN,5786,4024,2891,2137,1663,1340
12,Rhode Island,NaN,129,69,55,51,53,54
13,Georgia,NaN,2643,2174,1948,1921,2037,2313
14,New Hampshire,NaN,404,251,165,107,71,48
15,North Carolina,NaN,3757,3038,2909,3218,3950,5025
16,New Jersey,NaN,1445,1314,1221,1193,1196,1251
17,Colorado,NaN,3462,2585,2029,1673,1437,1261
18,Maryland,NaN,1224,875,673,529,450,403
19,Nevada,NaN,917,628,435,312,235,200
20,Tennessee,NaN,1747,1309,1127,1143,1231,1438
21,Hawaii,NaN,248,136,76,49,38,30
22,Indiana,NaN,3118,2528,2224,2064,2135,2273
23,Kentucky,NaN,2161,1983,2099,2374,2875,3366
24,Minnesota,NaN,2221,1372,915,652,499,407
25,Oklahoma,NaN,712,610,574,569,604,669
26,Pennsylvania,NaN,5508,4055,3187,2677,2457,2446
27,South Carolina,NaN,1727,1544,1467,1525,1659,1905
28,District of Columbia,NaN,130,107,88,67,48,37
29,Kansas,NaN,609,435,330,280,249,236
30,Missouri,NaN,1822,1820,2021,2400,3107,4182
31,Vermont,NaN,99,55,34,22,18,14
32,Virginia,NaN,1476,1157,993,939,927,994
33,Connecticut,NaN,642,396,258,171,119,86
34,Iowa,NaN,514,355,284,261,257,277
35,Louisiana,NaN,1964,2047,2371,2911,3785,5269
36,Ohio,NaN,4218,3428,2972,2759,2682,2726
37,Michigan,NaN,4584,2676,1633,1070,760,584
38,South Dakota,NaN,102,65,44,38,35,34
39,Arkansas,NaN,816,774,820,975,1224,1663
40,Delaware,NaN,486,368,290,234,189,158
41,Mississippi,NaN,641,616,639,719,842,1046
42,New Mexico,NaN,497,420,376,345,326,316
43,North Dakota,NaN,230,182,160,146,147,160
44,Wyoming,NaN,172,189,210,248,314,400
45,Alaska,NaN,149,101,75,56,46,40
46,Maine,NaN,678,419,279,194,148,117
47,Alabama,NaN,1266,1135,1136,1234,1464,1887
48,Idaho,NaN,700,624,575,562,564,604
49,Montana,NaN,367,302,276,267,270,279
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,1059,906,885,919,1014,1191
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
