,State,501,507,514,521,528,535,542
0,Washington,NaN,4165,3471,2910,2518,2265,2126
1,Illinois,NaN,2982,1693,1019,691,552,477
2,California,NaN,5567,5415,5780,6802,8619,11325
3,Arizona,NaN,2331,1621,1126,790,572,441
4,Massachusetts,NaN,804,471,282,171,107,69
5,Wisconsin,NaN,896,557,406,343,333,348
6,Texas,NaN,5629,4718,4296,4199,4368,4656
7,Nebraska,NaN,175,174,182,197,227,270
8,Utah,NaN,831,783,747,743,773,824
9,Oregon,NaN,1554,1185,946,786,683,622
10,Florida,NaN,7315,5170,3868,3007,2479,2128
11,New York,NaN,3397,2022,1266,837,594,445
12,Rhode Island,NaN,159,92,59,45,39,35
13,Georgia,NaN,1842,1425,1254,1195,1231,1351
14,New Hampshire,NaN,204,109,60,36,25,18
15,North Carolina,NaN,1868,1085,763,669,665,730
16,New Jersey,NaN,1320,1254,1261,1335,1483,1731
17,Colorado,NaN,2996,2681,2520,2467,2538,2669
18,Maryland,NaN,698,420,268,193,150,129
19,Nevada,NaN,1060,1327,1636,2050,2601,3258
20,Tennessee,NaN,931,563,392,317,299,313
21,Hawaii,NaN,193,135,105,86,79,74
22,Indiana,NaN,2121,1559,1262,1143,1128,1190
23,Kentucky,NaN,1392,1054,910,876,910,1000
24,Minnesota,NaN,1057,522,274,172,129,106
25,Oklahoma,NaN,622,578,582,604,678,785
26,Pennsylvania,NaN,3067,1870,1189,807,584,453
27,South Carolina,NaN,1109,791,612,530,492,490
28,District of Columbia,NaN,146,149,137,124,110,100
29,Kansas,NaN,387,270,217,202,206,228
30,Missouri,NaN,1887,2110,2591,3442,4688,5930
31,Vermont,NaN,44,17,7,7,3,0
32,Virginia,NaN,1015,768,655,620,633,656
33,Connecticut,NaN,352,197,118,70,45,31
34,Iowa,NaN,328,239,203,204,219,241
35,Louisiana,NaN,1629,1581,1757,2141,2787,3882
36,Ohio,NaN,2498,1627,1174,949,851,823
37,Michigan,NaN,2190,1091,587,356,255,207
38,South Dakota,NaN,55,31,20,17,15,15
39,Arkansas,NaN,645,564,549,597,690,874
40,Delaware,NaN,240,146,92,59,45,33
41,Mississippi,NaN,469,400,392,424,500,628
42,New Mexico,NaN,282,193,146,121,109,97
43,North Dakota,NaN,154,116,93,95,100,104
44,Wyoming,NaN,192,222,272,342,448,605
45,Alaska,NaN,101,65,50,35,30,28
46,Maine,NaN,356,186,110,70,50,39
47,Alabama,NaN,1112,1140,1314,1648,2263,3279
48,Idaho,NaN,536,449,388,376,367,379
49,Montana,NaN,310,242,209,189,187,190
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,755,598,558,590,655,764
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
