,State,165,171,178,185,192,199
0,Washington,1359,83,98,122,153,183
1,Illinois,7020,271,300,345,395,439
2,California,6373,909,1081,1255,1391,1472
3,Arizona,1825,280,316,345,367,376
4,Massachusetts,8183,123,120,121,127,131
5,Wisconsin,796,83,100,124,148,171
6,Texas,3000,509,603,695,770,818
7,Nebraska,284,42,43,44,45,45
8,Utah,184,50,61,73,84,92
9,Oregon,215,36,50,68,88,108
10,Florida,3731,483,551,618,666,696
11,New York,32244,323,351,399,451,495
12,Rhode Island,960,4,4,6,7,9
13,Georgia,2860,214,232,244,252,251
14,New Hampshire,381,18,20,24,29,33
15,North Carolina,1423,223,273,324,373,407
16,New Jersey,15211,218,236,267,312,359
17,Colorado,1701,84,92,100,107,113
18,Maryland,3243,163,179,196,214,225
19,Nevada,534,74,91,108,126,136
20,Tennessee,645,121,137,152,164,169
21,Hawaii,19,0,1,1,2,4
22,Indiana,2693,123,138,154,169,178
23,Kentucky,585,67,85,106,129,147
24,Minnesota,1508,115,134,159,188,208
25,Oklahoma,398,40,41,44,46,46
26,Pennsylvania,6753,205,228,255,285,313
27,South Carolina,820,119,138,155,168,178
28,District of Columbia,559,14,19,24,31,38
29,Kansas,284,42,50,60,70,79
30,Missouri,1051,72,83,95,106,115
31,Vermont,56,1,2,2,3,4
32,Virginia,1853,156,177,217,274,333
33,Connecticut,4335,44,48,54,61,68
34,Iowa,721,57,56,55,52,50
35,Louisiana,3288,165,188,212,226,230
36,Ohio,2911,275,340,427,520,599
37,Michigan,6218,153,185,230,277,322
38,South Dakota,97,15,16,15,16,16
39,Arkansas,287,55,58,58,58,59
40,Delaware,512,32,39,47,56,61
41,Mississippi,1111,78,82,84,86,84
42,New Mexico,513,40,48,60,76,91
43,North Dakota,80,11,12,12,12,12
44,Wyoming,20,4,4,4,4,4
45,Alaska,16,5,6,7,8,10
46,Maine,109,8,10,13,16,21
47,Alabama,1007,137,151,162,168,170
48,Idaho,93,16,19,24,28,32
49,Montana,23,6,7,9,11,13
50,Puerto Rico,155,5,5,4,4,4
51,Virgin Islands,6,0,0,0,0,0
52,Guam,5,0,0,0,0,0
53,West Virginia,94,12,15,18,22,25
54,Northern Mariana Islands,2,0,0,0,0,0
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
