,Region,523,528,535,542,549
0,Belgium,,1656,1059,702,489
1,Bulgaria,,612,520,444,380
2,Czechia,,446,335,275,241
3,Denmark,,774,389,207,127
4,Germany,,2997,1775,1061,638
5,Estonia,,140,95,67,50
6,Ireland,,2228,2155,2084,2016
7,Greece,,2321,1725,1290,975
8,Spain,,19445,17541,16094,14936
9,France,,4232,1501,444,110
10,Croatia,,73,39,24,17
11,Italy,,3794,2460,1593,1036
12,Cyprus,,899,872,816,759
13,Latvia,,213,76,6,0
14,Lithuania,,288,145,68,30
15,Luxembourg,,112,86,67,53
16,Hungary,,401,318,260,215
17,Malta,,17,14,13,11
18,Netherlands,,3925,2764,1942,1355
19,Austria,,617,402,259,164
20,Poland,,536,322,201,132
21,Portugal,,10646,11660,11773,11272
22,Romania,,205,147,111,87
23,Slovenia,,123,42,16,9
24,Slovakia,,202,150,113,85
25,Finland,,334,245,169,105
26,Sweden,,600,425,297,202
27,United Kingdom,,102749,101131,94760,87884
28,Iceland,,1,0,0,0
29,Liechtenstein,,2,2,1,1
30,Norway,,877,714,583,477
31,Switzerland,,630,444,337,270
