,Region,663,668,675,682,689
0,Belgium,,67490,74396,76384,74250
1,Bulgaria,,24003,22046,20206,18496
2,Czechia,,88363,96533,93538,86109
3,Denmark,,20220,21216,20749,19619
4,Germany,,291833,305010,292781,273155
5,Estonia,,9065,8540,8041,7571
6,Ireland,,32209,34818,35077,33633
7,Greece,,55521,60413,61159,58865
8,Spain,,17306,16701,16166,15686
9,France,,66241,65167,61353,57071
10,Croatia,,46113,48764,47243,44146
11,Italy,,55807,58274,56563,53500
12,Cyprus,,1673,1715,1659,1565
13,Latvia,,10640,9290,8066,6966
14,Lithuania,,18392,18309,18078,17615
15,Luxembourg,,1452,1474,1425,1363
16,Hungary,,37887,39208,36941,34060
17,Malta,,314,294,258,221
18,Netherlands,,102167,104687,99767,92842
19,Austria,,86928,95767,94680,89556
20,Poland,,118231,126124,122992,116267
21,Portugal,,9604,9707,9346,8845
22,Romania,,34820,22891,14337,8615
23,Slovenia,,26122,26097,24728,23052
24,Slovakia,,49677,52977,51850,48726
25,Finland,,4725,4815,4758,4569
26,Sweden,,4274,3928,3590,3275
27,United Kingdom,,231079,214718,199591,185661
28,Iceland,,1066,1063,1004,935
29,Liechtenstein,,112,108,104,100
30,Norway,,12588,12245,11511,10751
31,Switzerland,,19751,18127,16308,14597
