,Region,677,682,689,696,703
0,Belgium,,117112,113372,107002,99985
1,Bulgaria,,11475,8576,6337,4647
2,Czechia,,145308,142004,130858,119620
3,Denmark,,30870,30483,28933,27064
4,Germany,,459257,464968,445252,419113
5,Estonia,,2322,1214,580,261
6,Ireland,,33840,32986,31219,29128
7,Greece,,48433,46062,42973,39663
8,Spain,,49121,49860,47749,44794
9,France,,163407,159811,149056,137389
10,Croatia,,36957,35826,33779,31414
11,Italy,,82587,80453,75400,69870
12,Cyprus,,2497,2407,2255,2092
13,Latvia,,5244,3935,2841,1934
14,Lithuania,,10519,8990,7724,6692
15,Luxembourg,,2103,2102,2013,1888
16,Hungary,,72658,71604,67836,63380
17,Malta,,587,557,512,466
18,Netherlands,,178911,184612,178834,169139
19,Austria,,105250,105728,101448,95978
20,Poland,,194414,212012,213278,203186
21,Portugal,,22803,24526,24170,22928
22,Romania,,6345,2650,1023,392
23,Slovenia,,18008,16674,15396,14192
24,Slovakia,,84621,84020,80072,75037
25,Finland,,7615,7496,7149,6747
26,Sweden,,9054,9010,8617,8068
27,United Kingdom,,293997,269085,240818,214557
28,Iceland,,1030,975,910,841
29,Liechtenstein,,370,357,330,303
30,Norway,,18648,18465,17618,16626
31,Switzerland,,45955,45001,42307,39406
