,County,324,332,339
0,01001,3233,345,380
1,01003,10489,1278,1448
2,01005,1264,95,115
3,01007,1398,149,180
4,01009,3663,450,488
5,01011,723,50,62
6,01013,1289,122,145
7,01015,7658,908,999
8,01017,1982,161,186
9,01019,1167,107,124
10,01021,2514,230,270
11,01023,444,31,41
12,01025,1760,159,188
13,01027,995,76,95
14,01029,870,81,95
15,01031,2854,300,341
16,01033,3736,361,424
17,01035,773,63,75
18,01037,426,48,49
19,01039,2487,213,258
20,01041,766,57,71
21,01043,5541,656,735
22,01045,2713,264,327
23,01047,2481,207,247
24,01049,5721,577,626
25,01051,4870,565,642
26,01053,2234,171,202
27,01055,7819,947,1057
28,01057,1143,144,150
29,01059,2828,261,324
30,01061,1388,122,136
31,01063,528,70,80
32,01065,1110,112,139
33,01067,961,80,96
34,01069,5970,553,675
35,01071,4232,555,635
36,01073,39541,5001,5525
37,01075,830,105,119
38,01077,4970,547,618
39,01079,1541,160,185
40,01081,8595,800,930
41,01083,5147,586,678
42,01085,852,73,89
43,01087,831,80,92
44,01089,16459,2171,2475
45,01091,1400,141,172
46,01093,1648,179,215
47,01095,7650,862,964
48,01097,21937,1863,2272
49,01099,908,78,99
50,01101,13557,1152,1376
51,01103,8259,1034,1140
52,01105,734,58,70
53,01107,1383,124,149
54,01109,1723,141,178
55,01111,1118,82,94
56,01113,2446,207,249
57,01115,5107,549,589
58,01117,12411,1429,1682
59,01119,643,61,71
60,01121,4241,472,559
61,01123,2036,167,196
62,01125,15100,1638,1951
63,01127,4355,501,552
64,01129,1003,83,100
65,01131,699,63,74
66,01133,1621,175,202
67,02013,40,4,4
68,02016,156,37,38
69,02020,19825,2352,2491
70,02050,1874,233,224
71,02060,0,6,8
72,02068,53,6,6
73,02070,108,8,9
74,02090,4171,533,554
75,02100,19,1,2
76,02105,0,,NaN
77,02110,948,86,97
78,02122,3175,388,409
79,02130,221,20,22
80,02150,637,165,157
81,02158,586,,NaN
82,02164,152,0,0
83,02170,5293,787,833
84,02180,249,19,21
85,02185,631,83,90
86,02188,382,34,39
87,02195,29,2,3
88,02198,64,8,9
89,02220,229,24,25
90,02230,11,1,1
91,02240,357,48,49
92,02261,297,30,34
93,02275,23,2,3
94,02282,50,,NaN
95,02290,189,17,20
96,04001,6272,695,825
97,04003,4925,798,834
98,04005,8841,1011,1124
99,04007,3532,399,452
