,State,424,430
0,Washington,354782,5949
1,Illinois,1221775,14565
2,California,3641105,14446
3,Arizona,836253,1571
4,Massachusetts,614668,13251
5,Wisconsin,629407,3804
6,Texas,2754616,22967
7,Nebraska,206388,1901
8,Utah,381629,2897
9,Oregon,161531,1686
10,Florida,2008349,29667
11,New York,1782769,40183
12,Rhode Island,133039,2702
13,Georgia,1045694,12104
14,New Hampshire,80543,2061
15,North Carolina,895263,12270
16,New Jersey,865886,31894
17,Colorado,450630,8102
18,Maryland,400023,6863
19,Nevada,301178,1566
20,Tennessee,798621,10424
21,Hawaii,29120,700
22,Indiana,677905,5280
23,Kentucky,420828,4161
24,Minnesota,505224,9546
25,Oklahoma,434491,2963
26,Pennsylvania,988656,22120
27,South Carolina,541582,6871
28,District of Columbia,43229,655
29,Kansas,301519,1285
30,Missouri,575253,3764
31,Vermont,17740,820
32,Virginia,604904,9493
33,Connecticut,296691,6724
34,Iowa,345785,2729
35,Louisiana,439737,2654
36,Ohio,999750,9357
37,Michigan,691070,24898
38,South Dakota,115867,1464
39,Arkansas,328655,1974
40,Delaware,92287,2028
41,Mississippi,302837,1783
42,New Mexico,189731,1291
43,North Dakota,101651,644
44,Wyoming,55581,459
45,Alaska,61086,882
46,Maine,48464,1443
47,Alabama,511460,3782
48,Idaho,177420,2503
49,Montana,103060,1292
50,Puerto Rico,104516,1684
51,Virgin Islands,2767,6
52,Guam,7780,33
53,West Virginia,137826,2324
54,Northern Mariana Islands,157,7
55,American Samoa,0,0
