,State,417,423
0,Washington,349425,4479
1,Illinois,1209245,10265
2,California,3623063,14783
3,Arizona,832743,6795
4,Massachusetts,602308,9325
5,Wisconsin,625359,3243
6,Texas,2727462,23888
7,Nebraska,204638,1498
8,Utah,378379,3288
9,Oregon,159617,2199
10,Florida,1976808,28205
11,New York,1741363,47079
12,Rhode Island,130502,2270
13,Georgia,1033786,6603
14,New Hampshire,78615,1389
15,North Carolina,882715,7247
16,New Jersey,837861,24992
17,Colorado,443968,7650
18,Maryland,393441,6294
19,Nevada,299287,2716
20,Tennessee,789652,8027
21,Hawaii,28554,606
22,Indiana,672554,5062
23,Kentucky,416215,4437
24,Minnesota,497392,7288
25,Oklahoma,432483,3040
26,Pennsylvania,968259,16808
27,South Carolina,533421,6597
28,District of Columbia,42511,1171
29,Kansas,299995,1883
30,Missouri,571005,3741
31,Vermont,16890,596
32,Virginia,594735,8188
33,Connecticut,290577,5537
34,Iowa,342886,2789
35,Louisiana,437393,2616
36,Ohio,989191,9845
37,Michigan,670088,15787
38,South Dakota,114623,1207
39,Arkansas,326943,2185
40,Delaware,90381,1924
41,Mississippi,300780,3735
42,New Mexico,188311,997
43,North Dakota,100976,570
44,Wyoming,55163,428
45,Alaska,60207,786
46,Maine,47032,1110
47,Alabama,503673,4158
48,Idaho,175236,2302
49,Montana,101760,857
50,Puerto Rico,102995,1709
51,Virgin Islands,2767,32
52,Guam,7768,22
53,West Virginia,135468,1930
54,Northern Mariana Islands,154,3
55,American Samoa,0,0
