,State,382,388
0,Washington,320146,6344
1,Illinois,1146346,17108
2,California,3417982,61227
3,Arizona,780637,17659
4,Massachusetts,543934,15188
5,Wisconsin,600782,6909
6,Texas,2494861,101668
7,Nebraska,193722,1743
8,Utah,354608,6525
9,Oregon,147122,3643
10,Florida,1777983,49805
11,New York,1480224,44799
12,Rhode Island,117891,2094
13,Georgia,940991,23608
14,New Hampshire,68379,1790
15,North Carolina,796195,30324
16,New Jersey,722167,16838
17,Colorado,405330,8462
18,Maryland,363650,6340
19,Nevada,284042,4315
20,Tennessee,744600,14176
21,Hawaii,26684,579
22,Indiana,639711,10191
23,Kentucky,377790,13601
24,Minnesota,468118,5553
25,Oklahoma,403954,13380
26,Pennsylvania,873146,23331
27,South Carolina,466373,19661
28,District of Columbia,38035,935
29,Kansas,283926,4985
30,Missouri,481929,6139
31,Vermont,12900,912
32,Virginia,529125,27309
33,Connecticut,259372,6396
34,Iowa,324590,4167
35,Louisiana,411812,7082
36,Ohio,920217,18915
37,Michigan,620685,8032
38,South Dakota,109229,981
39,Arkansas,306736,11606
40,Delaware,80594,1279
41,Mississippi,281678,3641
42,New Mexico,177556,2845
43,North Dakota,98155,339
44,Wyoming,52627,741
45,Alaska,55259,1100
46,Maine,41219,1017
47,Alabama,472423,10075
48,Idaho,165209,1997
49,Montana,95790,1813
50,Puerto Rico,95839,1771
51,Virgin Islands,2466,70
52,Guam,7636,58
53,West Virginia,124708,2797
54,Northern Mariana Islands,133,2
55,American Samoa,0,0
