,State,403,409
0,Washington,339773,5789
1,Illinois,1186613,12026
2,California,3566914,23749
3,Arizona,816782,8086
4,Massachusetts,581148,12416
5,Wisconsin,617367,4254
6,Texas,2653013,41729
7,Nebraska,200882,2255
8,Utah,371235,3672
9,Oregon,155597,2470
10,Florida,1909221,34780
11,New York,1643867,45524
12,Rhode Island,125622,2197
13,Georgia,1006521,20826
14,New Hampshire,75424,1720
15,North Carolina,858548,15685
16,New Jersey,789356,23123
17,Colorado,428303,8175
18,Maryland,382099,4703
19,Nevada,293754,2929
20,Tennessee,775004,10131
21,Hawaii,27759,473
22,Indiana,661673,5470
23,Kentucky,404622,8794
24,Minnesota,484594,5685
25,Oklahoma,424508,4016
26,Pennsylvania,933261,15647
27,South Carolina,516823,11770
28,District of Columbia,40598,982
29,Kansas,295997,2018
30,Missouri,495047,3151
31,Vermont,15198,712
32,Virginia,576050,8883
33,Connecticut,279946,9231
34,Iowa,363636,11340
35,Louisiana,430100,7538
36,Ohio,967422,11407
37,Michigan,645550,10458
38,South Dakota,112427,1134
39,Arkansas,322415,3413
40,Delaware,86799,2118
41,Mississippi,294795,3514
42,New Mexico,185132,1758
43,North Dakota,99809,392
44,Wyoming,54394,556
45,Alaska,58263,553
46,Maine,44635,1172
47,Alabama,493252,6008
48,Idaho,171140,1999
49,Montana,99954,1059
50,Puerto Rico,100297,985
51,Virgin Islands,2646,74
52,Guam,7734,14
53,West Virginia,131855,2504
54,Northern Mariana Islands,143,0
55,American Samoa,0,0
