,State,298,304
0,Washington,130040,14290
1,Illinois,573616,103856
2,California,1032095,71447
3,Arizona,275436,18627
4,Massachusetts,188275,21105
5,Wisconsin,329924,58190
6,Texas,1073590,84813
7,Nebraska,98161,17661
8,Utah,153808,25396
9,Oregon,56880,8247
10,Florida,885201,44666
11,New York,560200,41367
12,Rhode Island,41529,6170
13,Georgia,424989,28085
14,New Hampshire,14682,2660
15,North Carolina,312235,19334
16,New Jersey,279274,27673
17,Colorado,163417,42525
18,Maryland,165930,14870
19,Nevada,120183,12084
20,Tennessee,310937,25804
21,Hawaii,16759,743
22,Indiana,251597,46086
23,Kentucky,137586,21172
24,Minnesota,223581,46842
25,Oklahoma,154128,21654
26,Pennsylvania,268696,37806
27,South Carolina,195507,12267
28,District of Columbia,18977,969
29,Kansas,117564,14161
30,Missouri,244541,41910
31,Vermont,2889,662
32,Virginia,201960,11667
33,Connecticut,88645,12481
34,Iowa,186314,46085
35,Louisiana,204513,7221
36,Ohio,298096,56748
37,Michigan,275792,54995
38,South Dakota,65381,11831
39,Arkansas,133040,12473
40,Delaware,28803,2862
41,Mississippi,134309,9487
42,New Mexico,64201,10370
43,North Dakota,63796,11599
44,Wyoming,22494,5814
45,Alaska,23814,4707
46,Maine,8944,1584
47,Alabama,217822,16105
48,Idaho,82245,10166
49,Montana,47158,7897
50,Puerto Rico,42479,4672
51,Virgin Islands,1434,21
52,Guam,5924,537
53,West Virginia,33659,6223
54,Northern Mariana Islands,102,6
55,American Samoa,0,0
