,Region,699,703,710,717,724
0,Belgium,,391,391,391,391
1,Bulgaria,,561,561,561,561
2,Czechia,,772,772,772,772
3,Denmark,,62,62,62,62
4,Germany,,2596,2596,2596,2596
5,Estonia,,34,34,34,34
6,Ireland,,47,47,47,47
7,Greece,,642,642,642,642
8,Spain,,327,327,327,327
9,France,,1003,1003,1003,1003
10,Croatia,,356,356,356,356
11,Italy,,779,779,779,779
12,Cyprus,,11,11,11,11
13,Latvia,,72,72,72,72
14,Lithuania,,141,141,141,141
15,Luxembourg,,8,8,8,8
16,Hungary,,1101,1101,1101,1101
17,Malta,,1,1,1,1
18,Netherlands,,346,346,346,346
19,Austria,,319,319,319,319
20,Poland,,3001,3001,3001,3001
21,Portugal,,108,108,108,108
22,Romania,,612,612,612,612
23,Slovenia,,89,89,89,89
24,Slovakia,,627,627,627,627
25,Finland,,33,33,33,33
26,Sweden,,40,40,40,40
27,United Kingdom,,786,786,786,786
28,Iceland,,1,1,1,1
29,Liechtenstein,,1,1,1,1
30,Norway,,68,68,68,68
31,Switzerland,,161,161,161,161
