,Region,712,717,724,731,738
0,Belgium,,182,182,182,182
1,Bulgaria,,455,455,455,455
2,Czechia,,490,490,490,490
3,Denmark,,85,85,85,85
4,Germany,,1790,1790,1790,1790
5,Estonia,,31,31,31,31
6,Ireland,,22,22,22,22
7,Greece,,440,440,440,440
8,Spain,,386,386,386,386
9,France,,1287,1287,1287,1287
10,Croatia,,292,292,292,292
11,Italy,,983,983,983,983
12,Cyprus,,10,10,10,10
13,Latvia,,77,77,77,77
14,Lithuania,,138,138,138,138
15,Luxembourg,,8,8,8,8
16,Hungary,,879,879,879,879
17,Malta,,3,3,3,3
18,Netherlands,,246,246,246,246
19,Austria,,123,123,123,123
20,Poland,,3248,3248,3248,3248
21,Portugal,,115,115,115,115
22,Romania,,243,243,243,243
23,Slovenia,,62,62,62,62
24,Slovakia,,329,329,329,329
25,Finland,,57,57,57,57
26,Sweden,,45,45,45,45
27,United Kingdom,,921,921,921,921
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,48,48,48,48
31,Switzerland,,156,156,156,156
