,Region,544,549,556,563,570
0,Belgium,,11,11,11,11
1,Bulgaria,,29,29,29,29
2,Czechia,,5,5,5,5
3,Denmark,,3,3,3,3
4,Germany,,130,130,130,130
5,Estonia,,1,1,1,1
6,Ireland,,12,12,12,12
7,Greece,,53,53,53,53
8,Spain,,93,93,93,93
9,France,,123,123,123,123
10,Croatia,,9,9,9,9
11,Italy,,96,96,96,96
12,Cyprus,,4,4,4,4
13,Latvia,,7,7,7,7
14,Lithuania,,6,6,6,6
15,Luxembourg,,1,1,1,1
16,Hungary,,11,11,11,11
17,Malta,,0,0,0,0
18,Netherlands,,10,10,10,10
19,Austria,,5,5,5,5
20,Poland,,53,53,53,53
21,Portugal,,51,51,51,51
22,Romania,,36,36,36,36
23,Slovenia,,2,2,2,2
24,Slovakia,,5,5,5,5
25,Finland,,3,3,3,3
26,Sweden,,3,3,3,3
27,United Kingdom,,284,284,284,284
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,0,0,0,0
31,Switzerland,,4,4,4,4
