,Region,684,689,696,703,710
0,Belgium,,327,327,327,327
1,Bulgaria,,762,762,762,762
2,Czechia,,832,832,832,832
3,Denmark,,76,76,76,76
4,Germany,,2156,2156,2156,2156
5,Estonia,,26,26,26,26
6,Ireland,,55,55,55,55
7,Greece,,655,655,655,655
8,Spain,,204,204,204,204
9,France,,568,568,568,568
10,Croatia,,455,455,455,455
11,Italy,,525,525,525,525
12,Cyprus,,10,10,10,10
13,Latvia,,131,131,131,131
14,Lithuania,,153,153,153,153
15,Luxembourg,,14,14,14,14
16,Hungary,,1256,1256,1256,1256
17,Malta,,0,0,0,0
18,Netherlands,,370,370,370,370
19,Austria,,404,404,404,404
20,Poland,,2644,2644,2644,2644
21,Portugal,,109,109,109,109
22,Romania,,852,852,852,852
23,Slovenia,,125,125,125,125
24,Slovakia,,543,543,543,543
25,Finland,,51,51,51,51
26,Sweden,,25,25,25,25
27,United Kingdom,,827,827,827,827
28,Iceland,,0,0,0,0
29,Liechtenstein,,1,1,1,1
30,Norway,,43,43,43,43
31,Switzerland,,119,119,119,119
