,State,334,339,346
0,Washington,3106,168,192
1,Illinois,16527,1093,1105
2,California,22837,1669,1681
3,Arizona,7972,620,627
4,Massachusetts,11759,359,349
5,Wisconsin,4751,417,408
6,Texas,25936,1422,1455
7,Nebraska,1511,110,102
8,Utah,1161,110,110
9,Oregon,1347,181,184
10,Florida,20680,683,676
11,New York,36568,805,812
12,Rhode Island,1670,116,113
13,Georgia,10399,314,330
14,New Hampshire,656,49,50
15,North Carolina,6240,385,381
16,New Jersey,18223,432,439
17,Colorado,4378,447,432
18,Maryland,5471,309,310
19,Nevada,2785,226,226
20,Tennessee,6136,562,548
21,Hawaii,282,9,11
22,Indiana,7438,574,575
23,Kentucky,2412,189,200
24,Minnesota,4931,430,432
25,Oklahoma,2218,155,158
26,Pennsylvania,13890,1447,1387
27,South Carolina,4962,208,196
28,District of Columbia,742,17,15
29,Kansas,2448,273,271
30,Missouri,5088,467,443
31,Vermont,111,12,12
32,Virginia,4654,229,229
33,Connecticut,5676,216,215
34,Iowa,3588,312,262
35,Louisiana,7107,226,237
36,Ohio,8122,539,534
37,Michigan,12153,898,863
38,South Dakota,1381,103,104
39,Arkansas,3295,278,274
40,Delaware,871,44,43
41,Mississippi,4411,212,209
42,New Mexico,2180,247,242
43,North Dakota,1233,82,86
44,Wyoming,351,28,33
45,Alaska,184,11,15
46,Maine,293,35,36
47,Alabama,4389,307,305
48,Idaho,1301,107,111
49,Montana,881,44,41
50,Puerto Rico,1382,74,78
51,Virgin Islands,23,0,0
52,Guam,120,3,3
53,West Virginia,1129,159,149
54,Northern Mariana Islands,2,0,0
55,American Samoa,0,0,0
