,State,327,332,339,346
0,Washington,2918,0,0,0
1,Illinois,15454,1234,1233,1273
2,California,21144,1096,1087,1127
3,Arizona,7358,401,406,400
4,Massachusetts,11388,352,350,354
5,Wisconsin,4352,398,450,426
6,Texas,24440,1193,1167,1181
7,Nebraska,1418,172,190,180
8,Utah,1062,98,96,98
9,Oregon,1161,120,127,135
10,Florida,20003,692,686,682
11,New York,35702,554,542,536
12,Rhode Island,1555,95,95,95
13,Georgia,10104,295,289,295
14,New Hampshire,604,41,43,43
15,North Carolina,5855,279,259,258
16,New Jersey,17775,431,431,432
17,Colorado,3969,486,473,511
18,Maryland,5142,284,278,286
19,Nevada,2548,222,220,222
20,Tennessee,5541,502,492,488
21,Hawaii,274,9,10,11
22,Indiana,6840,556,542,542
23,Kentucky,2224,130,119,133
24,Minnesota,4521,439,433,442
25,Oklahoma,2072,171,169,167
26,Pennsylvania,12552,1197,1256,1252
27,South Carolina,4751,165,181,180
28,District of Columbia,716,17,18,18
29,Kansas,2109,282,274,262
30,Missouri,4613,367,346,362
31,Vermont,96,16,16,15
32,Virginia,4414,214,222,220
33,Connecticut,5444,217,215,214
34,Iowa,3269,517,527,527
35,Louisiana,6845,221,223,223
36,Ohio,7551,514,503,480
37,Michigan,11289,892,872,855
38,South Dakota,1259,143,141,142
39,Arkansas,2990,289,285,299
40,Delaware,816,33,31,33
41,Mississippi,4204,234,236,239
42,New Mexico,1978,169,168,169
43,North Dakota,1157,136,133,122
44,Wyoming,321,55,55,54
45,Alaska,176,35,37,36
46,Maine,259,28,30,29
47,Alabama,4102,244,243,238
48,Idaho,1194,138,141,137
49,Montana,818,81,83,79
50,Puerto Rico,1282,79,84,78
51,Virgin Islands,23,0,0,0
52,Guam,119,2,3,2
53,West Virginia,978,135,139,140
54,Northern Mariana Islands,2,0,0,0
55,American Samoa,0,0,0,0
