,County,249,255,262,269
0,01001,1773,205,183,181
1,01003,5526,537,767,956
2,01005,885,100,112,141
3,01007,656,46,44,49
4,01009,1617,,,NaN
5,01011,606,23,14,7
6,01013,913,,,NaN
7,01015,3534,405,328,312
8,01017,1168,,,NaN
9,01019,612,133,118,115
10,01021,1588,213,205,213
11,01023,351,,,NaN
12,01025,1100,,,NaN
13,01027,587,83,71,68
14,01029,382,72,85,79
15,01031,1359,194,177,173
16,01033,1666,69,63,63
17,01035,536,,,NaN
18,01037,172,,,NaN
19,01039,1403,,,NaN
20,01041,540,,,NaN
21,01043,1907,,,NaN
22,01045,1392,,,NaN
23,01047,1791,,,NaN
24,01049,2432,165,140,134
25,01051,2673,296,283,303
26,01053,1611,,,NaN
27,01055,3521,375,320,299
28,01057,462,60,58,57
29,01059,1781,41,28,20
30,01061,634,130,106,86
31,01063,303,,,NaN
32,01065,644,,,NaN
33,01067,507,89,72,59
34,01069,2920,,,NaN
35,01071,1581,142,141,151
36,01073,19752,1107,914,843
37,01075,370,,,NaN
38,01077,1723,117,127,155
39,01079,621,42,38,35
40,01081,5927,,,NaN
41,01083,2119,197,210,247
42,01085,654,,,NaN
43,01087,483,,,NaN
44,01089,7927,607,567,602
45,01091,724,38,39,37
46,01093,968,,,NaN
47,01095,3961,242,185,153
48,01097,13449,474,454,473
49,01099,590,,,NaN
50,01101,8852,322,243,208
51,01103,3314,199,184,189
52,01105,541,,,NaN
53,01107,666,60,54,50
54,01109,1205,,,NaN
55,01111,654,,,NaN
56,01113,1763,,,NaN
57,01115,2330,,,NaN
58,01117,6013,785,655,612
59,01119,438,,,NaN
60,01121,2171,,,NaN
61,01123,1164,,,NaN
62,01125,8654,2059,2422,2520
63,01127,2319,154,138,139
64,01129,559,,,NaN
65,01131,532,,,NaN
66,01133,745,74,70,77
67,02013,3,0,0,0
68,02016,8,0,0,0
69,02020,4194,365,425,483
70,02050,109,21,21,25
71,02060,10,0,0,0
72,02068,6,,,NaN
73,02070,9,0,0,0
74,02090,1094,116,122,119
75,02100,5,0,0,0
76,02105,0,0,0,0
77,02110,288,26,19,12
78,02122,449,,,NaN
79,02130,49,,,NaN
80,02150,22,2,6,7
81,02158,13,0,0,0
82,02164,0,0,0,0
83,02170,600,23,14,14
84,02180,69,14,14,15
85,02185,121,50,68,88
86,02188,107,21,21,25
87,02195,7,0,0,0
88,02198,31,0,7,7
89,02220,46,3,7,8
90,02230,0,0,0,0
91,02240,27,7,7,7
92,02261,76,3,11,15
93,02275,13,0,0,0
94,02282,24,,,NaN
95,02290,81,5,12,16
96,04001,3527,84,95,98
97,04003,1905,27,33,42
98,04005,4080,399,552,688
99,04007,1304,107,139,173
100,04009,821,27,17,19
101,04011,59,0,0,0
102,04012,544,13,8,14
103,04013,141211,1615,1354,1330
104,04015,3977,133,167,221
105,04017,5787,47,45,42
106,04019,25412,1848,1702,1959
107,04021,10547,193,199,194
108,04023,2836,24,49,63
109,04025,2532,64,76,91
110,04027,12695,190,211,250
111,05001,406,75,101,131
112,05003,431,19,26,28
113,05005,345,106,127,151
114,05007,6574,447,494,595
115,05009,720,115,110,104
116,05011,342,17,21,21
117,05013,36,0,0,0
118,05015,665,53,49,45
119,05017,1006,,,NaN
120,05019,342,41,47,54
121,05021,295,43,55,66
122,05023,331,22,21,21
123,05025,184,11,14,14
124,05027,451,86,123,156
125,05029,267,24,21,15
126,05031,2950,417,545,686
127,05033,1402,215,266,343
128,05035,1945,79,84,87
129,05037,434,28,20,14
130,05039,162,,,NaN
131,05041,294,22,21,21
132,05043,357,18,23,21
133,05045,2473,294,319,358
134,05047,280,55,75,99
135,05049,161,48,67,86
136,05051,1892,183,242,316
137,05053,266,21,21,14
138,05055,873,124,166,216
139,05057,369,19,23,21
140,05059,1904,90,120,147
141,05061,471,28,30,28
142,05063,1095,102,96,97
143,05065,244,95,129,156
144,05067,324,48,40,28
145,05069,3299,407,435,498
146,05071,851,56,58,56
147,05073,107,15,8,7
148,05075,441,99,113,108
149,05077,1057,,,NaN
150,05079,2013,123,96,73
151,05081,358,21,23,21
152,05083,407,27,28,28
153,05085,1181,187,239,289
154,05087,352,30,25,21
155,05089,98,,,NaN
156,05091,828,60,64,70
157,05093,1681,97,104,116
158,05095,131,15,9,7
159,05097,151,14,13,7
160,05099,220,20,14,14
161,05101,241,41,32,23
162,05103,263,21,17,14
163,05105,88,7,7,7
164,05107,494,47,64,82
165,05109,227,14,14,14
166,05111,657,44,42,37
167,05113,261,15,16,14
168,05115,2127,101,119,135
169,05117,150,19,13,7
170,05119,9163,607,645,676
171,05121,417,55,67,87
172,05123,1506,79,75,90
173,05125,2064,102,92,76
174,05127,101,7,7,7
175,05129,142,,,NaN
176,05131,3704,352,459,586
177,05133,1203,,,NaN
178,05135,220,38,31,22
179,05137,347,43,43,38
180,05139,892,51,53,49
181,05141,174,8,12,14
182,05143,9415,600,500,441
183,05145,841,169,233,311
184,05147,53,7,7,7
185,05149,1254,29,31,35
186,06001,21189,607,565,516
187,06003,2,0,0,0
188,06005,296,,,NaN
189,06007,2827,57,37,24
190,06009,317,7,7,6
191,06011,529,15,8,7
192,06013,16572,651,622,550
193,06015,139,0,0,0
194,06017,1127,50,67,86
195,06019,28336,471,387,293
196,06021,578,26,23,19
197,06023,501,16,10,7
198,06025,11835,292,303,290
199,06027,187,0,0,0
200,06029,31947,541,454,408
201,06031,7569,293,231,173
202,06033,549,121,149,205
203,06035,740,7,11,7
204,06037,267801,8000,9321,11240
205,06039,4481,129,102,75
206,06041,6716,150,164,175
207,06043,75,0,0,0
208,06045,931,86,100,118
209,06047,8872,96,59,38
210,06049,27,0,0,0
211,06051,165,0,0,0
212,06053,9884,414,326,268
213,06055,1681,56,51,47
214,06057,534,29,34,38
215,06059,53315,1185,1188,1198
216,06061,3577,116,96,79
217,06063,50,0,0,0
218,06065,58178,1378,1236,1119
219,06067,22269,813,609,417
220,06069,1345,50,42,38
221,06071,54478,2869,3793,4827
222,06073,46610,1992,2034,2057
223,06075,11143,370,341,317
224,06077,20194,286,171,107
225,06079,3546,196,236,275
226,06081,9843,339,278,227
227,06083,9061,167,141,114
228,06085,21153,655,515,385
229,06087,2358,180,177,192
230,06089,856,161,230,309
231,06091,6,0,0,0
232,06093,165,4,0,0
233,06095,6309,219,205,196
234,06097,7412,342,304,265
235,06099,16452,135,69,47
236,06101,1705,60,47,38
237,06103,560,63,90,120
238,06105,16,0,0,0
239,06107,15970,362,312,252
240,06109,227,7,3,0
241,06111,12729,403,323,281
242,06113,2803,36,24,15
243,06115,1153,36,27,17
244,08001,9099,695,899,1106
245,08003,242,4,13,20
246,08005,9239,498,633,796
247,08007,54,7,7,7
248,08009,17,0,0,0
249,08011,11,0,0,0
250,08013,4323,1150,1390,1740
251,08014,645,55,76,98
252,08015,333,14,21,27
253,08017,14,0,0,0
254,08019,39,0,0,0
255,08021,33,0,0,0
256,08023,32,0,0,0
257,08025,73,0,5,7
258,08027,17,0,0,0
259,08029,189,,,NaN
260,08031,13116,871,1074,1319
261,08033,3,0,0,0
262,08035,2574,280,367,492
263,08037,1254,28,71,100
264,08039,158,14,12,14
265,08041,6871,258,258,277
266,08043,175,14,14,14
267,08045,945,24,19,17
268,08047,18,0,0,0
269,08049,74,7,7,7
270,08051,296,,,NaN
271,08053,3,0,0,0
272,08055,23,,,NaN
273,08057,9,0,0,0
274,08059,5716,435,570,745
275,08061,1,0,0,0
276,08063,79,0,5,7
277,08065,94,7,7,7
278,08067,260,14,16,21
279,08069,2530,237,306,410
280,08071,25,5,0,0
281,08073,11,0,0,0
282,08075,868,49,42,34
283,08077,615,102,148,198
284,08079,20,0,0,0
285,08081,42,6,0,4
286,08083,138,11,7,13
287,08085,383,15,23,31
288,08087,747,22,44,61
289,08089,96,7,7,7
290,08091,25,0,0,0
291,08093,57,7,7,7
292,08095,34,0,0,0
293,08097,223,,,NaN
294,08099,94,0,6,7
295,08101,1090,56,57,56
296,08103,26,0,0,0
297,08105,96,0,7,7
298,08107,155,12,9,14
299,08109,111,0,7,7
300,08111,6,0,0,0
301,08113,97,,,NaN
302,08115,15,6,0,0
303,08117,462,58,47,28
304,08119,176,7,11,14
305,08121,61,0,5,7
306,08123,4712,252,301,380
307,08125,114,,,NaN
308,09001,20015,283,238,209
309,09003,14539,298,261,234
310,09005,1857,35,23,20
311,09007,1566,22,16,10
312,09009,14340,168,148,139
313,09011,1843,144,185,240
314,09013,1337,35,21,14
315,09015,958,77,96,122
316,10001,2925,48,33,21
317,10003,10106,523,538,541
318,10005,6740,127,119,104
319,11001,NaN,342,340,343
320,12001,8109,1009,984,1057
321,12003,1470,81,70,58
322,12005,6057,262,355,450
323,12007,1099,79,67,55
324,12009,8841,559,686,879
325,12011,76854,1192,1217,1287
326,12013,615,,,NaN
327,12015,3039,101,117,142
328,12017,2745,128,106,90
329,12019,5077,227,212,197
330,12021,12681,241,239,250
331,12023,3787,182,237,294
332,12027,1563,,,NaN
333,12029,832,,,NaN
334,12031,30207,940,981,1065
335,12033,12243,150,146,117
336,12035,1726,73,59,46
337,12037,614,,,NaN
338,12039,2797,97,94,89
339,12041,511,,,NaN
340,12043,540,49,67,79
341,12045,875,,,NaN
342,12047,849,42,30,29
