,Region,572,577,584,591,598
0,Belgium,,26095,16315,17453,19225
1,Bulgaria,,431,2178,1001,267
2,Czechia,,1643,2722,2729,2232
3,Denmark,,6693,6620,7005,14078
4,Germany,,33663,28377,29638,30741
5,Estonia,,2449,1922,0,46
6,Ireland,,18014,6695,0,216
7,Greece,,42545,42562,42327,42618
8,Spain,,104564,85221,75117,66188
9,France,,217967,143762,0,18541
10,Croatia,,3807,3256,2626,2744
11,Italy,,40542,21068,24799,24682
12,Cyprus,,3875,2938,2743,2511
13,Latvia,,895,834,976,1021
14,Lithuania,,5838,3996,0,36
15,Luxembourg,,110,337,31,0
16,Hungary,,911,904,916,916
17,Malta,,1070,296,531,546
18,Netherlands,,22858,20448,0,21968
19,Austria,,5724,6484,7282,7685
20,Poland,,2666,2647,2668,902
21,Portugal,,24344,22574,20394,32541
22,Romania,,4715,0,0,0
23,Slovenia,,1625,1694,1881,2086
24,Slovakia,,883,167,0,3
25,Finland,,12340,12486,6558,6618
26,Sweden,,10004,8636,9193,9683
27,United Kingdom,,283427,169613,171244,158665
28,Iceland,,484,170,0,0
29,Liechtenstein,,38,26,52,58
30,Norway,,5037,43,0,42
31,Switzerland,,13653,7252,4594,883
