,Region,446,451,458
0,Belgium,,18744,18747
1,Bulgaria,,25150,25104
2,Czechia,,61148,61045
3,Denmark,,3622,3620
4,Germany,,106754,106595
5,Estonia,,9583,7896
6,Ireland,,3988,4019
7,Greece,,19672,16637
8,Spain,,14457,14453
9,France,,216080,228036
10,Croatia,,9193,7459
11,Italy,,161849,161038
12,Cyprus,,2438,2458
13,Latvia,,3610,3799
14,Lithuania,,3924,3925
15,Luxembourg,,1424,1421
16,Hungary,,69022,66383
17,Malta,,1270,1273
18,Netherlands,,46434,46234
19,Austria,,22909,22708
20,Poland,,188372,187168
21,Portugal,,7345,7323
22,Romania,,37189,36833
23,Slovenia,,5719,5722
24,Slovakia,,11577,11552
25,Finland,,4543,4461
26,Sweden,,33035,32372
27,United Kingdom,,38102,38280
28,Iceland,,35,35
29,Liechtenstein,,18,18
30,Norway,,6238,6221
31,Switzerland,,8724,8722
