,Region,677,682,689,696,703
0,Belgium,,121125,121025,122269,121417
1,Bulgaria,,14601,13696,13577,11731
2,Czechia,,131567,131903,14023,12354
3,Denmark,,28459,28636,28306,0
4,Germany,,416685,417567,418287,0
5,Estonia,,4777,4622,721,710
6,Ireland,,31936,32113,32419,31901
7,Greece,,47429,47490,46918,47059
8,Spain,,64074,75530,82161,82236
9,France,,156684,161457,0,18
10,Croatia,,33779,35024,34864,34895
11,Italy,,81162,81091,82459,0
12,Cyprus,,1721,1382,1379,1339
13,Latvia,,6490,6484,946,930
14,Lithuania,,12105,11322,10422,9909
15,Luxembourg,,2182,2183,2196,2203
16,Hungary,,71714,71598,71657,0
17,Malta,,638,682,832,0
18,Netherlands,,159101,158879,158787,0
19,Austria,,92777,93612,92350,0
20,Poland,,162545,161294,48777,53527
21,Portugal,,21581,24240,25587,28338
22,Romania,,15607,16737,313,161
23,Slovenia,,19103,18003,17974,20133
24,Slovakia,,80246,10654,10562,10471
25,Finland,,7423,7661,7665,7723
26,Sweden,,10321,10383,8654,10439
27,United Kingdom,,301787,295682,315810,311459
28,Iceland,,1036,1046,1042,1033
29,Liechtenstein,,353,0,0,0
30,Norway,,17936,18073,18054,0
31,Switzerland,,48185,46720,0,0
