,County,305,311,318
0,01001,2617,192,290
1,01003,8199,598,892
2,01005,1160,58,96
3,01007,1136,95,147
4,01009,2754,234,340
5,01011,689,31,49
6,01013,1133,72,117
7,01015,5964,420,629
8,01017,1675,105,163
9,01019,985,76,112
10,01021,2161,109,167
11,01023,417,17,30
12,01025,1549,77,125
13,01027,888,53,82
14,01029,742,65,95
15,01031,2303,171,261
16,01033,2943,250,365
17,01035,668,34,53
18,01037,306,34,50
19,01039,2123,110,174
20,01041,700,34,54
21,01043,4096,444,663
22,01045,2254,130,195
23,01047,2196,131,203
24,01049,4608,386,582
25,01051,3910,274,429
26,01053,1940,78,131
27,01055,5857,514,757
28,01057,831,89,131
29,01059,2436,144,224
30,01061,1167,84,131
31,01063,399,25,41
32,01065,915,59,94
33,01067,838,45,72
34,01069,5033,336,524
35,01071,2905,227,347
36,01073,30318,2489,3823
37,01075,622,42,65
38,01077,3783,427,608
39,01079,1214,117,176
40,01081,7504,388,613
41,01083,4008,370,546
42,01085,785,44,74
43,01087,694,49,74
44,01089,12204,968,1488
45,01091,1164,60,99
46,01093,1339,78,119
47,01095,5794,483,741
48,01097,19260,976,1574
49,01099,768,47,75
50,01101,12000,646,1086
51,01103,6104,650,924
52,01105,668,33,54
53,01107,1141,90,136
54,01109,1547,82,133
55,01111,995,60,94
56,01113,2175,104,165
57,01115,3960,287,424
58,01117,9712,789,1216
59,01119,553,34,54
60,01121,3340,217,327
61,01123,1685,105,162
62,01125,12446,811,1269
63,01127,3480,229,350
64,01129,898,52,81
65,01131,623,29,47
66,01133,1225,96,146
67,02013,22,2,3
68,02016,106,6,11
69,02020,14702,2190,3275
70,02050,1149,209,292
71,02060,0,2,5
72,02068,41,4,7
73,02070,95,14,21
74,02090,3206,369,550
75,02100,16,1,1
76,02105,0,,NaN
77,02110,798,79,119
78,02122,2144,359,512
79,02130,185,20,29
80,02150,217,40,58
81,02158,387,,NaN
82,02164,143,0,0
83,02170,2577,347,514
84,02180,185,22,33
85,02185,407,47,70
86,02188,338,35,54
87,02195,23,1,2
88,02198,46,3,5
89,02220,157,27,39
90,02230,9,1,1
91,02240,236,53,75
92,02261,237,24,35
93,02275,20,1,1
94,02282,44,,NaN
95,02290,154,15,23
96,04001,4921,416,633
97,04003,3137,236,331
98,04005,6928,656,1013
99,04007,2619,238,362
100,04009,1904,245,358
101,04011,174,30,43
102,04012,750,67,104
103,04013,190034,14633,22956
104,04015,5640,449,688
105,04017,7602,551,890
106,04019,36115,3542,5661
107,04021,15169,1464,2217
108,04023,3588,329,514
109,04025,4384,480,712
110,04027,16700,1503,2430
111,05001,916,88,133
112,05003,754,74,114
113,05005,1267,190,278
114,05007,11125,957,1535
115,05009,1576,199,292
116,05011,429,30,46
117,05013,127,20,27
118,05015,1301,121,183
119,05017,1134,67,111
120,05019,748,80,119
121,05021,775,97,143
122,05023,650,62,93
123,05025,334,33,50
124,05027,988,104,158
125,05029,606,86,125
126,05031,6552,666,1020
127,05033,2888,289,438
128,05035,3091,246,383
129,05037,773,78,119
130,05039,265,32,46
131,05041,518,40,62
132,05043,579,60,90
133,05045,4417,380,588
134,05047,718,69,106
135,05049,500,63,93
136,05051,3492,304,460
137,05053,538,66,96
138,05055,2578,352,518
139,05057,806,81,120
140,05059,2769,241,360
141,05061,773,60,92
142,05063,1953,152,237
143,05065,945,81,126
144,05067,1518,203,289
145,05069,4990,327,521
146,05071,1209,81,130
147,05073,252,23,35
148,05075,1090,101,155
149,05077,1159,65,109
150,05079,2389,102,194
151,05081,608,55,85
152,05083,845,97,144
153,05085,2487,252,382
154,05087,566,54,83
155,05089,389,70,99
156,05091,2051,187,289
157,05093,2997,235,364
158,05095,290,26,40
159,05097,245,28,42
160,05099,425,41,63
161,05101,410,42,64
162,05103,608,89,130
163,05105,229,29,43
164,05107,885,61,97
165,05109,350,31,48
166,05111,1584,156,237
167,05113,699,113,163
168,05115,3481,287,441
169,05117,338,32,49
170,05119,15585,1361,2103
171,05121,925,94,141
172,05123,1988,125,203
173,05125,4309,494,735
174,05127,331,39,58
175,05129,272,25,38
176,05131,6596,569,871
177,05133,1648,122,198
178,05135,622,89,129
179,05137,442,28,44
180,05139,1450,119,185
181,05141,329,47,68
182,05143,14568,1253,2032
183,05145,2777,424,613
184,05147,186,23,34
185,05149,1588,117,190
186,06001,27485,1712,2662
187,06003,42,9,12
188,06005,450,44,60
189,06007,3664,226,327
190,06009,434,49,72
191,06011,642,36,51
192,06013,22412,1466,2264
193,06015,273,27,39
194,06017,1930,238,336
195,06019,35973,1678,2082
196,06021,829,62,89
197,06023,730,49,74
198,06025,15053,1035,1472
199,06027,283,16,24
200,06029,38316,1966,2885
201,06031,10038,809,1177
202,06033,832,62,93
203,06035,1480,175,205
204,06037,364520,25637,37450
205,06039,5714,276,395
206,06041,7518,373,652
207,06043,104,8,11
208,06045,1385,95,145
209,06047,10986,552,674
210,06049,111,15,21
211,06051,499,27,42
212,06053,13886,959,1457
213,06055,2757,267,384
214,06057,1018,96,129
215,06059,69694,4804,7108
216,06061,5778,362,514
217,06063,177,29,39
218,06065,80676,4979,7215
219,06067,33133,2273,2808
220,06069,1741,126,187
221,06071,84531,9432,12057
222,06073,71648,6602,9514
223,06075,14445,892,1288
224,06077,24649,1114,1545
225,06079,5618,393,545
226,06081,13203,754,1123
227,06083,10922,512,865
228,06085,30676,2614,4117
229,06087,3898,296,426
230,06089,4095,457,565
231,06091,17,1,2
232,06093,495,55,74
233,06095,9349,595,739
234,06097,11428,582,936
235,06099,20370,1405,2125
236,06101,2638,132,171
237,06103,1435,185,260
238,06105,113,23,30
239,06107,19752,897,1290
240,06109,708,132,177
241,06111,18040,1554,2259
242,06113,4199,368,528
243,06115,1732,86,125
244,08001,26129,3997,6046
245,08003,516,67,100
246,08005,23795,3612,5345
247,08007,140,26,37
248,08009,52,7,10
249,08011,70,18,25
250,08013,9847,1477,2235
251,08014,1806,281,416
252,08015,576,78,119
253,08017,49,11,15
254,08019,167,28,40
255,08021,150,24,34
256,08023,68,9,14
257,08025,1007,241,309
258,08027,56,9,13
259,08029,466,85,123
260,08031,32533,4827,7276
261,08033,11,2,4
262,08035,9007,1643,2386
263,08037,2051,207,322
264,08039,515,93,135
265,08041,22560,4042,5926
266,08043,2143,473,638
267,08045,1886,252,375
268,08047,75,13,18
269,08049,273,49,72
270,08051,439,39,60
271,08053,8,1,2
272,08055,117,26,37
273,08057,14,2,2
274,08059,17684,2992,4378
275,08061,20,4,6
276,08063,250,25,39
277,08065,237,38,56
278,08067,843,157,223
279,08069,8651,1471,2138
280,08071,161,32,47
281,08073,116,25,33
282,08075,2005,278,409
283,08077,4821,1026,1426
284,08079,24,1,2
285,08081,211,47,66
286,08083,571,115,166
287,08085,806,129,192
288,08087,1445,193,287
289,08089,423,90,128
290,08091,109,19,26
291,08093,202,36,52
292,08095,158,23,33
293,08097,425,49,73
294,08099,483,99,139
295,08101,6738,1583,2197
296,08103,101,25,35
297,08105,204,29,43
298,08107,519,94,135
299,08109,199,22,34
300,08111,19,3,4
301,08113,178,22,33
302,08115,96,17,24
303,08117,1330,394,511
304,08119,518,89,127
305,08121,186,31,45
306,08123,12018,1916,2826
307,08125,296,34,51
308,09001,33648,3507,3797
309,09003,25182,2471,2459
310,09005,3602,260,348
311,09007,3145,224,303
312,09009,25248,2459,2442
313,09011,5352,380,446
314,09013,2665,193,261
315,09015,2161,146,208
316,10001,4439,402,622
317,10003,17587,1965,2915
318,10005,9682,777,1239
319,11001,NaN,1426,2321
320,12001,12339,632,968
321,12003,1958,89,138
322,12005,8169,567,873
323,12007,1372,72,109
324,12009,14564,1079,1551
325,12011,101059,4903,6026
326,12013,834,57,88
327,12015,4672,387,556
328,12017,4330,385,543
329,12019,7403,476,714
330,12021,16864,997,1521
331,12023,4612,162,266
332,12027,2196,179,244
333,12029,954,39,63
334,12031,40584,1921,2779
