,County,186,192,199,206,213,220
0,01001,909,113,105,95,85,75
1,01003,2665,739,792,798,759,695
2,01005,523,53,50,47,42,36
3,01007,317,58,58,56,54,50
4,01009,578,209,218,213,199,178
5,01011,408,11,9,8,7,6
6,01013,714,17,14,11,9,8
7,01015,1076,321,354,369,368,351
8,01017,776,67,66,62,60,55
9,01019,194,58,63,63,62,58
10,01021,580,125,124,120,111,101
11,01023,258,14,14,13,13,12
12,01025,432,51,49,46,42,38
13,01027,166,19,22,24,25,25
14,01029,95,15,16,16,17,17
15,01031,633,93,93,90,87,82
16,01033,875,138,133,123,113,101
17,01035,333,43,41,36,32,29
18,01037,86,10,10,10,10,10
19,01039,633,142,141,135,121,108
20,01041,226,14,14,14,14,13
21,01043,946,232,239,238,229,213
22,01045,676,137,139,134,127,118
23,01047,1186,97,88,77,67,58
24,01049,1490,251,243,226,202,180
25,01051,1437,176,163,150,136,120
26,01053,812,195,189,173,151,128
27,01055,1643,390,396,384,357,331
28,01057,138,25,28,30,32,32
29,01059,1078,41,36,30,26,21
30,01061,186,56,64,65,64,61
31,01063,232,13,13,12,11,10
32,01065,425,22,19,16,14,12
33,01067,213,19,19,19,19,18
34,01069,1074,220,226,223,215,205
35,01071,648,162,166,165,158,145
36,01073,10258,1981,1943,1842,1698,1543
37,01075,161,31,32,31,30,27
38,01077,893,212,218,218,212,201
39,01079,244,71,75,78,79,74
40,01081,2243,349,350,341,321,295
41,01083,1006,222,226,223,210,189
42,01085,531,11,9,7,6,4
43,01087,286,37,37,36,35,32
44,01089,4241,1141,1175,1150,1065,972
45,01091,478,35,35,32,30,26
46,01093,473,65,68,67,64,59
47,01095,2661,353,334,306,273,238
48,01097,7193,972,978,951,902,843
49,01099,361,66,63,59,53,48
50,01101,5642,355,319,284,249,219
51,01103,1933,336,326,306,279,247
52,01105,382,49,41,34,27,22
53,01107,332,40,40,39,36,33
54,01109,596,54,49,45,41,36
55,01111,359,47,51,51,49,46
56,01113,1047,161,153,143,130,115
57,01115,979,274,291,290,276,248
58,01117,2638,595,606,591,568,523
59,01119,339,8,8,7,7,6
60,01121,717,277,290,283,268,242
61,01123,761,59,58,56,52,49
62,01125,3536,386,369,346,321,294
63,01127,1364,160,149,134,118,103
64,01129,272,37,38,38,36,33
65,01131,384,16,14,12,12,10
