,County,214,220,227,234,241,248
0,01001,1266,50,45,39,34,29
1,01003,4069,375,355,329,303,275
2,01005,629,25,22,19,17,15
3,01007,510,42,38,34,30,27
4,01009,934,111,101,93,83,74
5,01011,527,10,9,7,7,5
6,01013,804,10,9,7,6,5
7,01015,2144,317,303,282,255,231
8,01017,870,30,27,25,22,20
9,01019,331,42,40,37,35,32
10,01021,936,77,71,63,56,51
11,01023,306,11,11,9,8,8
12,01025,884,41,37,33,29,26
13,01027,316,23,21,19,17,16
14,01029,177,13,13,13,12,12
15,01031,902,80,74,67,61,55
16,01033,1343,79,69,61,53,45
17,01035,421,16,14,12,10,8
18,01037,112,8,8,8,7,7
19,01039,819,69,60,53,47,40
20,01041,367,20,18,17,16,13
21,01043,1365,126,118,108,99,89
22,01045,960,67,60,53,47,41
23,01047,1404,39,33,27,22,18
24,01049,1989,94,84,73,64,57
25,01051,1911,79,69,60,53,46
26,01053,1172,81,71,62,53,45
27,01055,2509,222,202,179,158,137
28,01057,270,31,28,26,25,22
29,01059,1432,30,26,22,19,16
30,01061,353,52,50,48,46,42
31,01063,268,7,6,5,5,4
32,01065,512,13,12,10,9,7
33,01067,308,17,15,14,13,11
34,01069,1740,161,153,142,132,120
35,01071,1216,118,110,101,89,79
36,01073,14621,814,759,702,649,599
37,01075,260,19,18,17,15,14
38,01077,1329,125,119,112,103,94
39,01079,402,42,41,39,37,35
40,01081,2930,217,203,185,170,153
41,01083,1533,97,87,77,70,61
42,01085,587,5,4,3,3,2
43,01087,374,24,22,21,19,17
44,01089,5907,482,465,442,413,385
45,01091,608,23,20,18,15,14
46,01093,655,47,43,40,36,32
47,01095,3428,141,125,107,94,80
48,01097,11540,728,671,611,550,491
49,01099,448,20,18,16,14,13
50,01101,7412,205,176,150,129,108
51,01103,2620,116,101,90,80,70
52,01105,472,13,11,9,7,6
53,01107,497,29,26,23,20,17
54,01109,781,33,30,26,23,20
55,01111,436,28,27,26,25,22
56,01113,1500,69,61,54,47,41
57,01115,1550,133,123,112,100,89
58,01117,3643,271,256,237,218,200
59,01119,390,5,4,4,3,3
60,01121,1218,181,171,159,146,130
61,01123,919,43,40,37,34,30
62,01125,4792,212,190,168,147,129
63,01127,1713,55,47,40,34,29
64,01129,484,28,26,24,22,20
65,01131,469,11,10,9,8,7
66,01133,500,27,25,22,19,17
67,02013,2,1,1,1,2,2
68,02016,5,1,1,1,2,2
69,02020,2695,577,571,545,512,472
70,02050,40,4,3,3,4,3
71,02060,11,0,0,0,0,0
72,02068,1,0,0,0,0,0
73,02070,5,4,7,10,13,13
74,02090,560,92,95,98,95,93
75,02100,5,0,0,0,0,0
76,02105,0,0,0,0,0,0
77,02110,163,27,29,30,30,30
78,02122,399,56,56,55,54,52
79,02130,42,1,1,1,1,1
80,02150,14,1,1,1,0,0
81,02158,8,,,,,NaN
82,02164,0,1,0,0,0,0
83,02170,435,122,125,124,121,115
84,02180,31,2,1,2,1,1
85,02185,30,7,7,7,7,6
86,02188,62,6,6,5,5,4
87,02195,7,0,0,0,0,0
88,02198,20,3,3,3,3,3
89,02220,34,3,3,3,3,2
90,02230,0,0,0,0,0,0
91,02240,18,0,0,0,0,0
92,02261,69,3,3,2,1,1
93,02275,9,0,0,0,0,0
94,02282,9,0,0,0,0,0
95,02290,66,2,1,1,1,0
96,04001,3302,51,44,38,32,27
97,04003,1795,71,69,68,65,63
98,04005,3244,49,42,36,31,30
99,04007,1073,67,59,52,44,37
100,04009,669,43,40,37,34,31
101,04011,57,3,3,3,3,2
102,04012,494,4,4,3,3,3
103,04013,131787,2440,2236,2100,1982,1837
104,04015,3489,107,91,81,70,62
105,04017,5498,51,39,31,24,19
106,04019,20475,689,581,496,421,358
107,04021,9187,146,129,114,102,91
108,04023,2742,23,18,14,10,8
109,04025,2242,160,161,160,154,143
110,04027,12048,153,115,86,65,50
111,05001,265,30,30,29,29,27
112,05003,379,29,30,28,26,24
113,05005,116,35,36,38,38,38
114,05007,5092,94,80,67,59,52
115,05009,266,50,53,57,57,56
116,05011,260,23,22,19,17,15
117,05013,23,3,3,3,3,3
118,05015,432,25,23,21,20,18
119,05017,938,18,15,12,10,8
120,05019,208,17,17,16,15,15
121,05021,164,18,17,17,16,15
122,05023,244,13,15,16,16,16
123,05025,129,11,11,10,10,9
124,05027,274,37,38,37,35,33
125,05029,189,21,21,21,20,18
126,05031,1682,180,174,166,155,142
127,05033,835,32,33,35,36,37
128,05035,1573,79,70,62,54,48
129,05037,240,23,23,22,21,20
130,05039,90,11,11,10,10,9
131,05041,223,15,14,13,12,11
132,05043,296,40,38,35,31,26
133,05045,1500,126,118,111,104,97
134,05047,152,24,26,26,26,26
135,05049,59,13,14,15,16,15
136,05051,1296,190,186,181,172,164
137,05053,168,17,17,17,16,14
138,05055,584,73,76,75,72,68
139,05057,306,38,38,37,36,34
140,05059,1678,60,57,52,49,45
141,05061,391,17,15,13,12,10
142,05063,684,90,91,89,82,74
143,05065,81,17,19,20,20,20
144,05067,176,24,25,26,25,25
