,County,176,185,192,199,206,213,220,227
0,01001,765,92,98,104,106,108,110,46
1,01003,1579,562,692,815,948,1093,1220,567
2,01005,444,42,41,39,35,32,29,11
3,01007,243,17,17,17,17,16,16,6
4,01009,395,145,190,240,294,345,398,182
5,01011,384,1,1,0,0,0,0,0
6,01013,662,4,3,2,2,1,1,0
7,01015,659,319,388,448,488,517,514,218
8,01017,710,26,25,24,22,21,19,8
9,01019,146,21,24,24,25,24,23,9
10,01021,387,110,137,166,194,220,248,110
11,01023,222,5,4,4,3,2,2,0
12,01025,352,34,36,38,41,41,42,17
13,01027,96,7,7,6,5,4,3,1
14,01029,63,4,4,4,4,3,3,1
15,01031,483,58,62,65,65,67,67,27
16,01033,645,200,227,247,254,256,251,103
17,01035,268,16,14,13,12,10,8,3
18,01037,68,5,5,6,6,6,6,2
19,01039,478,44,46,47,47,47,46,19
20,01041,145,9,9,8,7,6,5,2
21,01043,729,183,158,127,96,69,49,16
22,01045,454,57,61,65,67,68,68,29
23,01047,1065,39,34,29,25,20,17,6
24,01049,1185,482,600,722,843,953,1042,460
25,01051,1148,132,136,139,140,140,137,57
26,01053,571,101,93,83,70,59,48,17
27,01055,1175,330,379,418,452,473,483,211
28,01057,104,9,10,12,13,15,17,7
29,01059,979,31,27,23,20,17,15,5
30,01061,113,7,5,4,2,1,1,0
31,01063,209,3,2,2,2,1,1,0
32,01065,383,18,14,10,7,5,4,1
33,01067,167,11,9,6,4,3,2,0
34,01069,708,159,165,159,152,138,126,49
35,01071,515,149,172,194,209,218,226,96
36,01073,7809,1956,2151,2294,2434,2549,2575,1112
37,01075,101,8,9,10,11,12,12,5
38,01077,690,137,151,162,169,174,177,75
39,01079,162,54,73,95,124,151,184,89
40,01081,1861,392,439,482,519,562,588,258
41,01083,748,176,202,218,233,242,249,107
42,01085,500,7,4,3,2,1,0,0
43,01087,240,12,7,4,2,1,0,0
44,01089,2973,2003,2849,3845,4990,6245,7292,3312
45,01091,388,28,26,23,21,18,15,6
46,01093,365,149,203,263,327,398,465,217
47,01095,2206,282,293,298,299,293,286,121
48,01097,5514,1134,1257,1365,1464,1550,1624,719
49,01099,295,13,8,5,2,1,0,0
50,01101,4806,357,300,245,195,156,122,44
51,01103,1516,314,291,261,227,190,156,56
52,01105,278,51,62,70,80,86,93,41
53,01107,286,13,13,13,13,13,13,5
54,01109,519,19,13,8,5,3,1,0
55,01111,290,31,29,28,26,23,20,8
56,01113,811,98,93,85,78,71,62,23
57,01115,706,369,490,611,738,860,956,439
58,01117,1972,509,565,608,634,663,676,292
59,01119,309,6,3,2,1,0,0,0
60,01121,507,114,120,125,127,124,118,48
61,01123,672,28,28,28,28,27,27,11
62,01125,2931,308,301,293,282,267,251,103
63,01127,1160,59,44,32,23,17,11,3
64,01129,180,21,15,10,6,3,2,0
65,01131,334,22,19,15,12,9,7,2
66,01133,330,17,17,17,17,17,16,7
67,02013,0,,,,,,,NaN
68,02016,1,,,,,,,NaN
69,02020,815,202,197,179,156,135,111,41
70,02050,16,1,1,0,0,0,0,0
71,02060,5,0,0,0,0,0,0,0
72,02068,0,,,,,,,NaN
73,02070,1,,,,,,,NaN
74,02090,289,108,144,187,233,284,335,160
75,02100,3,,,,,,,NaN
76,02105,0,,,,,,,NaN
77,02110,53,6,5,4,3,2,1,0
78,02122,220,11,6,4,2,1,0,0
79,02130,23,1,1,0,0,0,0,0
80,02150,5,0,0,0,0,0,0,0
81,02158,3,,,,,,,NaN
82,02164,0,,,,,,,NaN
83,02170,162,29,33,37,39,40,41,17
84,02180,15,0,0,0,0,0,0,0
85,02185,5,0,0,0,0,0,0,0
86,02188,8,0,0,0,0,0,0,0
87,02195,6,0,0,0,0,0,0,0
