,County,250,255,262,269,276,283,290,297
0,01001,1785,39,32,30,28,25,24,22
1,01003,5588,382,386,380,373,363,352,339
2,01005,886,17,14,12,10,8,7,5
3,01007,657,10,8,7,7,6,5,5
4,01009,1618,27,23,22,19,18,16,15
5,01011,607,5,4,3,2,2,2,1
6,01013,914,1,0,0,0,0,0,0
7,01015,3548,126,110,95,81,68,58,47
8,01017,1172,12,9,8,7,6,5,5
9,01019,614,22,19,17,15,13,11,9
10,01021,1593,48,51,49,47,44,41,39
11,01023,351,4,0,0,0,0,0,0
12,01025,1104,22,14,13,12,10,10,9
13,01027,592,19,17,13,11,8,6,5
14,01029,389,32,33,32,29,26,23,20
15,01031,1365,50,43,39,36,33,30,27
16,01033,1675,48,28,24,20,17,14,12
17,01035,537,1,0,0,0,0,0,0
18,01037,172,1,0,0,0,0,0,0
19,01039,1403,29,29,26,24,22,20,17
20,01041,542,7,4,3,3,2,2,1
21,01043,1911,21,10,6,4,2,1,0
22,01045,1399,31,27,25,23,20,18,17
23,01047,1793,8,7,5,4,3,2,2
24,01049,2435,48,35,33,30,28,25,23
25,01051,2691,61,58,53,49,44,40,36
26,01053,1614,14,10,7,5,4,2,2
27,01055,3540,130,107,97,87,79,72,66
28,01057,467,24,24,24,25,26,25,25
29,01059,1790,25,14,12,10,8,6,5
30,01061,638,36,23,16,10,7,4,2
31,01063,303,0,0,0,0,0,0,0
32,01065,649,19,8,6,4,3,2,1
33,01067,508,11,7,5,3,2,1,1
34,01069,2935,121,102,85,69,56,46,37
35,01071,1589,42,38,34,31,27,24,21
36,01073,19833,571,531,488,455,413,372,337
37,01075,377,9,7,6,6,5,5,4
38,01077,1740,53,46,42,38,34,31,28
39,01079,628,9,9,8,8,8,7,7
40,01081,5945,97,74,68,62,57,52,47
41,01083,2135,102,92,86,81,74,68,62
42,01085,657,1,0,0,0,0,0,0
43,01087,483,3,0,0,0,0,0,0
44,01089,7978,280,262,246,236,224,211,200
45,01091,726,13,8,7,5,4,3,3
46,01093,971,10,6,6,5,5,5,4
47,01095,3967,58,42,38,34,31,27,24
48,01097,13471,284,229,214,202,187,176,161
49,01099,590,2,1,0,0,0,0,0
50,01101,8865,117,90,68,51,38,27,20
51,01103,3327,85,57,43,32,24,18,12
52,01105,542,0,0,0,0,0,0,0
53,01107,668,18,16,15,14,13,12,11
54,01109,1205,15,6,3,2,1,0,0
55,01111,660,20,13,11,9,7,6,4
56,01113,1765,14,10,8,6,5,4,3
57,01115,2340,52,46,41,37,33,29,25
58,01117,6043,247,228,213,193,177,160,144
59,01119,438,4,3,1,0,0,0,0
60,01121,2177,36,31,25,21,17,14,11
61,01123,1166,11,7,7,6,6,5,5
62,01125,8744,900,987,947,916,843,777,709
63,01127,2330,38,30,21,14,10,6,4
64,01129,561,3,1,0,0,0,0,0
65,01131,532,1,0,0,0,0,0,0
66,01133,745,12,11,11,10,9,8,7
67,02013,3,,,,,,,NaN
68,02016,8,,,,,,,NaN
69,02020,4279,351,285,232,187,148,117,88
70,02050,112,7,4,3,2,1,1,0
71,02060,10,0,0,0,0,0,0,0
72,02068,7,,,,,,,NaN
73,02070,9,1,0,0,0,0,0,0
74,02090,1109,136,133,139,144,147,148,151
75,02100,5,,,,,,,NaN
76,02105,0,,,,,,,NaN
77,02110,290,6,4,3,2,1,0,0
78,02122,449,5,2,1,0,0,0,0
79,02130,49,0,0,0,0,0,0,0
80,02150,22,0,0,0,0,0,0,0
81,02158,14,,,,,,,NaN
82,02164,0,,,,,,,NaN
83,02170,603,13,8,7,6,5,5,4
84,02180,71,3,0,0,0,0,0,0
85,02185,122,17,14,8,5,2,1,0
86,02188,108,3,2,1,0,0,0,0
87,02195,7,0,0,0,0,0,0,0
88,02198,31,0,0,0,0,0,0,0
89,02220,48,1,0,0,0,0,0,0
90,02230,0,,,,,,,NaN
91,02240,27,1,0,0,0,0,0,0
92,02261,76,1,0,0,0,0,0,0
93,02275,13,,,,,,,NaN
94,02282,24,,,,,,,NaN
95,02290,81,2,1,0,0,0,0,0
96,04001,3527,41,31,21,13,9,5,3
97,04003,1903,10,4,2,1,0,0,0
98,04005,4098,304,291,273,254,236,215,197
99,04007,1303,43,47,44,40,37,34,30
100,04009,821,15,12,10,8,7,6,5
101,04011,59,1,1,1,0,0,0,0
102,04012,544,3,2,1,0,0,0,0
