,County,208,213,220,227,234,241,248,255
0,01001,1219,34,25,23,22,20,18,17
1,01003,3888,254,249,248,246,239,235,227
2,01005,605,19,13,11,10,8,7,5
3,01007,474,15,17,16,15,14,13,12
4,01009,863,38,38,37,36,35,33,31
5,01011,496,6,5,4,3,3,2,2
6,01013,795,14,9,7,6,4,3,2
7,01015,1936,103,90,81,69,60,51,44
8,01017,855,2,2,2,2,2,1,1
9,01019,306,19,17,16,15,14,12,10
10,01021,864,30,32,31,30,28,27,26
11,01023,296,2,0,0,0,0,0,0
12,01025,835,2,2,2,1,1,1,1
13,01027,304,24,21,18,15,13,10,8
14,01029,134,1,0,0,0,0,0,0
15,01031,816,42,39,38,36,34,32,30
16,01033,1276,52,46,41,36,31,27,22
17,01035,403,3,2,2,1,1,1,0
18,01037,106,0,0,0,0,0,0,0
19,01039,775,19,20,18,17,15,14,12
20,01041,350,9,7,6,5,4,3,2
21,01043,1284,43,22,14,9,6,3,2
22,01045,885,30,24,23,21,20,18,16
23,01047,1365,18,18,15,12,9,7,6
24,01049,1899,47,50,47,44,41,38,35
25,01051,1826,77,56,52,48,45,41,38
26,01053,1114,19,9,7,5,3,2,1
27,01055,2292,102,72,67,61,57,52,46
28,01057,246,14,12,13,13,14,14,14
29,01059,1360,62,37,33,28,24,21,18
30,01061,287,13,7,5,3,2,1,0
31,01063,258,2,1,1,1,1,0,0
32,01065,497,4,3,2,1,1,0,0
33,01067,277,4,2,1,1,0,0,0
34,01069,1532,86,79,67,56,47,39,31
35,01071,1130,91,99,96,91,87,82,75
36,01073,14059,764,760,715,677,629,585,543
37,01075,245,4,4,4,3,3,3,3
38,01077,1240,42,38,35,32,29,26,24
39,01079,370,11,9,9,9,9,9,8
40,01081,2779,72,63,60,56,53,49,45
41,01083,1455,100,96,93,89,85,80,75
42,01085,580,1,0,0,0,0,0,0
43,01087,346,2,0,0,0,0,0,0
44,01089,5735,249,254,248,238,228,218,210
45,01091,591,10,8,7,5,4,3,3
46,01093,608,20,17,17,16,16,16,15
47,01095,3253,31,26,23,21,19,17,15
48,01097,11074,471,460,448,425,401,382,362
49,01099,432,3,2,1,0,0,0,0
50,01101,7165,286,192,152,118,91,68,52
51,01103,2515,80,61,47,36,27,20,15
52,01105,457,4,4,4,3,3,3,3
53,01107,440,19,20,20,19,19,18,18
54,01109,725,4,2,1,0,0,0,0
55,01111,409,2,2,1,1,1,1,0
56,01113,1410,9,7,6,4,3,2,2
57,01115,1419,54,41,37,34,31,28,25
58,01117,3517,188,178,168,157,147,136,125
59,01119,378,2,1,0,0,0,0,0
60,01121,1144,80,74,67,60,52,46,40
61,01123,889,5,6,6,5,5,4,4
62,01125,4484,206,185,169,156,141,128,115
