,County,285,290,297
0,01001,2195,138,198
1,01003,6991,127,143
2,01005,1073,0,0
3,01007,890,0,1
4,01009,2178,159,192
5,01011,656,5,0
6,01013,1028,18,22
7,01015,4946,536,553
8,01017,1428,0,0
9,01019,804,29,29
10,01021,1968,12,25
11,01023,396,0,0
12,01025,1407,0,0
13,01027,784,6,8
14,01029,592,6,9
15,01031,1892,66,55
16,01033,2335,91,95
17,01035,585,4,1
18,01037,234,,17
19,01039,1895,24,3
20,01041,626,18,29
21,01043,2905,265,306
22,01045,1954,161,160
23,01047,1922,43,58
24,01049,3720,54,42
25,01051,3339,48,14
26,01053,1788,36,43
27,01055,4575,146,130
28,01057,619,19,2
29,01059,2185,73,85
30,01061,985,99,131
31,01063,350,9,11
32,01065,802,0,0
33,01067,759,85,85
34,01069,4346,359,352
35,01071,2351,120,128
36,01073,24653,808,909
37,01075,532,10,8
38,01077,2794,180,193
39,01079,961,32,20
40,01081,6742,90,97
41,01083,3178,151,169
42,01085,732,17,22
43,01087,571,32,51
44,01089,9857,309,292
45,01091,1068,29,20
46,01093,1145,29,28
47,01095,4607,86,80
48,01097,17387,0,0
49,01099,673,0,0
50,01101,10792,297,244
51,01103,4600,453,544
52,01105,605,16,19
53,01107,944,32,32
54,01109,1399,36,36
55,01111,872,18,13
56,01113,2001,78,132
57,01115,3292,,NaN
58,01117,7880,233,217
59,01119,489,13,13
60,01121,2843,31,0
61,01123,1414,64,91
62,01125,10825,75,0
63,01127,2989,73,62
64,01129,778,9,9
65,01131,579,2,0
66,01133,987,17,16
67,02013,17,4,4
68,02016,100,7,8
69,02020,8734,1214,886
70,02050,499,106,145
71,02060,0,1,1
72,02068,31,,NaN
73,02070,62,17,17
74,02090,2352,278,271
75,02100,13,4,5
76,02105,0,,NaN
77,02110,594,81,86
78,02122,1138,163,177
79,02130,92,,NaN
80,02150,124,26,29
81,02158,259,,NaN
82,02164,113,7,14
83,02170,1588,319,511
84,02180,141,12,2
85,02185,281,6,5
86,02188,261,21,24
87,02195,20,,NaN
88,02198,35,,NaN
89,02220,82,24,29
90,02230,8,,NaN
91,02240,90,21,20
92,02261,176,33,27
93,02275,19,,NaN
94,02282,37,,NaN
95,02290,122,,NaN
96,04001,4006,226,363
97,04003,2205,100,123
98,04005,5429,317,228
99,04007,1992,90,100
100,04009,1283,64,56
101,04011,104,5,5
102,04012,628,9,12
103,04013,160184,4446,4817
104,04015,4453,160,278
105,04017,6545,327,462
106,04019,28914,935,1913
107,04021,12210,219,97
108,04023,3066,138,182
109,04025,3079,93,99
110,04027,14041,217,148
111,05001,728,6,10
112,05003,576,30,19
113,05005,785,81,57
114,05007,8651,648,574
115,05009,1104,91,73
116,05011,374,0,0
117,05013,60,6,5
118,05015,1051,88,100
119,05017,1057,5,0
120,05019,533,25,21
121,05021,519,10,9
122,05023,502,21,18
123,05025,259,2,4
124,05027,760,67,72
125,05029,361,4,1
126,05031,4972,273,167
127,05033,2204,75,54
128,05035,2543,78,51
129,05037,628,40,37
130,05039,188,5,6
131,05041,433,25,18
132,05043,443,35,43
133,05045,3554,269,284
134,05047,580,0,10
135,05049,350,23,16
136,05051,2660,57,57
137,05053,383,13,3
138,05055,1681,93,10
139,05057,599,86,137
140,05059,2300,78,57
141,05061,625,69,93
142,05063,1530,15,22
143,05065,679,73,84
144,05067,920,217,255
145,05069,4312,133,86
146,05071,1064,7,15
147,05073,204,62,91
148,05075,893,47,15
