,County,285,290,297,304,311,318,325,332,339
0,01001,2186,111,111,111,111,111,111,111,111
1,01003,6985,303,303,303,303,303,303,303,303
2,01005,1065,29,29,29,29,29,29,29,29
3,01007,883,45,45,45,45,45,45,45,45
4,01009,2108,149,149,149,149,149,149,149,149
5,01011,655,5,5,5,5,5,5,5,5
6,01013,1026,15,15,15,15,15,15,15,15
7,01015,4925,294,294,294,294,294,294,294,294
8,01017,1397,39,39,39,39,39,39,39,39
9,01019,791,50,50,50,50,50,50,50,50
10,01021,1958,69,69,69,69,69,69,69,69
11,01023,395,5,5,5,5,5,5,5,5
12,01025,1408,51,51,51,51,51,51,51,51
13,01027,779,31,31,31,31,31,31,31,31
14,01029,591,27,27,27,27,27,27,27,27
15,01031,1885,102,102,102,102,102,102,102,102
16,01033,2313,146,146,146,146,146,146,146,146
17,01035,578,16,16,16,16,16,16,16,16
18,01037,225,19,19,19,19,19,19,19,19
19,01039,1894,146,146,146,146,146,146,146,146
20,01041,624,14,14,14,14,14,14,14,14
21,01043,2866,341,341,341,341,341,341,341,341
22,01045,1945,155,155,155,155,155,155,155,155
23,01047,1909,41,41,41,41,41,41,41,41
24,01049,3703,270,270,270,270,270,270,270,270
25,01051,3325,109,109,109,109,109,109,109,109
26,01053,1768,41,41,41,41,41,41,41,41
27,01055,4563,247,247,247,247,247,247,247,247
28,01057,610,34,34,34,34,34,34,34,34
29,01059,2189,68,68,68,68,68,68,68,68
30,01061,984,71,71,71,71,71,71,71,71
31,01063,351,9,9,9,9,9,9,9,9
32,01065,798,26,26,26,26,26,26,26,26
33,01067,752,36,36,36,36,36,36,36,36
34,01069,4341,152,152,152,152,152,152,152,152
35,01071,2359,172,172,172,172,172,172,172,172
36,01073,24597,1156,1156,1156,1156,1156,1156,1156,1156
37,01075,535,40,40,40,40,40,40,40,40
38,01077,2765,203,203,203,203,203,203,203,203
39,01079,946,66,66,66,66,66,66,66,66
40,01081,6736,168,168,168,168,168,168,168,168
41,01083,3141,189,189,189,189,189,189,189,189
42,01085,731,17,17,17,17,17,17,17,17
43,01087,569,24,24,24,24,24,24,24,24
44,01089,9852,400,400,400,400,400,400,400,400
45,01091,1071,53,53,53,53,53,53,53,53
46,01093,1134,45,45,45,45,45,45,45,45
47,01095,4593,156,156,156,156,156,156,156,156
48,01097,17342,412,412,412,412,412,412,412,412
49,01099,668,21,21,21,21,21,21,21,21
50,01101,10760,457,457,457,457,457,457,457,457
51,01103,4567,354,354,354,354,354,354,354,354
52,01105,606,15,15,15,15,15,15,15,15
53,01107,932,69,69,69,69,69,69,69,69
54,01109,1393,44,44,44,44,44,44,44,44
55,01111,870,36,36,36,36,36,36,36,36
56,01113,2008,60,60,60,60,60,60,60,60
57,01115,3254,281,281,281,281,281,281,281,281
58,01117,7826,378,378,378,378,378,378,378,378
59,01119,488,15,15,15,15,15,15,15,15
60,01121,2818,144,144,144,144,144,144,144,144
61,01123,1409,81,81,81,81,81,81,81,81
62,01125,10824,438,438,438,438,438,438,438,438
