,County,326,332,339,346,353,360,367
0,01001,3300,256,248,234,222,199,174
1,01003,10806,986,955,911,860,817,740
2,01005,1272,36,39,39,41,40,36
3,01007,1441,80,68,62,61,56,50
4,01009,3776,435,409,378,339,283,223
5,01011,728,0,0,0,0,0,0
6,01013,1330,7,7,7,7,7,7
7,01015,7813,758,642,567,529,494,460
8,01017,2013,126,135,131,129,119,109
9,01019,1197,82,85,87,82,80,71
10,01021,2547,76,64,55,54,49,48
11,01023,454,7,7,7,7,7,7
12,01025,2041,129,132,128,119,113,103
13,01027,1003,38,39,43,42,43,43
14,01029,882,7,7,7,8,10,10
15,01031,2921,263,269,266,255,232,198
16,01033,3843,276,241,219,198,178,143
17,01035,778,47,66,74,70,65,60
18,01037,433,44,41,41,42,41,41
19,01039,2525,72,62,55,51,53,50
20,01041,778,14,16,16,15,15,14
21,01043,5700,563,573,549,512,446,375
22,01045,2767,198,216,214,205,192,168
23,01047,2490,60,61,60,57,57,53
24,01049,5834,500,529,523,488,427,358
25,01051,4959,509,524,513,470,416,346
26,01053,2262,7,12,16,21,18,14
27,01055,7977,789,778,740,683,591,479
28,01057,1168,74,68,61,58,53,50
29,01059,2865,49,41,34,34,35,32
30,01061,1409,77,76,70,69,68,63
31,01063,546,0,0,0,0,0,0
32,01065,1132,7,10,12,14,13,13
33,01067,989,1,2,7,7,7,3
34,01069,6062,401,394,386,370,349,307
35,01071,4361,247,216,184,172,153,140
36,01073,40709,5157,5710,5862,5559,4990,4197
37,01075,855,67,67,65,62,54,48
38,01077,5078,427,390,363,339,310,280
39,01079,1585,154,144,141,135,121,107
40,01081,8744,730,1000,1150,1170,1086,1022
41,01083,5315,506,528,515,498,446,376
42,01085,858,0,0,0,0,0,0
43,01087,843,64,69,70,68,65,60
44,01089,17030,2035,2078,2037,1973,1839,1662
45,01091,1473,0,0,0,0,5,6
46,01093,1684,137,146,143,141,122,107
47,01095,7801,691,656,611,580,512,441
48,01097,22169,1535,1884,2056,2066,2030,1870
49,01099,922,80,101,107,109,101,91
50,01101,13783,936,1223,1363,1329,1207,1032
51,01103,8492,806,771,739,681,605,505
52,01105,745,0,0,0,0,0,0
53,01107,1414,62,56,51,52,48,45
54,01109,1737,55,58,61,61,56,53
55,01111,1128,40,37,36,35,35,36
56,01113,2463,148,175,191,190,180,171
57,01115,5261,595,618,621,583,515,434
58,01117,12705,1139,1059,1015,984,931,864
59,01119,666,36,43,49,45,42,40
60,01121,4335,154,107,84,66,45,32
61,01123,2055,15,17,22,25,21,16
62,01125,15513,1508,1806,1925,1814,1593,1307
63,01127,4424,313,287,262,240,213,180
64,01129,1026,0,0,0,1,6,6
65,01131,779,4,6,7,7,7,7
