,County,361,367,374
0,01001,5184,285,284
1,01003,16251,792,691
2,01005,1729,79,66
3,01007,2151,78,69
4,01009,5304,181,136
5,01011,990,31,31
6,01013,1696,53,54
7,01015,11122,557,523
8,01017,2827,170,166
9,01019,1603,83,75
10,01021,3361,82,68
11,01023,512,23,27
12,01025,2814,118,98
13,01027,1261,35,30
14,01029,1174,60,53
15,01031,4410,215,203
16,01033,5320,207,181
17,01035,944,35,34
18,01037,605,31,30
19,01039,3272,107,95
20,01041,1187,62,54
21,01043,8023,292,250
22,01045,3961,158,128
23,01047,3031,90,87
24,01049,7683,215,168
25,01051,7836,383,386
26,01053,3168,172,158
27,01055,11735,555,546
28,01057,1682,101,79
29,01059,3662,123,114
30,01061,2014,74,67
31,01063,760,26,25
32,01065,1758,73,61
33,01067,1536,81,65
34,01069,8598,409,381
35,01071,5803,156,118
36,01073,62039,2657,2348
37,01075,1180,38,37
38,01077,7546,293,240
39,01079,2436,83,69
40,01081,12465,572,504
41,01083,8002,375,313
42,01085,1103,43,43
43,01087,1147,56,55
44,01089,27052,1162,1009
45,01091,1990,39,39
46,01093,2456,114,111
47,01095,10191,243,213
48,01097,30225,1300,1140
49,01099,1452,50,47
50,01101,18978,890,849
51,01103,12233,393,355
52,01105,974,37,36
53,01107,1965,68,58
54,01109,2487,123,112
55,01111,1398,57,57
56,01113,3303,167,183
57,01115,7535,226,184
58,01117,18504,849,827
59,01119,890,17,18
60,01121,6166,289,220
61,01123,2616,66,62
62,01125,20728,557,553
63,01127,5897,107,88
64,01129,1376,50,43
65,01131,1031,47,45
66,01133,2266,62,61
67,02013,40,,NaN
68,02016,269,25,25
69,02020,24656,744,770
70,02050,2985,113,88
71,02060,0,,NaN
72,02068,63,10,13
73,02070,154,12,14
74,02090,5633,188,138
75,02100,24,,NaN
76,02105,0,,NaN
77,02110,1102,,NaN
78,02122,3832,71,69
79,02130,269,,NaN
80,02150,1002,41,41
81,02158,995,,NaN
82,02164,167,10,15
83,02170,7157,209,194
84,02180,296,20,23
85,02185,965,86,72
86,02188,520,62,61
87,02195,46,,NaN
88,02198,75,,NaN
89,02220,294,,NaN
90,02230,16,,NaN
91,02240,412,9,11
92,02261,401,22,24
93,02275,25,,NaN
94,02282,62,,NaN
95,02290,253,23,23
96,04001,8634,194,152
97,04003,9589,594,493
98,04005,13943,854,747
99,04007,5389,198,176
100,04009,4361,207,160
101,04011,483,38,39
102,04012,2029,127,103
103,04013,417839,27028,21586
104,04015,16734,1289,1104
105,04017,13343,610,542
106,04019,90084,5711,4715
107,04021,36735,2424,1953
108,04023,7039,284,230
109,04025,14748,1158,930
110,04027,32932,1265,1003
111,05001,1564,87,75
112,05003,1487,87,79
113,05005,2466,110,94
114,05007,23013,1606,1659
115,05009,2996,140,112
116,05011,1161,60,52
117,05013,293,27,26
118,05015,2406,116,100
119,05017,1503,31,25
120,05019,1649,115,101
121,05021,1477,54,46
122,05023,1613,106,89
123,05025,682,40,37
124,05027,1791,89,88
125,05029,1782,101,97
126,05031,11529,404,329
127,05033,5571,349,309
128,05035,5055,264,226
129,05037,1703,79,70
130,05039,611,60,62
131,05041,1088,57,55
132,05043,1708,82,66
