,County,270,276,283,290,297,304,311,318,325
0,01001,1989,78,66,57,51,47,44,42,39
1,01003,6369,166,163,151,139,127,116,106,97
2,01005,981,,,,,,,,NaN
3,01007,785,,,,,,,,NaN
4,01009,1827,93,72,55,45,38,33,30,27
5,01011,634,,,,,,,,NaN
6,01013,996,,,,,,,,NaN
7,01015,4084,236,212,189,173,161,151,142,134
8,01017,1266,21,16,12,10,8,6,5,4
9,01019,714,,,,,,,,NaN
10,01021,1787,64,61,57,54,50,47,44,41
11,01023,386,,,,,,,,NaN
12,01025,1261,37,28,23,19,16,13,11,9
13,01027,703,,,,,,,,NaN
14,01029,520,,,,,,,,NaN
15,01031,1629,87,72,61,54,50,46,43,41
16,01033,1889,65,46,37,32,29,27,25,23
17,01035,554,,,,,,,,NaN
18,01037,196,,,,,,,,NaN
19,01039,1644,87,64,48,38,32,28,25,22
20,01041,588,,,,,,,,NaN
21,01043,2239,152,106,77,60,50,44,40,37
22,01045,1615,62,60,55,52,48,46,43,41
23,01047,1845,14,11,10,8,7,6,5,4
24,01049,3133,259,194,151,127,113,103,96,91
25,01051,3081,116,93,78,69,63,58,54,50
26,01053,1703,15,11,9,7,6,4,4,3
27,01055,3991,169,139,116,101,91,83,77,71
28,01057,540,,,,,,,,NaN
29,01059,1981,80,64,53,47,43,40,38,36
30,01061,829,,,,,,,,NaN
31,01063,333,,,,,,,,NaN
32,01065,737,,,,,,,,NaN
33,01067,628,,,,,,,,NaN
34,01069,3623,109,95,82,70,60,51,43,37
35,01071,1979,141,94,65,49,40,34,31,28
36,01073,22300,793,639,523,449,397,358,327,301
37,01075,455,,,,,,,,NaN
38,01077,2043,110,98,88,81,76,71,68,64
39,01079,788,,,,,,,,NaN
40,01081,6430,137,121,102,84,70,57,47,39
41,01083,2683,140,77,44,25,15,9,5,2
42,01085,698,,,,,,,,NaN
43,01087,528,,,,,,,,NaN
44,01089,8951,352,241,171,132,110,95,86,80
45,01091,964,,,,,,,,NaN
46,01093,1039,15,12,10,9,8,6,6,5
47,01095,4253,85,56,40,30,24,19,16,13
48,01097,14273,292,262,228,199,176,156,139,125
49,01099,625,,,,,,,,NaN
50,01101,9615,376,360,340,327,318,311,304,299
51,01103,3932,225,167,127,104,89,79,71,65
52,01105,579,,,,,,,,NaN
53,01107,793,,,,,,,,NaN
54,01109,1301,40,50,53,54,53,51,49,46
55,01111,793,,,,,,,,NaN
56,01113,1899,49,37,29,23,20,18,16,14
57,01115,2767,148,115,91,75,64,56,50,46
58,01117,7002,285,220,174,142,118,99,84,71
59,01119,464,,,,,,,,NaN
60,01121,2536,148,126,105,89,77,68,60,53
61,01123,1269,43,35,29,25,22,19,18,16
62,01125,9886,359,336,298,262,229,200,175,153
63,01127,2641,82,51,33,23,16,12,9,7
64,01129,620,,,,,,,,NaN
65,01131,554,,,,,,,,NaN
66,01133,886,,,,,,,,NaN
67,02013,15,,,,,,,,NaN
68,02016,97,,,,,,,,NaN
69,02020,6331,577,352,225,153,111,85,69,58
70,02050,263,,,,,,,,NaN
71,02060,0,,,,,,,,NaN
72,02068,21,,,,,,,,NaN
73,02070,37,,,,,,,,NaN
74,02090,1813,192,142,106,82,65,52,42,34
75,02100,11,,,,,,,,NaN
76,02105,0,,,,,,,,NaN
77,02110,453,,,,,,,,NaN
78,02122,753,,,,,,,,NaN
79,02130,78,,,,,,,,NaN
80,02150,91,,,,,,,,NaN
81,02158,34,,,,,,,,NaN
82,02164,99,,,,,,,,NaN
83,02170,861,,,,,,,,NaN
84,02180,112,,,,,,,,NaN
85,02185,217,,,,,,,,NaN
86,02188,213,,,,,,,,NaN
87,02195,16,,,,,,,,NaN
88,02198,34,,,,,,,,NaN
89,02220,71,,,,,,,,NaN
90,02230,1,,,,,,,,NaN
91,02240,62,,,,,,,,NaN
92,02261,148,,,,,,,,NaN
93,02275,19,,,,,,,,NaN
94,02282,33,,,,,,,,NaN
95,02290,103,,,,,,,,NaN
96,04001,3780,53,33,23,17,13,10,8,7
97,04003,2032,61,43,32,26,22,20,18,17
98,04005,4721,209,147,106,82,68,60,54,49
99,04007,1741,170,108,70,50,40,34,30,28
100,04009,1028,,,,,,,,NaN
101,04011,72,,,,,,,,NaN
102,04012,589,,,,,,,,NaN
103,04013,149720,3120,2533,2070,1764,1553,1392,1266,1166
104,04015,4183,83,70,58,50,43,38,34,31
105,04017,6096,207,131,85,62,49,42,39,36
106,04019,26911,414,302,233,187,154,130,110,95
107,04021,11334,269,203,159,131,112,99,89,80
108,04023,2949,31,20,14,10,8,7,6,6
109,04025,2776,67,58,52,46,42,38,34,30
110,04027,13217,171,110,74,55,44,39,35,33
111,05001,602,,,,,,,,NaN
112,05003,498,,,,,,,,NaN
113,05005,550,,,,,,,,NaN
114,05007,7599,358,291,245,220,204,194,186,180
115,05009,951,,,,,,,,NaN
116,05011,356,,,,,,,,NaN
117,05013,42,,,,,,,,NaN
118,05015,927,,,,,,,,NaN
119,05017,1030,11,11,10,9,8,7,6,6
120,05019,463,,,,,,,,NaN
121,05021,429,,,,,,,,NaN
122,05023,431,,,,,,,,NaN
123,05025,204,,,,,,,,NaN
124,05027,654,,,,,,,,NaN
125,05029,329,,,,,,,,NaN
126,05031,4026,355,283,237,210,191,178,167,157
127,05033,1867,132,102,86,76,69,63,58,54
128,05035,2184,103,76,57,46,40,35,32,29
129,05037,538,,,,,,,,NaN
130,05039,177,,,,,,,,NaN
131,05041,374,,,,,,,,NaN
132,05043,403,,,,,,,,NaN
133,05045,3132,170,99,60,37,23,15,9,5
134,05047,458,,,,,,,,NaN
135,05049,274,,,,,,,,NaN
136,05051,2246,126,97,77,64,55,50,45,41
137,05053,334,,,,,,,,NaN
138,05055,1246,141,114,95,82,73,67,61,56
139,05057,501,,,,,,,,NaN
140,05059,2105,42,25,17,12,9,7,6,5
141,05061,539,,,,,,,,NaN
142,05063,1368,66,63,59,56,52,49,45,42
143,05065,408,,,,,,,,NaN
144,05067,614,,,,,,,,NaN
145,05069,3933,183,167,151,136,120,106,93,81
146,05071,941,,,,,,,,NaN
147,05073,151,,,,,,,,NaN
148,05075,722,,,,,,,,NaN
149,05077,1100,6,7,7,7,7,6,6,5
150,05079,2219,58,36,23,17,13,11,10,9
151,05081,413,,,,,,,,NaN
152,05083,542,,,,,,,,NaN
153,05085,1517,105,84,67,55,46,40,35,31
154,05087,409,,,,,,,,NaN
155,05089,131,,,,,,,,NaN
156,05091,1175,104,56,31,18,10,6,4,2
157,05093,2059,158,127,104,91,81,75,70,65
158,05095,198,,,,,,,,NaN
159,05097,179,,,,,,,,NaN
160,05099,266,,,,,,,,NaN
161,05101,287,,,,,,,,NaN
162,05103,333,,,,,,,,NaN
163,05105,124,,,,,,,,NaN
164,05107,682,,,,,,,,NaN
165,05109,254,,,,,,,,NaN
166,05111,914,,,,,,,,NaN
167,05113,342,,,,,,,,NaN
168,05115,2551,132,106,89,77,69,63,58,54
169,05117,192,,,,,,,,NaN
170,05119,11110,611,443,330,262,217,187,165,148
171,05121,588,,,,,,,,NaN
172,05123,1652,41,41,40,38,37,35,33,31
173,05125,2592,154,116,89,72,61,53,47,42
174,05127,147,,,,,,,,NaN
175,05129,177,,,,,,,,NaN
176,05131,4539,198,133,98,76,61,51,42,36
177,05133,1271,33,25,19,16,14,13,12,11
178,05135,303,,,,,,,,NaN
179,05137,389,,,,,,,,NaN
180,05139,1072,51,36,29,23,20,17,15,13
181,05141,200,,,,,,,,NaN
182,05143,10851,406,334,296,273,257,245,236,227
