,County,327,332,339,346
0,01001,3329,284,287,287
1,01003,10898,1053,1023,1040
2,01005,1275,49,44,45
3,01007,1455,126,126,132
4,01009,3803,467,456,451
5,01011,728,12,10,10
6,01013,1340,84,84,81
7,01015,7872,742,700,648
8,01017,2022,98,90,109
9,01019,1204,96,92,89
10,01021,2553,156,156,156
11,01023,455,14,14,13
12,01025,2051,392,347,372
13,01027,1008,42,42,42
14,01029,887,52,42,39
15,01031,2947,251,258,255
16,01033,3885,311,309,279
17,01035,781,44,42,43
18,01037,434,36,33,33
19,01039,2529,172,171,163
20,01041,786,32,37,35
21,01043,5734,692,691,644
22,01045,2792,243,239,241
23,01047,2492,110,105,115
24,01049,5856,498,533,541
25,01051,4991,464,467,456
26,01053,2266,158,153,160
27,01055,8043,812,797,698
28,01057,1176,117,112,111
29,01059,2872,163,168,165
30,01061,1417,91,91,88
31,01063,547,78,79,80
32,01065,1137,101,103,101
33,01067,995,65,57,59
34,01069,6111,380,402,381
35,01071,4387,418,453,408
36,01073,41150,4207,4252,4030
37,01075,858,96,92,90
38,01077,5125,416,434,417
39,01079,1596,149,146,146
40,01081,8788,544,523,519
41,01083,5377,511,514,522
42,01085,865,20,20,21
43,01087,845,59,60,59
44,01089,17277,1948,1900,1862
45,01091,1481,163,154,155
46,01093,1708,139,138,136
47,01095,7820,678,707,666
48,01097,22294,1235,1267,1247
49,01099,923,70,72,68
50,01101,13875,764,762,741
51,01103,8580,824,809,791
52,01105,747,32,33,31
53,01107,1421,90,91,81
54,01109,1741,74,70,70
55,01111,1131,37,38,39
56,01113,2470,105,103,107
57,01115,5323,475,469,462
58,01117,12837,1163,1162,1162
59,01119,668,47,47,47
60,01121,4371,383,365,385
61,01123,2061,121,131,126
62,01125,15595,1322,1337,1326
63,01127,4445,452,444,454
64,01129,1032,76,76,73
65,01131,779,113,128,129
66,01133,1654,163,160,167
67,02013,40,0,0,0
68,02016,161,44,39,42
69,02020,20566,1833,1749,1828
70,02050,1979,238,237,250
71,02060,0,0,0,0
72,02068,57,7,8,7
73,02070,111,1,2,2
74,02090,4369,510,503,532
75,02100,20,2,2,2
76,02105,0,0,0,0
77,02110,963,46,43,39
78,02122,3272,266,249,265
79,02130,224,7,8,11
80,02150,708,231,223,229
81,02158,643,148,131,137
82,02164,154,4,4,4
83,02170,5489,587,459,437
84,02180,256,3,2,7
85,02185,684,102,99,97
86,02188,386,14,11,9
87,02195,28,3,2,2
88,02198,65,5,5,5
89,02220,239,7,6,4
90,02230,14,0,0,0
91,02240,367,32,29,30
92,02261,300,20,21,21
93,02275,23,0,0,1
94,02282,52,2,2,1
95,02290,191,5,4,5
96,04001,6550,595,600,662
97,04003,5279,805,809,812
98,04005,9284,892,908,910
99,04007,3725,331,330,334
100,04009,2655,199,186,208
101,04011,331,34,31,36
102,04012,1091,104,101,99
103,04013,260661,24596,24599,24373
104,04015,8681,1209,1238,1274
105,04017,9788,849,849,862
106,04019,53448,6813,6663,6682
107,04021,22088,2637,2610,2578
108,04023,4972,515,516,515
109,04025,8171,1398,1415,1423
110,04027,23513,2591,2591,2609
111,05001,1101,64,65,62
112,05003,1075,110,112,116
113,05005,1676,115,115,120
114,05007,14394,1132,1156,1156
115,05009,2182,172,163,171
116,05011,695,94,96,94
117,05013,177,14,14,13
118,05015,1760,148,150,152
119,05017,1315,39,42,42
120,05019,1077,138,134,141
121,05021,1132,93,91,102
122,05023,901,74,75,76
123,05025,472,56,55,56
124,05027,1334,131,131,134
125,05029,940,136,126,144
126,05031,8461,638,660,640
127,05033,3717,336,347,335
128,05035,3721,206,213,209
129,05037,1100,140,141,145
130,05039,391,41,41,40
131,05041,761,89,95,88
132,05043,1152,183,168,167
133,05045,6032,600,608,611
134,05047,937,60,61,61
135,05049,639,44,49,47
136,05051,4615,430,415,428
137,05053,757,64,65,68
138,05055,3783,407,408,400
139,05057,1032,85,81,84
140,05059,3172,131,124,130
141,05061,942,64,69,67
142,05063,2355,115,116,104
143,05065,1073,44,44,49
144,05067,2431,386,372,333
145,05069,5740,215,223,241
146,05071,1476,119,117,120
147,05073,292,16,14,17
148,05075,1338,69,65,63
149,05077,1332,69,71,70
150,05079,2669,97,96,99
151,05081,695,22,21,19
152,05083,1167,90,90,90
153,05085,3286,280,278,272
154,05087,831,70,64,69
155,05089,524,37,29,26
156,05091,2349,83,85,85
157,05093,3819,296,287,303
158,05095,372,36,37,37
159,05097,399,53,51,53
160,05099,519,21,21,21
161,05101,502,24,24,25
162,05103,1064,129,110,123
163,05105,317,31,31,31
164,05107,1081,62,63,62
165,05109,498,58,62,57
166,05111,1987,172,178,178
167,05113,1026,78,79,69
168,05115,4388,333,334,343
169,05117,418,33,36,35
170,05119,19986,1606,1577,1542
171,05121,1208,122,118,109
172,05123,2438,158,157,156
173,05125,6193,635,643,667
174,05127,470,42,43,43
175,05129,407,57,57,58
176,05131,8139,613,578,555
177,05133,1874,58,53,57
178,05135,879,63,63,62
179,05137,598,56,56,58
180,05139,1839,154,150,145
181,05141,561,102,100,94
182,05143,18140,1316,1320,1335
183,05145,3579,309,271,324
184,05147,266,51,48,52
185,05149,1954,163,162,172
186,06001,38218,4563,4600,4571
187,06003,63,5,5,6
188,06005,1637,370,377,381
189,06007,5103,518,551,545
190,06009,710,108,107,108
191,06011,945,132,132,135
192,06013,29760,3233,3400,3299
193,06015,542,121,126,123
194,06017,3770,824,815,809
195,06019,44114,3067,3016,2998
196,06021,1171,114,115,112
197,06023,1295,216,215,219
198,06025,19472,2217,2291,2367
199,06027,388,58,56,53
200,06029,50624,5375,5383,5390
201,06031,13357,1350,1362,1372
202,06033,1271,193,197,200
203,06035,3127,702,694,697
204,06037,532730,72797,74253,73096
205,06039,8019,1089,1059,1045
206,06041,8491,395,403,412
207,06043,180,18,19,19
208,06045,1991,234,237,218
209,06047,14483,1611,1621,1722
210,06049,243,57,57,57
211,06051,700,106,107,114
212,06053,18913,1686,1669,1690
213,06055,4194,622,633,630
214,06057,2030,386,377,361
215,06059,105764,14147,13721,13531
216,06061,9549,1430,1455,1453
217,06063,347,64,63,65
218,06065,119691,19536,19476,19157
219,06067,49480,6422,6374,6393
220,06069,2477,269,280,289
221,06071,127791,20128,20664,19377
222,06073,109578,11997,11884,12010
223,06075,18686,1747,1733,1790
224,06077,32170,4338,4278,4242
225,06079,7625,882,858,882
226,06081,18584,2297,2235,2144
227,06083,13249,1057,1068,1053
228,06085,49216,7495,7732,7552
229,06087,5986,776,768,771
230,06089,6777,1328,1372,1298
231,06091,27,0,0,0
232,06093,914,123,125,124
233,06095,13734,1348,1316,1308
234,06097,14705,1205,1179,1207
235,06099,27398,2617,2546,2596
236,06101,4798,754,716,760
237,06103,2357,429,443,415
238,06105,225,36,42,43
239,06107,25496,2676,2710,2667
240,06109,1653,334,316,326
241,06111,26588,3038,3002,3141
242,06113,6267,745,727,745
243,06115,2820,411,417,415
244,08001,35483,2849,2845,2903
245,08003,801,109,107,107
246,08005,33292,2771,3014,2888
247,08007,415,104,104,102
248,08009,156,20,15,12
249,08011,685,225,222,222
250,08013,13057,969,968,1024
251,08014,2479,183,205,193
252,08015,833,80,87,79
253,08017,85,11,8,10
254,08019,233,20,19,18
255,08021,247,29,31,36
256,08023,117,21,21,20
257,08025,1452,98,108,104
258,08027,121,26,27,27
259,08029,1123,250,249,249
260,08031,42850,2815,2931,3042
261,08033,43,8,8,8
262,08035,13620,1384,1423,1438
263,08037,2904,278,278,271
264,08039,823,121,114,109
265,08041,35496,4023,4016,4057
266,08043,3733,392,424,417
267,08045,3047,462,438,434
268,08047,105,9,9,10
269,08049,529,42,40,40
270,08051,545,42,43,46
271,08053,12,2,2,1
272,08055,238,28,28,31
273,08057,28,2,3,3
274,08059,25931,2658,2622,2688
275,08061,53,19,20,20
276,08063,390,50,50,64
277,08065,356,32,34,31
278,08067,1907,212,171,137
279,08069,13158,1439,1337,1342
280,08071,377,68,67,70
281,08073,694,146,132,295
282,08075,2776,216,219,181
283,08077,7654,752,767,771
284,08079,37,0,1,1
285,08081,451,65,76,74
286,08083,1013,146,144,160
287,08085,1667,261,258,261
288,08087,1918,132,128,141
289,08089,1325,342,351,358
290,08091,138,8,6,4
291,08093,314,32,34,34
292,08095,206,5,5,6
293,08097,699,91,91,89
294,08099,882,133,133,131
295,08101,11615,1592,1551,1582
296,08103,223,45,42,41
297,08105,299,30,28,27
298,08107,892,133,127,125
299,08109,241,8,6,1
300,08111,26,8,7,8
301,08113,291,25,25,29
302,08115,117,1,0,0
303,08117,1842,133,135,134
304,08119,861,127,124,127
305,08121,299,0,12,0
306,08123,17432,1445,1455,1394
307,08125,443,67,67,68
308,09001,48308,5109,5049,4901
309,09003,38036,5054,5214,4957
310,09005,6061,854,833,845
311,09007,5005,733,720,706
312,09009,39576,4830,4799,5060
313,09011,8212,1035,1051,1032
314,09013,3915,488,498,468
315,09015,3735,602,620,586
316,10001,7180,1117,1088,1072
317,10003,26653,3513,3517,3577
318,10005,12526,1085,1056,1023
319,11001,NaN,,,NaN
320,12001,14128,672,653,659
321,12003,2200,75,83,85
322,12005,9825,644,584,579
323,12007,1586,92,90,90
324,12009,17897,1106,1085,1133
325,12011,120840,6730,6909,6693
326,12013,986,61,62,65
327,12015,6111,575,581,569
328,12017,5570,370,377,371
329,12019,9213,566,568,553
330,12021,20021,1100,1105,1087
331,12023,5161,191,178,174
332,12027,2613,136,161,52
333,12029,1001,16,15,18
334,12031,50646,3179,3172,3116
335,12033,18869,1106,1099,1093
336,12035,3080,154,162,159
337,12037,850,12,11,12
338,12039,3519,108,99,110
339,12041,861,42,41,37
340,12043,718,21,23,20
341,12045,1144,42,42,38
342,12047,1056,33,32,33
343,12049,1886,55,53,53
344,12051,2785,160,157,158
345,12053,6021,553,552,557
346,12055,4301,261,266,245
347,12057,66041,4238,4417,4416
348,12059,1323,67,64,67
349,12061,5577,287,310,308
350,12063,4151,134,135,132
351,12065,842,32,29,30
352,12067,1389,24,21,17
353,12069,12435,1064,1003,1036
354,12071,34717,2285,2244,2282
355,12073,16890,985,991,978
356,12075,1588,89,95,90
357,12077,647,22,20,21
358,12079,1413,85,82,85
359,12081,19020,1183,1170,1177
360,12083,14938,929,937,903
361,12085,6869,326,315,313
362,12086,260138,14101,13806,14342
363,12087,3839,239,243,236
364,12089,3745,264,265,266
365,12091,10781,954,873,832
366,12093,2177,60,57,56
367,12095,64593,2150,2279,2317
368,12097,21644,1805,1808,1808
369,12099,73079,3811,3925,3899
370,12101,17975,1643,1645,1656
371,12103,38118,2781,2778,2781
372,12105,31383,2092,2095,2152
373,12107,3252,269,279,280
374,12109,10422,778,786,786
375,12111,12108,739,751,747
376,12113,8925,780,766,783
377,12115,15915,1069,1041,1119
378,12117,15400,1648,1682,1754
379,12119,4037,282,285,285
380,12121,3540,136,142,147
381,12123,1760,62,62,63
382,12125,1306,49,48,50
383,12127,18710,1155,1134,1134
384,12129,1803,71,78,85
385,12131,4198,248,246,259
386,12133,1670,64,62,67
387,13001,1428,54,51,50
388,13003,652,29,29,29
389,13005,827,44,45,42
390,13007,140,11,10,10
391,13009,2852,88,88,88
392,13011,979,104,102,103
393,13013,4174,364,377,372
394,13015,6243,578,558,579
395,13017,1215,101,96,96
396,13019,845,47,48,50
397,13021,8595,505,525,506
398,13023,776,37,37,35
399,13025,891,55,53,50
400,13027,833,66,59,65
401,13029,1655,70,69,69
402,13031,3982,116,119,115
403,13033,1379,78,77,77
404,13035,1317,127,128,125
405,13037,345,15,11,10
406,13039,2098,117,116,118
407,13043,627,5,5,5
408,13045,6572,502,497,508
409,13047,2604,288,290,281
410,13049,892,51,51,50
411,13051,11889,509,499,517
412,13053,2133,89,78,79
413,13055,1477,137,140,138
414,13057,12680,992,1017,1071
415,13059,8892,437,463,476
416,13061,157,7,6,5
417,13063,12209,862,881,880
418,13065,552,9,9,10
419,13067,35427,2751,2797,2696
420,13069,3440,236,245,231
421,13071,2809,109,111,126
422,13073,7826,647,657,648
423,13075,1015,52,49,48
424,13077,6599,653,639,600
425,13079,309,31,30,28
426,13081,1113,133,125,131
427,13083,640,44,42,39
428,13085,1397,132,132,117
429,13087,1752,35,27,0
430,13089,31935,2136,2212,2171
431,13091,1167,63,63,62
432,13093,564,49,49,48
433,13095,4185,250,252,241
434,13097,6809,566,553,567
435,13099,740,27,31,28
436,13101,323,17,16,17
437,13103,2351,67,64,68
438,13105,1368,98,104,105
439,13107,1531,67,63,64
440,13109,581,13,14,12
441,13111,1182,84,85,82
442,13113,3913,305,302,281
443,13115,6467,466,472,467
444,13117,8429,778,798,824
445,13119,1449,101,105,102
446,13121,47182,3442,3344,3227
447,13123,1493,116,113,116
448,13125,107,20,21,22
449,13127,4607,151,155,154
450,13129,4046,274,277,294
451,13131,1101,45,42,44
452,13133,839,45,49,49
453,13135,46962,3668,3839,3731
454,13137,2832,257,245,247
455,13139,14949,1164,1115,1148
456,13141,551,10,14,13
457,13143,1554,130,121,116
458,13145,1170,59,62,63
459,13147,1111,145,141,144
460,13149,501,62,64,66
461,13151,10560,903,881,911
462,13153,5921,564,551,547
463,13155,502,32,32,33
464,13157,4276,413,409,409
465,13159,623,68,69,75
466,13161,1052,48,47,47
467,13163,1117,61,63,62
468,13165,513,7,6,6
469,13167,569,24,20,16
470,13169,918,60,58,63
471,13171,853,78,80,78
