,State,425,430,437,444,451,458,465
0,Washington,NaN,68,58,49,42,36,30
1,Illinois,NaN,110,82,61,45,33,25
2,California,NaN,1444,1244,1070,913,778,660
3,Arizona,NaN,104,68,45,30,19,13
4,Massachusetts,NaN,135,108,87,70,56,44
5,Wisconsin,NaN,78,68,59,51,45,39
6,Texas,NaN,623,490,386,301,236,185
7,Nebraska,NaN,12,10,9,7,6,5
8,Utah,NaN,35,31,28,24,22,19
9,Oregon,NaN,41,37,34,30,27,24
10,Florida,NaN,516,441,376,320,273,229
11,New York,NaN,308,243,193,153,122,96
12,Rhode Island,NaN,12,10,8,6,5,4
13,Georgia,NaN,176,118,76,48,30,19
14,New Hampshire,NaN,9,7,6,5,4,3
15,North Carolina,NaN,143,114,90,72,57,45
16,New Jersey,NaN,123,87,59,40,28,18
17,Colorado,NaN,22,18,14,11,9,7
18,Maryland,NaN,72,61,52,44,37,31
19,Nevada,NaN,38,29,22,17,13,10
20,Tennessee,NaN,43,28,19,12,8,6
21,Hawaii,NaN,2,1,1,0,0,0
22,Indiana,NaN,111,93,78,66,54,45
23,Kentucky,NaN,197,172,145,122,102,85
24,Minnesota,NaN,32,26,22,18,14,12
25,Oklahoma,NaN,101,83,70,58,48,40
26,Pennsylvania,NaN,92,65,46,32,23,16
27,South Carolina,NaN,80,59,44,32,24,18
28,District of Columbia,NaN,4,3,2,2,1,1
29,Kansas,NaN,20,14,9,6,4,3
30,Missouri,NaN,84,61,45,32,24,17
31,Vermont,NaN,4,4,4,3,3,3
32,Virginia,NaN,566,505,447,390,341,294
33,Connecticut,NaN,43,35,29,24,19,16
34,Iowa,NaN,73,63,54,46,39,34
35,Louisiana,NaN,72,58,46,37,30,24
36,Ohio,NaN,92,73,58,46,37,29
37,Michigan,NaN,86,72,59,48,40,33
38,South Dakota,NaN,9,7,6,4,4,3
39,Arkansas,NaN,14,10,7,5,4,2
40,Delaware,NaN,30,29,28,26,25,24
41,Mississippi,NaN,47,37,29,23,18,14
42,New Mexico,NaN,55,47,40,34,29,24
43,North Dakota,NaN,1,1,0,0,0,0
44,Wyoming,NaN,4,3,2,2,1,1
45,Alaska,NaN,2,1,1,1,0,0
46,Maine,NaN,8,6,5,4,3,2
47,Alabama,NaN,83,58,40,28,20,14
48,Idaho,NaN,16,14,12,10,9,8
49,Montana,NaN,11,9,7,6,5,4
50,Puerto Rico,NaN,25,22,20,18,16,14
51,Virgin Islands,NaN,0,0,0,0,0,0
52,Guam,NaN,0,0,0,0,0,0
53,West Virginia,NaN,38,32,27,23,20,16
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
