,State,396,402,409,416,423,430
0,Washington,333794,4965,3941,3083,2376,1802
1,Illinois,1174330,9182,6785,4929,3517,2465
2,California,3531846,31169,20755,13610,8783,5575
3,Arizona,807967,9011,6170,4150,2741,1776
4,Massachusetts,569284,8618,6341,4574,3232,2235
5,Wisconsin,612240,3792,2787,2013,1427,993
6,Texas,2600660,49019,36903,27386,20031,14442
7,Nebraska,198949,1840,1465,1151,890,679
8,Utah,366735,4162,3180,2402,1794,1324
9,Oregon,152818,2899,2466,2071,1717,1404
10,Florida,1868772,34085,27448,21779,17024,13107
11,New York,1591672,39648,31903,25283,19731,15163
12,Rhode Island,123145,1664,1254,930,678,485
13,Georgia,985505,15854,11995,8937,6554,4731
14,New Hampshire,73413,1251,934,689,502,361
15,North Carolina,842637,19381,15508,12202,9435,7167
16,New Jersey,766405,17702,14633,11896,9507,7466
17,Colorado,420614,5193,4197,3341,2619,2021
18,Maryland,376355,4401,3279,2412,1750,1253
19,Nevada,290972,2271,1619,1138,787,536
20,Tennessee,765137,7313,5464,4030,2933,2106
21,Hawaii,27361,274,209,158,116,84
22,Indiana,655541,5248,3798,2708,1902,1314
23,Kentucky,396997,7607,6000,4666,3578,2705
24,Minnesota,479036,4731,4207,3684,3174,2688
25,Oklahoma,419354,6575,5010,3756,2770,2009
26,Pennsylvania,915639,16171,12921,10179,7903,6045
27,South Carolina,504149,14769,12198,9894,7879,6162
28,District of Columbia,39648,638,502,389,297,222
29,Kansas,293215,3229,2468,1859,1380,1009
30,Missouri,491489,3329,2410,1722,1213,842
31,Vermont,14493,888,845,792,731,664
32,Virginia,564115,12838,9958,7587,5675,4164
33,Connecticut,273101,4413,3331,2471,1801,1289
34,Iowa,359525,2952,2328,1801,1366,1015
35,Louisiana,424176,4722,3446,2483,1767,1241
36,Ohio,953767,13775,10788,8326,6331,4741
37,Michigan,636269,5888,4677,3663,2828,2150
38,South Dakota,111304,522,394,291,211,150
39,Arkansas,315514,4021,2963,2152,1540,1085
40,Delaware,84732,1442,1112,843,628,460
41,Mississippi,290632,2741,1924,1332,910,612
42,New Mexico,182789,1693,1238,886,619,423
43,North Dakota,99277,550,514,471,423,372
44,Wyoming,53795,493,386,298,225,167
45,Alaska,57393,555,427,322,238,171
46,Maine,43497,808,588,422,298,207
47,Alabama,486843,3788,2387,1483,908,547
48,Idaho,169150,1305,991,743,549,399
49,Montana,98779,1086,875,693,538,410
50,Puerto Rico,99084,1070,814,613,457,338
51,Virgin Islands,2575,NaN,NaN,NaN,NaN,NaN
52,Guam,7715,NaN,NaN,NaN,NaN,NaN
53,West Virginia,129616,1654,1189,841,586,402
54,Northern Mariana Islands,143,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
