,State,347,353,360,367,374,381
0,Washington,255396,20567,20304,19971,19576,19122
1,Illinois,979821,34693,30191,26191,22660,19559
2,California,2426930,279259,273859,265559,254494,241169
3,Arizona,556384,49090,50217,50843,50941,50505
4,Massachusetts,387662,54123,61962,70028,77997,85464
5,Wisconsin,526245,15367,13097,11134,9446,7999
6,Texas,1810320,122141,125463,127792,129044,129173
7,Nebraska,169000,4619,3775,3073,2494,2019
8,Utah,283473,13844,12670,11532,10444,9415
9,Oregon,117745,5863,5158,4530,3972,3479
10,Florida,1365436,102782,112614,122370,131778,140535
11,New York,1023897,97070,105277,112988,119904,125723
12,Rhode Island,87949,5725,5069,4464,3912,3414
13,Georgia,690900,73783,85129,96239,106305,114432
14,New Hampshire,46450,4333,4025,3728,3442,3169
15,North Carolina,564924,54724,60181,65593,70795,75605
16,New Jersey,492042,29785,28960,28015,26969,25839
17,Colorado,341250,13914,11833,10039,8498,7181
18,Maryland,285319,17584,17466,17276,17016,16691
19,Nevada,231614,11688,10274,8985,7823,6784
20,Tennessee,608297,38005,36269,34295,32145,29882
21,Hawaii,22303,854,877,899,921,943
22,Indiana,526071,33654,31385,29105,26851,24653
23,Kentucky,276825,17242,16310,15335,14336,13331
24,Minnesota,420544,8373,6206,4594,3398,2511
25,Oklahoma,304072,19935,19269,18481,17595,16632
26,Pennsylvania,664913,45659,40075,34941,30283,26111
27,South Carolina,321669,35746,41264,46869,52261,57078
28,District of Columbia,29764,1610,1575,1537,1496,1451
29,Kansas,230314,11552,10541,9578,8669,7819
30,Missouri,412838,16311,14648,13106,11686,10390
31,Vermont,7793,1612,1964,2382,2873,3444
32,Virginia,363765,29487,30624,31639,32514,33229
33,Connecticut,190120,13722,13206,12654,12074,11475
34,Iowa,284715,8073,7447,6830,6235,5667
35,Louisiana,321058,17726,17658,17475,17180,16781
36,Ohio,721481,47480,43141,39044,35211,31653
37,Michigan,538121,16964,13895,11365,9286,7580
38,South Dakota,100532,2402,1980,1628,1336,1094
39,Arkansas,233475,15383,15026,14566,14021,13406
40,Delaware,59484,4292,4041,3783,3522,3263
41,Mississippi,222061,17592,18779,19839,20729,21410
42,New Mexico,146394,6993,6097,5296,4586,3960
43,North Dakota,93041,1187,883,655,486,360
44,Wyoming,44875,1067,822,632,485,372
45,Alaska,48098,1782,1482,1230,1020,845
46,Maine,25592,4976,6033,7269,8693,10302
47,Alabama,371934,34515,37447,40011,42053,43437
48,Idaho,142507,5226,4389,3675,3069,2558
49,Montana,82381,2329,1916,1574,1290,1057
50,Puerto Rico,78169,6644,6946,7221,7464,7669
51,Virgin Islands,2042,NaN,NaN,NaN,NaN,NaN
52,Guam,7326,NaN,NaN,NaN,NaN,NaN
53,West Virginia,91058,9335,9428,9436,9360,9201
54,Northern Mariana Islands,122,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
