,State,319,325,332,339,346,353
0,Washington,177447,17824,18110,18383,18601,18768
1,Illinois,787573,58502,52437,46783,41568,36801
2,California,1366673,168434,218258,280429,356391,446663
3,Arizona,364276,45901,58594,73865,91648,111485
4,Massachusetts,256844,34975,43520,53653,65390,78585
5,Wisconsin,441067,27689,23716,20222,17177,14544
6,Texas,1322738,100868,111244,122066,133198,144462
7,Nebraska,139834,12098,11224,10340,9466,8616
8,Utah,215407,20740,20583,20265,19795,19185
9,Oregon,84496,14912,18774,23483,29135,35786
10,Florida,1058074,82921,98183,115495,134811,155941
11,New York,705827,78298,101665,130943,166905,209928
12,Rhode Island,62137,10972,13204,15594,18006,20256
13,Georgia,501405,30248,33434,36794,40307,43935
14,New Hampshire,24771,5725,7520,9795,12620,16031
15,North Carolina,394990,34466,39499,45037,51052,57487
16,New Jersey,368016,36922,41510,46375,51448,56630
17,Colorado,260581,27291,24771,22360,20103,18003
18,Maryland,215027,20476,23258,26284,29531,32961
19,Nevada,168140,23247,27866,32958,38365,43834
20,Tennessee,400594,39754,44244,48805,53307,57600
21,Hawaii,18842,696,704,711,719,726
22,Indiana,381617,47418,49175,50525,51413,51804
23,Kentucky,200631,27221,30828,34584,38387,42106
24,Minnesota,350862,36405,33100,29872,26804,23919
25,Oklahoma,216486,16574,17937,19297,20627,21899
26,Pennsylvania,423100,86108,110963,141104,176415,215918
27,South Carolina,232099,15371,17609,20079,22773,25671
28,District of Columbia,23136,1976,2413,2931,3539,4242
29,Kansas,171364,13397,11491,9822,8364,7102
30,Missouri,329420,24465,22664,20899,19200,17576
31,Vermont,5015,1297,1782,2437,3312,4464
32,Virginia,255053,23040,27034,31582,36709,42416
33,Connecticut,127715,22983,28803,35661,43492,52075
34,Iowa,244691,11912,9202,7088,5448,4180
35,Louisiana,251123,27195,35460,45686,57957,72091
36,Ohio,475024,65349,67786,69813,71368,72402
37,Michigan,426576,51986,52104,51873,51326,50470
38,South Dakota,85991,5632,4910,4254,3665,3143
39,Arkansas,170924,16264,18141,20069,22000,23875
40,Delaware,39912,5732,7301,9193,11408,13904
41,Mississippi,164931,12141,13563,15058,16602,18165
42,New Mexico,108088,11831,10505,9305,8197,7192
43,North Dakota,82981,3754,2831,2126,1592,1189
44,Wyoming,36317,2600,1921,1419,1045,768
45,Alaska,37036,4758,4951,5108,5224,5293
46,Maine,13348,1861,2120,2411,2735,3095
47,Alabama,269877,27147,34616,43622,54213,66210
48,Idaho,110510,10342,10658,10901,11062,11136
49,Montana,67875,5316,4629,4009,3459,2973
50,Puerto Rico,56671,6459,7346,8349,9481,10757
51,Virgin Islands,1633,NaN,NaN,NaN,NaN,NaN
52,Guam,6959,NaN,NaN,NaN,NaN,NaN
53,West Virginia,54997,10957,13413,16242,19412,22836
54,Northern Mariana Islands,109,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
