,State,397,402,409,416,423
0,Washington,334962,5157,4860,4420,4827
1,Illinois,1175568,10896,9473,8585,7793
2,California,3536946,33135,24293,19306,18244
3,Arizona,809474,8800,6895,5367,4985
4,Massachusetts,570546,9786,8101,7051,6488
5,Wisconsin,612712,4590,3882,3372,3195
6,Texas,2606513,41074,34232,29965,20700
7,Nebraska,199045,1917,1818,1692,1447
8,Utah,367073,4741,4176,3504,3200
9,Oregon,153135,2425,2224,1880,1701
10,Florida,1872923,37120,33661,29526,26628
11,New York,1597969,45839,41122,36728,32764
12,Rhode Island,123980,1904,1621,1375,1241
13,Georgia,987041,17019,15248,13147,12394
14,New Hampshire,73665,2117,2038,2030,1911
15,North Carolina,844770,19769,17015,14620,12687
16,New Jersey,769109,19103,16592,14408,13384
17,Colorado,421294,6285,6033,5572,5065
18,Maryland,376966,4737,4080,3578,2825
19,Nevada,291145,2384,2072,1747,1479
20,Tennessee,766089,8369,6581,5438,4991
21,Hawaii,27410,275,214,191,179
22,Indiana,656358,6166,5310,4778,4156
23,Kentucky,397526,7467,6219,5212,5214
24,Minnesota,479591,5052,4837,4623,4529
25,Oklahoma,419853,6481,5419,4549,3750
26,Pennsylvania,917565,16363,14695,13253,13000
27,South Carolina,505589,15982,14751,13061,12165
28,District of Columbia,39755,616,525,462,373
29,Kansas,294080,3896,3598,2989,2497
30,Missouri,491902,3944,3668,3013,2669
31,Vermont,14608,812,787,779,759
32,Virginia,565270,13163,10188,8962,7922
33,Connecticut,275334,4574,4081,3223,2628
34,Iowa,360193,5721,4922,4895,4802
35,Louisiana,424644,4432,3006,2317,1916
36,Ohio,955378,12930,10149,8535,7681
37,Michigan,637928,6377,5785,5196,4749
38,South Dakota,111334,908,820,791,730
39,Arkansas,315759,3424,2633,1963,1680
40,Delaware,85090,1605,1413,1290,1202
41,Mississippi,290874,3498,2913,2638,2291
42,New Mexico,183023,1977,1716,1638,1562
43,North Dakota,99312,558,526,487,484
44,Wyoming,53900,508,467,431,399
45,Alaska,57738,846,726,642,580
46,Maine,43594,839,689,585,564
47,Alabama,487520,5245,4223,3297,2861
48,Idaho,169584,1459,1239,1061,927
49,Montana,98810,1234,1077,969,895
50,Puerto Rico,99257,1249,1113,1001,936
51,Virgin Islands,2579,47,39,39,37
52,Guam,7727,22,22,21,20
53,West Virginia,129854,1830,1499,1227,1041
54,Northern Mariana Islands,143,2,2,3,2
55,American Samoa,0,0,0,0,0
