,State,213,220,227
0,Washington,1857,86,68
1,Illinois,8083,158,185
2,California,12131,1073,683
3,Arizona,4756,108,86
4,Massachusetts,8921,68,77
5,Wisconsin,1081,40,39
6,Texas,11578,1170,1094
7,Nebraska,376,12,11
8,Utah,385,17,16
9,Oregon,417,26,22
10,Florida,10274,782,507
11,New York,32839,45,42
12,Rhode Island,1030,8,8
13,Georgia,5092,336,264
14,New Hampshire,429,4,3
15,North Carolina,2521,139,154
16,New Jersey,15943,51,31
17,Colorado,1918,37,28
18,Maryland,3685,38,28
19,Nevada,1197,101,86
20,Tennessee,1563,145,135
21,Hawaii,47,7,8
22,Indiana,3218,102,90
23,Kentucky,872,72,56
24,Minnesota,1807,53,54
25,Oklahoma,725,56,56
26,Pennsylvania,7555,115,94
27,South Carolina,2493,138,117
28,District of Columbia,604,6,5
29,Kansas,426,21,19
30,Missouri,1451,85,75
31,Vermont,58,0,0
32,Virginia,2443,57,54
33,Connecticut,4460,8,8
34,Iowa,1033,50,56
35,Louisiana,4687,146,91
36,Ohio,3975,161,135
37,Michigan,6655,73,56
38,South Dakota,160,7,12
39,Arkansas,674,44,47
40,Delaware,600,6,3
41,Mississippi,2237,123,132
42,New Mexico,743,27,21
43,North Dakota,135,7,10
44,Wyoming,37,4,6
45,Alaska,31,2,2
46,Maine,130,3,4
47,Alabama,2011,67,50
48,Idaho,306,38,25
49,Montana,90,7,7
50,Puerto Rico,381,NaN,NaN
51,Virgin Islands,10,NaN,NaN
52,Guam,6,NaN,NaN
53,West Virginia,177,14,11
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
