,Region,613,619,626,633,640
0,Belgium,,40,35,31,28
1,Bulgaria,,426,403,373,334
2,Czechia,,24,32,41,56
3,Denmark,,11,10,8,7
4,Germany,,360,372,360,354
5,Estonia,,17,19,20,22
6,Ireland,,22,21,20,21
7,Greece,,206,172,138,110
8,Spain,,208,148,109,74
9,France,,345,260,191,141
10,Croatia,,104,121,138,157
11,Italy,,313,277,239,210
12,Cyprus,,7,6,5,4
13,Latvia,,52,66,83,98
14,Lithuania,,137,159,176,193
15,Luxembourg,,1,1,1,1
16,Hungary,,32,34,37,38
17,Malta,,3,2,2,1
18,Netherlands,,41,35,29,25
19,Austria,,82,96,105,110
20,Poland,,98,134,174,233
21,Portugal,,33,25,19,15
22,Romania,,1192,1675,2170,2577
23,Slovenia,,45,61,81,103
24,Slovakia,,34,57,90,136
25,Finland,,8,8,7,7
26,Sweden,,36,41,50,52
27,United Kingdom,,954,882,778,678
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,8,6,5,5
31,Switzerland,,31,26,22,19
