,Region,564,570,577,584,591
0,Belgium,,25,27,29,32
1,Bulgaria,,56,90,150,257
2,Czechia,,7,6,5,5
3,Denmark,,5,6,6,6
4,Germany,,136,149,160,187
5,Estonia,,4,7,10,16
6,Ireland,,19,22,24,29
7,Greece,,105,117,126,141
8,Spain,,916,1128,1345,1514
9,France,,608,949,1412,2192
10,Croatia,,13,15,16,18
11,Italy,,417,590,816,1176
12,Cyprus,,14,12,10,9
13,Latvia,,4,5,5,6
14,Lithuania,,18,30,50,86
15,Luxembourg,,2,2,1,1
16,Hungary,,4,4,3,3
17,Malta,,2,1,1,1
18,Netherlands,,27,21,15,12
19,Austria,,13,16,19,23
20,Poland,,20,22,24,30
21,Portugal,,73,64,57,51
22,Romania,,20,26,36,58
23,Slovenia,,4,6,7,10
24,Slovakia,,4,4,4,4
25,Finland,,11,15,20,30
26,Sweden,,15,18,22,28
27,United Kingdom,,480,427,360,301
28,Iceland,,1,3,6,13
29,Liechtenstein,,0,0,0,0
30,Norway,,4,5,7,9
31,Switzerland,,21,33,51,82
