,Region,494,500,507,514,521
0,Belgium,,84,70,57,47
1,Bulgaria,,125,88,63,44
2,Czechia,,65,44,29,20
3,Denmark,,11,12,14,16
4,Germany,,696,518,378,276
5,Estonia,,10,8,6,4
6,Ireland,,2,1,0,0
7,Greece,,252,210,173,143
8,Spain,,457,398,347,314
9,France,,346,229,146,99
10,Croatia,,94,66,45,31
11,Italy,,565,400,278,195
12,Cyprus,,5,4,3,2
13,Latvia,,42,35,29,25
14,Lithuania,,62,50,40,32
15,Luxembourg,,4,3,3,3
16,Hungary,,165,111,73,49
17,Malta,,0,0,0,0
18,Netherlands,,68,55,43,35
19,Austria,,37,27,19,15
20,Poland,,612,430,288,202
21,Portugal,,13,14,17,20
22,Romania,,222,153,103,69
23,Slovenia,,18,14,10,8
24,Slovakia,,43,28,19,13
25,Finland,,5,5,3,3
26,Sweden,,129,103,78,62
27,United Kingdom,,74,97,132,185
28,Iceland,,0,0,0,0
29,Liechtenstein,,0,0,0,0
30,Norway,,7,6,5,5
31,Switzerland,,36,35,34,33
