,State,312,318,325
0,Washington,2703,54,48
1,Illinois,12882,883,818
2,California,19151,451,420
3,Arizona,6634,195,186
4,Massachusetts,10722,133,136
5,Wisconsin,3487,355,393
6,Texas,21843,875,824
7,Nebraska,989,63,61
8,Utah,868,68,54
9,Oregon,905,61,62
10,Florida,18500,493,489
11,New York,34561,124,110
12,Rhode Island,1346,46,46
13,Georgia,9442,246,250
14,New Hampshire,526,14,16
15,North Carolina,5240,196,203
16,New Jersey,16978,211,185
17,Colorado,3003,132,116
18,Maryland,4625,146,138
19,Nevada,2136,117,109
20,Tennessee,4554,304,310
21,Hawaii,244,NaN,NaN
22,Indiana,5685,389,346
23,Kentucky,1896,86,87
24,Minnesota,3637,296,277
25,Oklahoma,1736,90,91
26,Pennsylvania,10297,453,408
27,South Carolina,4353,83,89
28,District of Columbia,680,9,8
29,Kansas,1529,113,112
30,Missouri,3850,220,285
31,Vermont,67,3,0
32,Virginia,4058,111,106
33,Connecticut,4961,87,81
34,Iowa,2399,165,159
35,Louisiana,6407,116,119
36,Ohio,6399,345,324
37,Michigan,9467,526,374
38,South Dakota,943,202,279
39,Arkansas,2470,108,116
40,Delaware,770,13,13
41,Mississippi,3806,120,115
42,New Mexico,1540,136,114
43,North Dakota,926,90,107
44,Wyoming,215,13,23
45,Alaska,121,NaN,NaN
46,Maine,191,10,3
47,Alabama,3577,97,96
48,Idaho,920,56,53
49,Montana,671,82,104
50,Puerto Rico,1094,NaN,NaN
51,Virgin Islands,23,NaN,NaN
52,Guam,112,NaN,NaN
53,West Virginia,729,52,52
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
