,State,263,269,276
0,Washington,2190,37,31
1,Illinois,9230,209,193
2,California,16579,480,486
3,Arizona,5759,64,70
4,Massachusetts,9604,68,62
5,Wisconsin,1465,74,67
6,Texas,16971,643,627
7,Nebraska,519,22,19
8,Utah,517,31,28
9,Oregon,599,25,24
10,Florida,15364,579,574
11,New York,33294,52,45
12,Rhode Island,1130,11,11
13,Georgia,7416,257,257
14,New Hampshire,456,13,18
15,North Carolina,3770,147,144
16,New Jersey,16174,35,30
17,Colorado,2113,54,43
18,Maryland,3999,45,38
19,Nevada,1661,45,46
20,Tennessee,2767,195,209
21,Hawaii,169,NaN,NaN
22,Indiana,3789,99,86
23,Kentucky,1252,45,46
24,Minnesota,2194,65,62
25,Oklahoma,1098,45,42
26,Pennsylvania,8330,136,127
27,South Carolina,3552,122,124
28,District of Columbia,637,6,5
29,Kansas,774,64,76
30,Missouri,2424,189,188
31,Vermont,58,1,1
32,Virginia,3358,98,96
33,Connecticut,4530,16,13
34,Iowa,1462,71,66
35,Louisiana,5655,82,87
36,Ohio,4999,92,99
37,Michigan,7219,86,63
38,South Dakota,286,15,0
39,Arkansas,1569,138,184
40,Delaware,654,10,9
41,Mississippi,3101,97,96
42,New Mexico,911,18,20
43,North Dakota,337,45,51
44,Wyoming,54,1,1
45,Alaska,60,NaN,NaN
46,Maine,143,1,1
47,Alabama,2664,105,98
48,Idaho,507,23,23
49,Montana,210,23,24
50,Puerto Rico,730,NaN,NaN
51,Virgin Islands,20,NaN,NaN
52,Guam,58,NaN,NaN
53,West Virginia,385,23,23
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
