,State,298,304,311
0,Washington,2519,52,48
1,Illinois,11162,644,614
2,California,18262,295,293
3,Arizona,6302,178,173
4,Massachusetts,10329,121,117
5,Wisconsin,2751,400,416
6,Texas,19995,880,888
7,Nebraska,779,40,43
8,Utah,718,54,37
9,Oregon,761,31,30
10,Florida,17518,419,419
11,New York,34032,66,60
12,Rhode Island,1254,29,30
13,Georgia,8957,317,313
14,New Hampshire,499,10,17
15,North Carolina,4806,167,169
16,New Jersey,16566,136,114
17,Colorado,2546,123,107
18,Maryland,4302,78,76
19,Nevada,1909,66,66
20,Tennessee,3893,271,286
21,Hawaii,222,NaN,NaN
22,Indiana,4910,263,225
23,Kentucky,1661,66,76
24,Minnesota,2961,239,224
25,Oklahoma,1528,84,84
26,Pennsylvania,9290,250,233
27,South Carolina,4112,90,91
28,District of Columbia,660,5,4
29,Kansas,1256,81,86
30,Missouri,3387,183,235
31,Vermont,59,0,0
32,Virginia,3800,108,91
33,Connecticut,4737,48,41
34,Iowa,1989,128,118
35,Louisiana,6132,96,93
36,Ohio,5722,191,181
37,Michigan,8376,362,260
38,South Dakota,644,118,136
39,Arkansas,2183,91,95
40,Delaware,736,12,10
41,Mississippi,3543,116,114
42,New Mexico,1215,85,74
43,North Dakota,736,124,136
44,Wyoming,144,13,13
45,Alaska,98,NaN,NaN
46,Maine,165,7,5
47,Alabama,3248,154,138
48,Idaho,759,65,62
49,Montana,520,83,98
50,Puerto Rico,935,NaN,NaN
51,Virgin Islands,23,NaN,NaN
52,Guam,92,NaN,NaN
53,West Virginia,582,54,58
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
