,State,291,297,304
0,Washington,2439,49,45
1,Illinois,10538,455,405
2,California,17973,320,314
3,Arizona,6164,206,188
4,Massachusetts,10149,108,84
5,Wisconsin,2570,220,214
6,Texas,19180,723,752
7,Nebraska,703,26,27
8,Utah,659,52,35
9,Oregon,730,40,43
10,Florida,17121,391,379
11,New York,33903,105,64
12,Rhode Island,1224,22,22
13,Georgia,8648,231,229
14,New Hampshire,489,6,7
15,North Carolina,4607,226,226
16,New Jersey,16429,77,69
17,Colorado,2394,89,75
18,Maryland,4212,51,48
19,Nevada,1851,70,67
20,Tennessee,3595,250,252
21,Hawaii,221,NaN,NaN
22,Indiana,4629,239,201
23,Kentucky,1565,62,69
24,Minnesota,2710,167,163
25,Oklahoma,1438,81,79
26,Pennsylvania,9005,193,178
27,South Carolina,4036,95,93
28,District of Columbia,654,7,6
29,Kansas,1166,67,73
30,Missouri,3165,186,187
31,Vermont,59,0,0
32,Virginia,3707,56,54
33,Connecticut,4671,39,28
34,Iowa,1845,101,89
35,Louisiana,6036,91,90
36,Ohio,5517,190,165
37,Michigan,7945,215,154
38,South Dakota,536,110,109
39,Arkansas,2085,130,129
40,Delaware,718,11,10
41,Mississippi,3443,100,100
42,New Mexico,1118,78,68
43,North Dakota,639,106,119
44,Wyoming,114,5,8
45,Alaska,84,NaN,NaN
46,Maine,152,4,3
47,Alabama,3084,124,109
48,Idaho,686,47,44
49,Montana,456,86,83
50,Puerto Rico,872,NaN,NaN
51,Virgin Islands,23,NaN,NaN
52,Guam,88,NaN,NaN
53,West Virginia,504,48,38
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
