,State,256,262,269
0,Washington,2142,42,41
1,Illinois,9040,191,185
2,California,16147,568,564
3,Arizona,5706,118,128
4,Massachusetts,9510,91,85
5,Wisconsin,1377,81,74
6,Texas,16320,624,608
7,Nebraska,501,27,20
8,Utah,478,23,21
9,Oregon,572,25,24
10,Florida,14671,682,693
11,New York,33205,45,45
12,Rhode Island,1118,10,17
13,Georgia,7162,231,232
14,New Hampshire,443,3,5
15,North Carolina,3634,194,194
16,New Jersey,16136,39,32
17,Colorado,2068,21,17
18,Maryland,3958,37,31
19,Nevada,1623,47,51
20,Tennessee,2577,196,199
21,Hawaii,156,NaN,NaN
22,Indiana,3674,92,81
23,Kentucky,1209,42,46
24,Minnesota,2133,77,71
25,Oklahoma,1051,49,47
26,Pennsylvania,8195,104,87
27,South Carolina,3453,139,146
28,District of Columbia,631,3,2
29,Kansas,690,38,35
30,Missouri,2186,121,137
31,Vermont,58,0,0
32,Virginia,3273,125,108
33,Connecticut,4513,11,9
34,Iowa,1387,61,60
35,Louisiana,5577,90,92
36,Ohio,4925,167,150
37,Michigan,7124,80,62
38,South Dakota,248,14,2
39,Arkansas,1425,125,128
40,Delaware,645,4,1
41,Mississippi,3013,103,103
42,New Mexico,892,26,26
43,North Dakota,274,32,29
44,Wyoming,53,1,2
45,Alaska,58,NaN,NaN
46,Maine,142,2,2
47,Alabama,2558,60,57
48,Idaho,482,25,25
49,Montana,187,14,13
50,Puerto Rico,686,NaN,NaN
51,Virgin Islands,20,NaN,NaN
52,Guam,49,NaN,NaN
53,West Virginia,364,24,25
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
