,State,305,311,318
0,Washington,2619,61,50
1,Illinois,12050,864,826
2,California,18726,415,407
3,Arizona,6464,190,193
4,Massachusetts,10512,138,114
5,Wisconsin,3150,450,576
6,Texas,21013,984,1087
7,Nebraska,909,75,79
8,Utah,793,69,51
9,Oregon,820,45,38
10,Florida,17991,465,451
11,New York,34319,151,125
12,Rhode Island,1294,32,33
13,Georgia,9198,238,235
14,New Hampshire,512,9,13
15,North Carolina,5034,229,227
16,New Jersey,16761,197,169
17,Colorado,2806,223,175
18,Maryland,4434,104,95
19,Nevada,2017,112,107
20,Tennessee,4266,289,312
21,Hawaii,233,NaN,NaN
22,Indiana,5305,339,298
23,Kentucky,1787,110,115
24,Minnesota,3297,332,290
25,Oklahoma,1634,110,112
26,Pennsylvania,9816,460,417
27,South Carolina,4283,172,175
28,District of Columbia,670,12,10
29,Kansas,1410,155,148
30,Missouri,3578,176,196
31,Vermont,63,4,1
32,Virginia,3938,145,122
33,Connecticut,4828,54,46
34,Iowa,2202,187,164
35,Louisiana,6260,110,103
36,Ohio,5996,249,219
37,Michigan,8875,458,351
38,South Dakota,819,201,244
39,Arkansas,2357,144,155
40,Delaware,748,6,7
41,Mississippi,3676,121,117
42,New Mexico,1383,118,102
43,North Dakota,846,117,129
44,Wyoming,176,6,18
45,Alaska,103,NaN,NaN
46,Maine,176,7,7
47,Alabama,3457,178,154
48,Idaho,849,70,69
49,Montana,603,104,141
50,Puerto Rico,1017,NaN,NaN
51,Virgin Islands,23,NaN,NaN
52,Guam,103,NaN,NaN
53,West Virginia,662,75,68
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
