,State,277,283,290
0,Washington,2296,45,46
1,Illinois,9775,299,283
2,California,17358,422,408
3,Arizona,5874,53,61
4,Massachusetts,9864,93,85
5,Wisconsin,1778,138,114
6,Texas,17955,573,645
7,Nebraska,596,27,24
8,Utah,572,23,23
9,Oregon,653,27,26
10,Florida,16429,530,531
11,New York,33422,40,38
12,Rhode Island,1177,23,25
13,Georgia,7809,220,221
14,New Hampshire,473,5,10
15,North Carolina,4157,210,213
16,New Jersey,16285,75,68
17,Colorado,2223,44,39
18,Maryland,4096,51,50
19,Nevada,1744,34,39
20,Tennessee,3131,185,187
21,Hawaii,212,NaN,NaN
22,Indiana,4130,185,155
23,Kentucky,1407,63,67
24,Minnesota,2402,102,97
25,Oklahoma,1249,78,74
26,Pennsylvania,8647,178,163
27,South Carolina,3802,153,143
28,District of Columbia,642,1,0
29,Kansas,956,71,67
30,Missouri,2820,251,252
31,Vermont,58,0,0
32,Virginia,3579,156,135
33,Connecticut,4577,29,26
34,Iowa,1635,81,79
35,Louisiana,5837,78,78
36,Ohio,5206,140,139
37,Michigan,7522,157,125
38,South Dakota,375,26,23
39,Arkansas,1812,112,122
40,Delaware,681,12,10
41,Mississippi,3255,92,97
42,New Mexico,967,34,33
43,North Dakota,456,64,88
44,Wyoming,68,0,3
45,Alaska,68,NaN,NaN
46,Maine,146,0,0
47,Alabama,2866,81,83
48,Idaho,573,50,46
49,Montana,297,60,56
50,Puerto Rico,801,NaN,NaN
51,Virgin Islands,21,NaN,NaN
52,Guam,69,NaN,NaN
53,West Virginia,425,20,21
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
