,State,284,290,297
0,Washington,2366,47,46
1,Illinois,10075,240,217
2,California,17671,329,327
3,Arizona,5979,138,152
4,Massachusetts,10013,104,101
5,Wisconsin,2363,217,158
6,Texas,18501,623,617
7,Nebraska,654,29,27
8,Utah,614,31,26
9,Oregon,691,36,39
10,Florida,16789,388,391
11,New York,33752,47,44
12,Rhode Island,1201,22,24
13,Georgia,7981,196,195
14,New Hampshire,483,10,13
15,North Carolina,4383,244,229
16,New Jersey,16354,72,62
17,Colorado,2288,63,53
18,Maryland,4152,55,52
19,Nevada,1781,34,37
20,Tennessee,3353,224,247
21,Hawaii,219,NaN,NaN
22,Indiana,4364,210,193
23,Kentucky,1489,63,63
24,Minnesota,2529,132,121
25,Oklahoma,1345,86,81
26,Pennsylvania,8803,160,146
27,South Carolina,3936,147,148
28,District of Columbia,646,3,2
29,Kansas,1029,56,60
30,Missouri,3038,269,279
31,Vermont,58,0,0
32,Virginia,3655,95,98
33,Connecticut,4616,31,28
34,Iowa,1733,72,61
35,Louisiana,5926,91,87
36,Ohio,5303,104,99
37,Michigan,7699,154,119
38,South Dakota,437,55,65
39,Arkansas,1958,123,131
40,Delaware,710,13,8
41,Mississippi,3348,78,78
42,New Mexico,1026,47,46
43,North Dakota,531,76,103
44,Wyoming,87,0,3
45,Alaska,83,NaN,NaN
46,Maine,147,1,1
47,Alabama,2973,106,105
48,Idaho,630,53,50
49,Montana,376,77,75
50,Puerto Rico,832,NaN,NaN
51,Virgin Islands,21,NaN,NaN
52,Guam,79,NaN,NaN
53,West Virginia,460,34,26
54,Northern Mariana Islands,2,NaN,NaN
55,American Samoa,0,NaN,NaN
