,Region,529,535,542,549,556
0,Belgium,,2374,2165,1886,1818
1,Bulgaria,,444,390,328,311
2,Czechia,,1000,1204,1492,1821
3,Denmark,,2221,2744,3362,4318
4,Germany,,3586,3484,3576,3508
5,Estonia,,228,230,232,236
6,Ireland,,3122,3522,4088,4825
7,Greece,,4578,5938,7978,10636
8,Spain,,21024,23796,26670,28046
9,France,,13765,17915,24028,33810
10,Croatia,,683,822,988,1219
11,Italy,,6602,8377,10266,12946
12,Cyprus,,3208,4402,5778,7594
13,Latvia,,386,390,390,388
14,Lithuania,,210,205,198,190
15,Luxembourg,,217,241,262,296
16,Hungary,,200,158,129,108
17,Malta,,36,41,48,55
18,Netherlands,,9139,15549,26795,48431
19,Austria,,556,588,628,672
20,Poland,,610,588,556,534
21,Portugal,,17152,23071,32113,43882
22,Romania,,275,242,207,186
23,Slovenia,,172,174,168,166
24,Slovakia,,153,146,140,135
25,Finland,,1188,1319,1418,1606
26,Sweden,,1475,1370,1215,1124
27,United Kingdom,,224728,352776,574588,895443
28,Iceland,,0,0,0,0
29,Liechtenstein,,9,10,9,9
30,Norway,,1160,1106,1074,1033
31,Switzerland,,640,610,533,508
