,Region,515,521,528,535,542
0,Belgium,,3023,2278,1681,1202
1,Bulgaria,,628,534,452,388
2,Czechia,,927,682,508,398
3,Denmark,,1778,1267,946,698
4,Germany,,5684,3922,2584,1762
5,Estonia,,334,320,311,302
6,Ireland,,2898,3026,3280,3386
7,Greece,,3083,2572,2098,1746
8,Spain,,13090,10438,7990,6882
9,France,,16348,14904,12736,12248
10,Croatia,,576,452,358,286
11,Italy,,5987,4157,2993,2074
12,Cyprus,,416,419,436,459
13,Latvia,,858,724,598,522
14,Lithuania,,810,703,586,499
15,Luxembourg,,102,90,72,68
16,Hungary,,396,275,197,132
17,Malta,,12,10,9,7
18,Netherlands,,4466,3208,2285,1684
19,Austria,,872,644,490,384
20,Poland,,1146,881,668,515
21,Portugal,,9451,12912,18214,24601
22,Romania,,258,122,58,29
23,Slovenia,,502,360,258,186
24,Slovakia,,284,214,166,130
25,Finland,,523,501,470,460
26,Sweden,,1798,1569,1214,964
27,United Kingdom,,80456,110480,151528,207693
28,Iceland,,0,0,0,0
29,Liechtenstein,,14,14,14,13
30,Norway,,1121,1028,952,894
31,Switzerland,,1068,902,769,588
