,Region,480,486,493,500,507
0,Belgium,,12111,9006,6516,4890
1,Bulgaria,,4550,4206,3651,3366
2,Czechia,,6830,5392,4288,3385
3,Denmark,,4958,5320,5657,5914
4,Germany,,64398,52776,43439,35898
5,Estonia,,2024,1907,1772,1700
6,Ireland,,2024,1790,1566,1428
7,Greece,,12846,11334,10134,9128
8,Spain,,27336,24056,18694,16387
9,France,,92668,73964,57100,46898
10,Croatia,,6821,5883,5212,4569
11,Italy,,41377,32419,25144,20208
12,Cyprus,,1990,1670,1447,1252
13,Latvia,,4110,4116,4144,4200
14,Lithuania,,7264,7032,6666,6540
15,Luxembourg,,552,529,468,440
16,Hungary,,6923,6268,5652,5164
17,Malta,,49,41,34,29
18,Netherlands,,34533,30443,26548,23380
19,Austria,,5051,3802,2939,2226
20,Poland,,23974,22390,20986,20087
21,Portugal,,2444,2509,2549,2601
22,Romania,,6090,5477,4954,4389
23,Slovenia,,3736,3694,3664,3719
24,Slovakia,,2186,2169,2024,1930
25,Finland,,1406,1366,1364,1352
26,Sweden,,18731,17238,16284,15146
27,United Kingdom,,13108,12396,11974,11502
28,Iceland,,29,24,21,19
29,Liechtenstein,,25,21,19,17
30,Norway,,2654,2620,2552,2571
31,Switzerland,,3602,2344,1430,967
