,State,788,794,801,808,815,822,829
0,Washington,NaN,9021,13980,24420,41930,61980,76309
1,Illinois,NaN,8014,7920,8411,9536,11714,15225
2,California,NaN,30046,37154,47745,62247,80628,106992
3,Arizona,NaN,6316,6990,8252,10295,13887,19777
4,Massachusetts,NaN,4397,4410,4848,5797,7662,10576
5,Wisconsin,NaN,2814,2890,3329,4224,5889,8889
6,Texas,NaN,22825,23779,29011,36407,45738,60518
7,Nebraska,NaN,824,776,825,987,1321,1864
8,Utah,NaN,831,769,771,842,1033,1393
9,Oregon,NaN,2085,1807,1798,1971,2387,3125
10,Florida,NaN,10006,8165,7998,9000,11533,17256
11,New York,NaN,14207,18706,26256,39312,59025,87178
12,Rhode Island,NaN,1613,1579,1567,1624,1838,2122
13,Georgia,NaN,6618,7921,10255,12799,15574,20665
14,New Hampshire,NaN,831,762,745,785,897,1095
15,North Carolina,NaN,9094,9266,9940,10334,10886,11835
16,New Jersey,NaN,6778,7615,9487,12827,18325,26938
17,Colorado,NaN,6553,6564,7147,8562,10922,14560
18,Maryland,NaN,2120,2367,3058,4301,6525,10772
19,Nevada,NaN,1474,948,776,717,704,701
20,Tennessee,NaN,5034,4760,4767,5167,6125,8086
21,Hawaii,NaN,793,628,556,532,547,594
22,Indiana,NaN,2156,2020,2135,2480,3135,4337
23,Kentucky,NaN,1517,808,556,477,464,527
24,Minnesota,NaN,3645,3165,3053,3216,3690,4625
25,Oklahoma,NaN,4407,4765,5231,5562,5882,6841
26,Pennsylvania,NaN,5760,6354,7817,10838,15258,21077
27,South Carolina,NaN,1357,1025,908,890,924,1018
28,District of Columbia,NaN,584,649,759,928,1215,1628
29,Kansas,NaN,913,734,692,736,848,1040
30,Missouri,NaN,2664,2464,2657,3175,4324,6412
31,Vermont,NaN,836,823,844,914,1008,1172
32,Virginia,NaN,7338,7499,8546,10435,13695,18897
33,Connecticut,NaN,2490,2428,2698,3275,4256,6085
34,Iowa,NaN,1201,885,806,874,1039,1318
35,Louisiana,NaN,1214,1182,1349,1839,2802,3709
36,Ohio,NaN,3176,2594,2470,2661,3152,4093
37,Michigan,NaN,6252,7688,9937,13345,18038,23451
38,South Dakota,NaN,278,245,249,283,357,457
39,Arkansas,NaN,3218,3435,4012,4790,5954,7665
40,Delaware,NaN,735,660,638,665,764,967
41,Mississippi,NaN,932,979,1083,1290,1608,2034
42,New Mexico,NaN,1303,1071,983,960,1011,1148
43,North Dakota,NaN,453,393,379,397,432,500
44,Wyoming,NaN,201,158,156,178,228,301
45,Alaska,NaN,2094,1976,1921,1953,2053,2214
46,Maine,NaN,1254,861,711,648,636,647
47,Alabama,NaN,2457,1828,1689,1796,2141,2731
48,Idaho,NaN,4842,5311,5981,6302,5763,4843
49,Montana,NaN,361,116,38,32,53,100
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,2015,1664,1496,1441,1478,1638
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
