,State,655,661,668,675,682,689,696
0,Washington,NaN,12366,11245,11362,12184,14117,17177
1,Illinois,NaN,17833,21246,26366,33077,41705,51969
2,California,NaN,45563,51903,64183,85117,116589,160259
3,Arizona,NaN,21358,24009,27179,30590,33995,36181
4,Massachusetts,NaN,9259,11068,14385,19567,26964,36334
5,Wisconsin,NaN,17253,19196,21218,23725,26472,29761
6,Texas,NaN,22975,22269,23981,28402,35632,46300
7,Nebraska,NaN,9976,13262,16269,18378,19188,18438
8,Utah,NaN,7468,7751,7924,8270,8856,9438
9,Oregon,NaN,7108,6792,6737,7049,7520,8333
10,Florida,NaN,12026,12091,13918,18103,26851,43403
11,New York,NaN,27374,29564,34184,42212,55093,73693
12,Rhode Island,NaN,1629,1627,1732,1950,2310,2829
13,Georgia,NaN,7914,7730,8123,9059,10771,13358
14,New Hampshire,NaN,6400,11260,17048,21251,21312,17763
15,North Carolina,NaN,12130,11145,10816,10906,11407,12362
16,New Jersey,NaN,9581,11399,15366,22675,32562,44296
17,Colorado,NaN,20557,21291,22098,23424,24759,26409
18,Maryland,NaN,5036,5352,6345,8154,11207,15804
19,Nevada,NaN,5355,6948,8743,10997,13740,16851
20,Tennessee,NaN,6653,6347,6511,7218,8706,11083
21,Hawaii,NaN,777,752,798,925,1106,1381
22,Indiana,NaN,11690,12437,13414,14780,16612,18843
23,Kentucky,NaN,7807,7391,7256,7443,8104,9140
24,Minnesota,NaN,30182,37769,43156,46588,46263,42513
25,Oklahoma,NaN,4627,3956,3723,3767,4093,4694
26,Pennsylvania,NaN,27130,27645,28165,28209,28419,28890
27,South Carolina,NaN,5230,5101,5264,6065,7360,9551
28,District of Columbia,NaN,572,561,607,734,912,1183
29,Kansas,NaN,5551,5434,5409,5623,6044,6703
30,Missouri,NaN,6811,7332,8013,9003,10450,12331
31,Vermont,NaN,1755,2084,2390,2726,3053,3383
32,Virginia,NaN,8837,8689,9064,10128,11884,14628
33,Connecticut,NaN,2468,2718,3314,4304,5923,8456
34,Iowa,NaN,7771,8198,8678,9296,10078,11028
35,Louisiana,NaN,3295,3609,4188,4839,5720,7099
36,Ohio,NaN,24789,25660,26848,28445,30809,33714
37,Michigan,NaN,34358,38798,42576,45933,49001,51486
38,South Dakota,NaN,2442,2585,2702,2906,3122,3415
39,Arkansas,NaN,2838,2748,2819,3020,3353,3903
40,Delaware,NaN,1675,1537,1481,1496,1557,1709
41,Mississippi,NaN,2171,1942,1960,2072,2399,2832
42,New Mexico,NaN,7521,8275,8813,9280,9912,10373
43,North Dakota,NaN,3386,3188,2945,2706,2475,2269
44,Wyoming,NaN,2365,2085,1831,1641,1516,1427
45,Alaska,NaN,3971,3420,2959,2582,2316,2183
46,Maine,NaN,3474,3661,3830,4063,4237,4518
47,Alabama,NaN,4396,4156,4464,5054,6027,7235
48,Idaho,NaN,4783,3949,3435,3211,3114,3079
49,Montana,NaN,4446,3838,3375,3018,2791,2635
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,5136,4620,4322,4067,4054,4117
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
