,State,529,535,542,549,556,563,570
0,Washington,NaN,1960,1740,1535,1340,1174,1007
1,Illinois,NaN,738,796,868,946,1020,1071
2,California,NaN,7740,10299,13236,16893,21266,25857
3,Arizona,NaN,3060,3663,4311,4946,5631,6207
4,Massachusetts,NaN,191,148,118,93,72,57
5,Wisconsin,NaN,263,262,276,290,315,336
6,Texas,NaN,7448,11528,20094,35196,52191,60542
7,Nebraska,NaN,302,304,309,319,320,330
8,Utah,NaN,1632,1649,1652,1588,1519,1447
9,Oregon,NaN,850,685,557,476,399,355
10,Florida,NaN,8823,9218,9563,9828,10052,10064
11,New York,NaN,1659,1554,1459,1357,1260,1152
12,Rhode Island,NaN,63,43,30,21,14,11
13,Georgia,NaN,1706,1871,2168,2679,3266,3998
14,New Hampshire,NaN,31,21,14,14,9,7
15,North Carolina,NaN,1325,1666,2362,3592,5423,7219
16,New Jersey,NaN,1225,1226,1212,1193,1180,1116
17,Colorado,NaN,1781,1578,1365,1192,1058,910
18,Maryland,NaN,240,229,229,231,232,234
19,Nevada,NaN,3490,4487,5483,6462,7037,7349
20,Tennessee,NaN,493,478,523,583,651,703
21,Hawaii,NaN,279,282,278,274,261,248
22,Indiana,NaN,1147,1148,1211,1299,1419,1480
23,Kentucky,NaN,588,534,534,537,547,567
24,Minnesota,NaN,316,274,252,234,213,200
25,Oklahoma,NaN,835,984,1130,1275,1435,1589
26,Pennsylvania,NaN,654,615,625,647,688,710
27,South Carolina,NaN,271,230,207,187,171,161
28,District of Columbia,NaN,33,26,20,14,10,7
29,Kansas,NaN,787,878,1020,1145,1279,1432
30,Missouri,NaN,5557,6624,7807,8991,10100,10698
31,Vermont,NaN,0,0,0,0,0,0
32,Virginia,NaN,655,896,1351,2096,3077,4104
33,Connecticut,NaN,207,193,180,164,149,128
34,Iowa,NaN,255,241,245,249,250,254
35,Louisiana,NaN,2693,3762,5494,8120,11689,15747
36,Ohio,NaN,951,808,757,726,730,735
37,Michigan,NaN,896,1327,2044,3156,4808,6761
38,South Dakota,NaN,8,7,7,7,7,7
39,Arkansas,NaN,2432,3354,4526,5896,7208,8153
40,Delaware,NaN,100,92,82,76,67,58
41,Mississippi,NaN,783,1003,1291,1651,2126,2639
42,New Mexico,NaN,194,153,131,112,91,73
43,North Dakota,NaN,25,18,14,14,14,14
44,Wyoming,NaN,272,269,271,264,257,242
45,Alaska,NaN,176,288,451,688,955,1271
46,Maine,NaN,50,37,29,28,22,20
47,Alabama,NaN,867,1074,1352,1655,2027,2491
48,Idaho,NaN,299,256,226,216,194,194
49,Montana,NaN,198,174,155,140,128,115
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,106,71,61,61,64,68
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
