,State,781,787,794,801,808,815,822
0,Washington,NaN,10045,15949,27088,45783,65725,75451
1,Illinois,NaN,8403,8091,8266,9345,11337,14788
2,California,NaN,34850,37410,42281,47097,54074,68324
3,Arizona,NaN,5742,7670,9915,13755,19854,30769
4,Massachusetts,NaN,4763,4132,3912,4102,4900,6416
5,Wisconsin,NaN,3215,2925,3041,3511,4682,6911
6,Texas,NaN,29444,37769,54410,80453,114932,154706
7,Nebraska,NaN,1219,1658,2496,4018,6975,10971
8,Utah,NaN,1046,815,732,720,789,948
9,Oregon,NaN,2932,2372,2206,2269,2592,3231
10,Florida,NaN,17202,14798,14546,16345,21138,31657
11,New York,NaN,12181,12538,14151,18175,25667,39239
12,Rhode Island,NaN,1732,1473,1289,1220,1192,1238
13,Georgia,NaN,6731,6511,6975,8316,10771,15289
14,New Hampshire,NaN,1028,628,481,437,438,460
15,North Carolina,NaN,11293,10013,9950,10651,12067,14055
16,New Jersey,NaN,7325,7249,8318,10904,15778,24270
17,Colorado,NaN,7384,8314,9737,11920,14893,18974
18,Maryland,NaN,2148,1914,2042,2572,3749,6377
19,Nevada,NaN,2399,2003,1995,2170,2614,3193
20,Tennessee,NaN,8771,8047,7750,8058,8988,10921
21,Hawaii,NaN,817,576,468,428,415,413
22,Indiana,NaN,3232,3647,4813,6931,10781,15799
23,Kentucky,NaN,4371,2448,1747,1498,1434,1431
24,Minnesota,NaN,5066,4826,4937,5519,6610,8090
25,Oklahoma,NaN,5623,5950,6573,7830,10152,13675
26,Pennsylvania,NaN,6196,5540,5691,6687,8921,13442
27,South Carolina,NaN,2223,1662,1498,1528,1740,2158
28,District of Columbia,NaN,69,20,7,7,10,24
29,Kansas,NaN,1571,1470,1651,1962,2193,2346
30,Missouri,NaN,3500,3594,4566,6905,10521,15105
31,Vermont,NaN,932,809,761,749,792,870
32,Virginia,NaN,8692,9556,11775,15632,20011,24772
33,Connecticut,NaN,3628,5174,7442,10807,14976,18528
34,Iowa,NaN,2519,1939,1835,2044,2522,3285
35,Louisiana,NaN,1700,1378,1297,1378,1646,2163
36,Ohio,NaN,4955,4382,4355,4836,5849,7807
37,Michigan,NaN,5772,4508,4052,4078,4495,5282
38,South Dakota,NaN,360,281,263,279,346,428
39,Arkansas,NaN,3137,3138,3515,4225,5067,6149
40,Delaware,NaN,806,827,870,1002,1256,1657
41,Mississippi,NaN,1201,973,941,1021,1189,1467
42,New Mexico,NaN,1845,1557,1446,1427,1521,1717
43,North Dakota,NaN,574,485,472,474,531,633
44,Wyoming,NaN,334,281,280,319,399,514
45,Alaska,NaN,2302,2410,2468,2381,2176,1950
46,Maine,NaN,2487,1408,1006,852,801,798
47,Alabama,NaN,7512,11234,16118,20015,20737,18954
48,Idaho,NaN,6923,8519,11239,11829,9488,6730
49,Montana,NaN,1544,902,664,603,613,671
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,2733,2173,1955,1933,2036,2316
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
