,County,326,332,339
0,01001,3300,246,349
1,01003,10806,876,1179
2,01005,1272,62,96
3,01007,1441,115,163
4,01009,3776,324,443
5,01011,728,35,57
6,01013,1330,94,142
7,01015,7813,617,849
8,01017,2013,115,167
9,01019,1197,81,116
10,01021,2547,151,224
11,01023,454,23,36
12,01025,2041,160,226
13,01027,1003,49,73
14,01029,882,54,77
15,01031,2921,215,304
16,01033,3843,268,368
17,01035,778,41,61
18,01037,433,32,41
19,01039,2525,146,213
20,01041,778,41,63
21,01043,5700,462,609
22,01045,2767,190,272
23,01047,2490,129,198
24,01049,5834,394,544
25,01051,4959,383,549
26,01053,2262,110,162
27,01055,7977,623,825
28,01057,1168,95,129
29,01059,2865,182,271
30,01061,1409,82,113
31,01063,546,52,73
32,01065,1132,79,117
33,01067,989,62,92
34,01069,6062,378,540
35,01071,4361,396,533
36,01073,40709,3439,4648
37,01075,855,77,108
38,01077,5078,373,494
39,01079,1585,118,162
40,01081,8744,549,803
41,01083,5315,410,559
42,01085,858,49,77
43,01087,843,54,80
44,01089,17030,1515,1999
45,01091,1473,117,169
46,01093,1684,125,176
47,01095,7801,593,817
48,01097,22169,1159,1721
49,01099,922,53,78
50,01101,13783,818,1208
51,01103,8492,691,937
52,01105,745,40,60
53,01107,1414,87,125
54,01109,1737,90,137
55,01111,1128,54,79
56,01113,2463,131,196
57,01115,5261,399,551
58,01117,12705,963,1331
59,01119,666,47,71
60,01121,4335,336,468
61,01123,2055,107,154
62,01125,15513,1147,1598
63,01127,4424,330,464
64,01129,1026,61,90
65,01131,779,54,79
66,01133,1637,109,151
67,02013,40,2,3
68,02016,161,27,35
69,02020,20350,1602,2144
70,02050,1960,172,203
71,02060,0,4,6
72,02068,56,4,6
73,02070,109,5,7
74,02090,4286,329,412
75,02100,20,1,1
76,02105,0,,NaN
77,02110,961,54,73
78,02122,3255,263,330
79,02130,223,14,18
80,02150,697,121,142
81,02158,626,,NaN
82,02164,153,0,0
83,02170,5471,543,690
84,02180,254,14,19
85,02185,661,64,84
86,02188,385,22,31
87,02195,28,1,2
88,02198,65,5,6
89,02220,237,17,21
90,02230,14,1,1
91,02240,358,26,31
92,02261,298,16,21
93,02275,23,1,2
94,02282,52,,NaN
95,02290,190,10,13
96,04001,6503,535,793
97,04003,5111,513,668
98,04005,9130,733,1025
99,04007,3630,292,406
100,04009,2610,197,254
101,04011,326,38,47
102,04012,1073,86,123
103,04013,253686,23059,28909
104,04015,8456,900,1260
105,04017,9647,782,1135
106,04019,51647,5431,7139
107,04021,21286,2181,2946
108,04023,4945,475,630
109,04025,8008,827,1037
110,04027,22384,2421,3380
111,05001,1099,67,94
112,05003,1056,84,106
113,05005,1663,103,125
114,05007,14302,917,1242
115,05009,2165,145,192
116,05011,689,78,107
117,05013,177,12,15
118,05015,1753,119,162
119,05017,1310,81,114
120,05019,1068,97,124
121,05021,1125,84,110
122,05023,899,74,92
123,05025,468,40,53
124,05027,1322,89,118
125,05029,927,96,121
126,05031,8413,558,764
127,05033,3678,241,331
128,05035,3709,206,298
129,05037,1091,99,134
130,05039,388,38,48
131,05041,749,68,93
132,05043,1136,130,168
133,05045,5972,475,643
134,05047,935,59,76
135,05049,636,40,51
136,05051,4583,340,449
137,05053,748,58,73
138,05055,3749,292,370
139,05057,1019,69,90
140,05059,3163,163,232
141,05061,929,59,80
142,05063,2351,136,196
143,05065,1070,54,73
144,05067,2421,196,244
145,05069,5691,302,455
146,05071,1475,97,127
147,05073,291,18,25
148,05075,1333,88,116
149,05077,1325,95,137
150,05079,2665,158,227
151,05081,694,35,48
152,05083,1153,81,102
153,05085,3256,231,317
154,05087,821,64,84
155,05089,524,35,41
156,05091,2341,117,168
157,05093,3796,241,334
158,05095,372,26,37
159,05097,397,40,51
160,05099,518,31,43
161,05101,498,26,36
162,05103,1052,104,124
163,05105,314,21,27
164,05107,1075,68,99
165,05109,494,46,60
166,05111,1973,140,186
167,05113,1020,83,102
168,05115,4374,298,423
169,05117,416,27,38
170,05119,19795,1389,1936
171,05121,1199,81,108
172,05123,2352,155,225
173,05125,6139,503,669
174,05127,469,37,47
175,05129,406,36,47
176,05131,8079,485,651
177,05133,1863,112,159
178,05135,870,63,76
179,05137,594,50,66
180,05139,1836,135,192
181,05141,560,69,83
182,05143,18041,1127,1523
183,05145,3560,231,307
184,05147,265,23,30
185,05149,1947,144,196
186,06001,37027,3893,5602
187,06003,63,5,7
188,06005,1513,197,248
189,06007,4972,391,571
190,06009,708,89,121
191,06011,945,82,112
192,06013,29599,2287,3284
193,06015,536,53,73
194,06017,3754,506,672
195,06019,43756,2830,4221
196,06021,1143,90,125
197,06023,1231,89,119
198,06025,18947,1985,2691
199,06027,388,36,52
200,06029,49939,4603,6587
201,06031,13205,1064,1548
202,06033,1232,130,183
203,06035,3127,275,261
204,06037,525486,67791,94807
205,06039,7765,800,997
206,06041,8410,531,845
207,06043,178,19,26
208,06045,1931,189,266
209,06047,14483,1305,1311
210,06049,240,23,29
211,06051,700,53,74
212,06053,18596,1247,1835
213,06055,4113,431,598
214,06057,1981,187,253
215,06059,102514,12985,17458
216,06061,9390,944,1237
217,06063,340,38,49
218,06065,118335,16432,21732
219,06067,48319,5086,5926
220,06069,2447,253,366
221,06071,126738,17248,23227
222,06073,107372,9906,11793
223,06075,18413,1557,2272
224,06077,32200,3237,3726
225,06079,7462,563,692
226,06081,17724,1697,2088
227,06083,13174,953,1430
228,06085,48015,7112,9008
229,06087,5905,695,975
230,06089,6853,658,659
231,06091,27,2,3
232,06093,914,57,78
233,06095,12748,1126,1206
234,06097,14705,913,1252
235,06099,26744,2817,4172
236,06101,4717,372,456
237,06103,2357,218,288
238,06105,225,21,26
239,06107,25333,2195,2624
240,06109,1547,209,255
241,06111,25955,2694,3664
242,06113,6117,582,805
243,06115,2820,170,212
244,08001,35145,2342,3030
245,08003,798,73,93
246,08005,32946,2335,2988
247,08007,414,55,65
248,08009,154,17,22
249,08011,664,140,144
250,08013,12948,750,982
251,08014,2446,164,211
252,08015,821,77,102
253,08017,85,10,13
254,08019,232,17,21
255,08021,245,20,25
256,08023,113,11,15
257,08025,1430,104,144
258,08027,120,17,22
259,08029,1073,136,162
260,08031,42578,1901,2366
261,08033,40,6,7
262,08035,13504,1087,1410
263,08037,2851,224,302
264,08039,817,73,95
265,08041,35123,2657,3316
266,08043,3701,298,366
267,08045,2995,284,364
268,08047,105,7,9
269,08049,521,43,54
270,08051,542,39,53
271,08053,12,1,1
272,08055,236,23,28
273,08057,25,2,3
274,08059,25748,1961,2567
275,08061,53,7,9
276,08063,390,41,54
277,08065,354,27,34
278,08067,1889,199,249
279,08069,13069,1071,1381
280,08071,374,44,53
281,08073,691,95,122
282,08075,2757,165,217
283,08077,7515,628,787
284,08079,37,2,3
285,08081,428,46,56
286,08083,990,101,126
287,08085,1632,198,246
