,County,300,311
0,01001,2506,75
1,01003,7772,272
2,01005,1134,21
3,01007,1004,23
4,01009,2594,140
5,01011,678,12
6,01013,1099,37
7,01015,5702,240
8,01017,1595,66
9,01019,919,46
10,01021,2093,47
11,01023,411,5
12,01025,1507,47
13,01027,852,37
14,01029,684,19
15,01031,2195,144
16,01033,2792,270
17,01035,647,22
18,01037,273,25
19,01039,2047,66
20,01041,680,11
21,01043,3799,364
22,01045,2197,83
23,01047,2087,50
24,01049,4260,198
25,01051,3720,109
26,01053,1883,52
27,01055,5440,254
28,01057,757,31
29,01059,2351,72
30,01061,1118,35
31,01063,379,13
32,01065,879,36
33,01067,817,21
34,01069,4800,213
35,01071,2741,158
36,01073,28420,1465
37,01075,588,14
38,01077,3431,208
39,01079,1098,56
40,01081,7278,315
41,01083,3723,158
42,01085,767,7
43,01087,662,29
44,01089,11523,423
45,01091,1139,21
46,01093,1294,38
47,01095,5384,329
48,01097,18696,584
49,01099,733,25
50,01101,11709,510
51,01103,5535,259
52,01105,642,10
53,01107,1083,45
54,01109,1511,40
55,01111,958,55
56,01113,2087,47
57,01115,3764,191
58,01117,9160,448
59,01119,537,29
60,01121,3188,156
61,01123,1614,80
62,01125,11949,374
63,01127,3326,119
64,01129,880,30
65,01131,608,11
66,01133,1149,70
67,02013,22,7
68,02016,106,9
69,02020,13275,1237
70,02050,967,22
71,02060,0,3
72,02068,39,2
73,02070,85,4
74,02090,2932,339
75,02100,16,3
76,02105,0,5
77,02110,760,89
78,02122,1831,231
79,02130,181,55
80,02150,175,21
81,02158,359,NaN
82,02164,137,11
83,02170,2385,204
84,02180,170,7
85,02185,383,26
86,02188,311,3
87,02195,23,9
88,02198,46,13
89,02220,135,64
90,02230,7,6
91,02240,163,46
92,02261,221,14
93,02275,20,6
94,02282,40,3
95,02290,140,6
96,04001,4488,409
97,04003,2777,208
98,04005,6476,568
99,04007,2388,158
100,04009,1720,136
101,04011,132,13
102,04012,687,22
103,04013,178639,14297
104,04015,5208,352
105,04017,7231,538
106,04019,33444,1613
107,04021,13936,759
108,04023,3337,93
109,04025,3791,223
110,04027,15642,679
111,05001,858,34
112,05003,696,68
113,05005,1125,166
114,05007,10543,509
115,05009,1417,138
116,05011,401,4
117,05013,111,25
118,05015,1195,36
119,05017,1104,19
120,05019,695,66
121,05021,713,99
122,05023,605,40
123,05025,307,11
124,05027,890,75
125,05029,521,71
126,05031,6124,339
127,05033,2711,134
128,05035,2932,86
129,05037,706,19
130,05039,242,30
131,05041,488,9
132,05043,532,24
133,05045,4181,216
134,05047,676,17
135,05049,459,19
136,05051,3248,373
137,05053,473,32
138,05055,2277,185
139,05057,733,40
140,05059,2635,99
141,05061,728,29
142,05063,1880,169
143,05065,923,35
144,05067,1287,274
145,05069,4831,90
146,05071,1160,29
147,05073,234,3
148,05075,1034,39
149,05077,1142,12
150,05079,2365,12
151,05081,572,26
152,05083,776,44
153,05085,2320,100
154,05087,536,26
155,05089,326,84
156,05091,1931,68
157,05093,2869,120
158,05095,271,6
159,05097,221,10
160,05099,391,15
161,05101,384,18
162,05103,526,64
163,05105,205,3
164,05107,846,13
165,05109,326,13
166,05111,1495,65
167,05113,609,115
168,05115,3270,217
169,05117,324,14
170,05119,14684,1028
171,05121,861,38
172,05123,1929,28
173,05125,3957,323
174,05127,302,13
175,05129,258,28
176,05131,6218,410
177,05133,1601,69
178,05135,555,87
179,05137,431,11
180,05139,1358,98
181,05141,278,11
182,05143,13782,579
183,05145,2419,417
184,05147,172,9
185,05149,1509,60
186,06001,26460,780
187,06003,36,76
188,06005,414,9
189,06007,3490,NaN
190,06009,402,20
191,06011,603,4
192,06013,21458,766
193,06015,235,13
194,06017,1701,NaN
195,06019,34593,226
196,06021,786,NaN
197,06023,695,NaN
198,06025,14301,NaN
199,06027,263,2
200,06029,36919,976
201,06031,9601,11
202,06033,788,4
203,06035,1135,458
204,06037,344523,21425
205,06039,5561,30
206,06041,7409,NaN
207,06043,92,3
208,06045,1311,51
209,06047,10552,NaN
210,06049,98,5
211,06051,493,148
212,06053,13110,602
213,06055,2536,NaN
214,06057,901,55
215,06059,65957,2992
216,06061,5489,NaN
217,06063,147,0
218,06065,76724,NaN
219,06067,30999,NaN
220,06069,1643,72
221,06071,76685,3460
222,06073,66319,3088
223,06075,13847,500
224,06077,23734,307
225,06079,5250,NaN
226,06081,12684,520
227,06083,10577,NaN
228,06085,29023,882
229,06087,3542,NaN
230,06089,3483,32
231,06091,15,NaN
232,06093,403,6
233,06095,9088,11
234,06097,11133,364
235,06099,19510,587
236,06101,2399,NaN
237,06103,1261,112
238,06105,83,NaN
239,06107,19054,163
240,06109,569,304
241,06111,16691,101
242,06113,3892,176
243,06115,1618,NaN
244,08001,23339,3649
245,08003,465,103
246,08005,20970,3335
247,08007,106,45
248,08009,45,3
249,08011,37,17
250,08013,8791,1717
251,08014,1581,130
252,08015,508,22
253,08017,29,28
254,08019,145,39
