,State,424,430,437,444,451,458
0,Washington,5174,59,60,65,74,87
1,Illinois,23357,153,154,159,167,179
2,California,57505,493,384,302,242,199
3,Arizona,16745,143,111,88,75,68
4,Massachusetts,16867,221,240,283,355,463
5,Wisconsin,7240,59,58,62,68,76
6,Texas,47346,740,623,559,540,552
7,Nebraska,2135,9,9,9,10,12
8,Utah,2062,35,33,35,38,43
9,Oregon,2363,29,29,31,35,42
10,Florida,32742,458,424,406,400,403
11,New York,49426,540,545,569,608,655
12,Rhode Island,2595,27,30,35,42,51
13,Georgia,18530,227,199,190,196,218
14,New Hampshire,1217,16,17,19,22,26
15,North Carolina,11820,123,110,105,107,115
16,New Jersey,24174,309,340,386,449,531
17,Colorado,6073,39,41,45,53,65
18,Maryland,8170,107,116,129,144,160
19,Nevada,5172,55,53,56,63,75
20,Tennessee,11709,72,73,80,91,105
21,Hawaii,453,4,5,6,8,9
22,Indiana,12946,86,85,90,103,126
23,Kentucky,5738,118,100,87,80,78
24,Minnesota,6850,59,74,100,140,196
25,Oklahoma,4788,89,73,64,59,58
26,Pennsylvania,24796,233,246,274,320,386
27,South Carolina,9007,90,73,62,56,53
28,District of Columbia,1050,8,9,10,12,15
29,Kansas,4798,28,23,20,19,19
30,Missouri,8718,79,74,75,80,89
31,Vermont,219,5,6,7,8,11
32,Virginia,10117,94,87,86,90,100
33,Connecticut,7832,65,70,78,90,103
34,Iowa,5675,53,49,48,49,52
35,Louisiana,9988,102,90,88,93,104
36,Ohio,18339,157,159,171,191,217
37,Michigan,16906,152,207,309,488,781
38,South Dakota,1923,13,14,17,21,27
39,Arkansas,5539,60,48,40,36,34
40,Delaware,1529,29,31,35,40,47
41,Mississippi,6956,62,61,64,70,77
42,New Mexico,3889,36,33,32,33,35
43,North Dakota,1492,6,7,9,11,14
44,Wyoming,693,4,4,4,5,5
45,Alaska,310,2,2,2,3,3
46,Maine,729,12,15,19,25,33
47,Alabama,10436,115,110,113,122,136
48,Idaho,1941,33,38,47,60,79
49,Montana,1414,15,15,16,18,21
50,Puerto Rico,2096,18,19,23,29,39
51,Virgin Islands,25,NaN,NaN,NaN,NaN,NaN
52,Guam,134,NaN,NaN,NaN,NaN,NaN
53,West Virginia,2606,21,23,27,34,44
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
