,State,410,416,423,430,437,444
0,Washington,5041,86,76,69,65,63
1,Illinois,23015,230,209,194,180,167
2,California,54220,828,614,464,357,280
3,Arizona,16328,268,197,144,105,77
4,Massachusetts,16417,227,196,173,156,142
5,Wisconsin,7106,85,70,58,48,40
6,Texas,45315,1179,945,753,599,477
7,Nebraska,2113,26,22,19,16,14
8,Utah,1976,26,22,18,15,13
9,Oregon,2296,39,34,30,28,27
10,Florida,31683,734,646,576,520,476
11,New York,48335,688,659,633,606,574
12,Rhode Island,2541,24,24,25,25,25
13,Georgia,17906,435,363,305,260,223
14,New Hampshire,1184,11,10,10,9,9
15,North Carolina,11502,227,188,155,129,109
16,New Jersey,23574,330,312,294,274,252
17,Colorado,5990,44,42,40,40,40
18,Maryland,7955,93,81,72,66,61
19,Nevada,5037,56,43,33,26,20
20,Tennessee,11547,162,138,120,105,93
21,Hawaii,444,5,4,4,4,3
22,Indiana,12737,138,113,94,79,68
23,Kentucky,4819,143,117,96,78,63
24,Minnesota,6618,57,56,56,55,54
25,Oklahoma,4534,108,82,63,48,37
26,Pennsylvania,24334,309,274,247,226,210
27,South Carolina,8754,171,129,92,63,43
28,District of Columbia,1030,14,13,12,11,10
29,Kansas,4768,67,54,44,37,32
30,Missouri,8506,153,121,97,78,63
31,Vermont,208,5,5,5,6,7
32,Virginia,9596,130,107,89,75,64
33,Connecticut,7704,69,60,52,46,41
34,Iowa,5558,85,74,65,57,50
35,Louisiana,9748,101,81,65,54,46
36,Ohio,17501,108,87,69,55,44
37,Michigan,16658,132,133,145,165,191
38,South Dakota,1900,19,20,21,21,22
39,Arkansas,5319,50,40,32,25,21
40,Delaware,1473,38,34,30,27,25
41,Mississippi,6808,87,69,54,44,35
42,New Mexico,3808,68,56,46,38,31
43,North Dakota,1479,5,5,5,5,5
44,Wyoming,682,7,6,5,5,4
45,Alaska,305,5,5,5,5,5
46,Maine,706,17,15,13,13,12
47,Alabama,10148,190,149,118,94,75
48,Idaho,1879,21,19,17,16,15
49,Montana,1381,14,12,10,9,7
50,Puerto Rico,2059,27,24,22,22,22
51,Virgin Islands,25,NaN,NaN,NaN,NaN,NaN
52,Guam,133,NaN,NaN,NaN,NaN,NaN
53,West Virginia,2325,24,20,17,14,13
54,Northern Mariana Islands,2,NaN,NaN,NaN,NaN,NaN
55,American Samoa,0,NaN,NaN,NaN,NaN,NaN
