,State,746,752,759,766,773,780,787
0,Washington,NaN,89889,59383,42917,34408,30232,28018
1,Illinois,NaN,61505,38861,28485,23908,21854,20904
2,California,NaN,329851,220595,166331,141428,130582,126048
3,Arizona,NaN,71537,45622,33433,27607,24540,22829
4,Massachusetts,NaN,31166,21400,16862,14851,13979,13587
5,Wisconsin,NaN,31667,18987,14154,12201,11359,10930
6,Texas,NaN,200134,145785,121506,111304,102435,90193
7,Nebraska,NaN,13057,8618,6607,5605,5031,4698
8,Utah,NaN,17620,11072,8582,7568,7159,6973
9,Oregon,NaN,33987,24275,19171,16209,14290,12916
10,Florida,NaN,177191,118357,87116,71380,63069,59051
11,New York,NaN,63764,46085,37664,33594,31490,30456
12,Rhode Island,NaN,18923,12423,8726,6900,6035,5637
13,Georgia,NaN,70991,52357,40991,34617,30667,27933
14,New Hampshire,NaN,9223,6657,5202,4341,3838,3511
15,North Carolina,NaN,101076,67318,49766,41193,37052,35101
16,New Jersey,NaN,27809,20536,17054,15407,14665,14318
17,Colorado,NaN,32170,21960,17310,15236,14344,13767
18,Maryland,NaN,12464,9145,7619,6887,6545,6424
19,Nevada,NaN,17586,10013,7460,6701,6496,6450
20,Tennessee,NaN,91606,68555,48463,34442,24989,19249
21,Hawaii,NaN,10109,6553,4954,4271,3988,3867
22,Indiana,NaN,47845,31841,23785,19601,17499,16281
23,Kentucky,NaN,54648,36664,25968,19890,16415,14304
24,Minnesota,NaN,60803,41898,31193,24803,20826,18009
25,Oklahoma,NaN,63602,45439,31157,21828,16232,13131
26,Pennsylvania,NaN,56743,40241,31496,27225,25116,24026
27,South Carolina,NaN,64750,46328,36219,31037,28483,27143
28,District of Columbia,NaN,787,397,179,71,26,10
29,Kansas,NaN,24634,15306,11389,9882,9281,8887
30,Missouri,NaN,35729,24636,20518,19525,20400,21030
31,Vermont,NaN,2458,1355,908,752,690,660
32,Virginia,NaN,48472,34428,26359,21885,19424,18059
33,Connecticut,NaN,11358,7765,6215,5557,5239,5104
34,Iowa,NaN,23850,17269,13807,11709,10376,9399
35,Louisiana,NaN,29059,21081,16825,14301,12785,11842
36,Ohio,NaN,43783,28424,22370,19900,18868,18378
37,Michigan,NaN,64866,41933,30838,25203,22226,20503
38,South Dakota,NaN,5165,3413,2684,2373,2203,2116
39,Arkansas,NaN,22998,16273,12730,10853,9784,9134
40,Delaware,NaN,4562,3055,2419,2167,2059,2013
41,Mississippi,NaN,31183,25859,21053,16906,13506,10986
42,New Mexico,NaN,19901,12971,9454,7752,6902,6454
43,North Dakota,NaN,8446,5759,4392,3704,3319,3096
44,Wyoming,NaN,5878,4039,3255,3039,2922,2818
45,Alaska,NaN,12383,8748,6426,5009,4109,3487
46,Maine,NaN,6901,6146,5299,4456,3635,2939
47,Alabama,NaN,75612,57923,49785,46193,44625,43870
48,Idaho,NaN,14102,10039,7437,5599,4435,3650
49,Montana,NaN,11362,8565,6504,5108,4019,3291
50,Puerto Rico,NaN,NaN,NaN,NaN,NaN,NaN,NaN
51,Virgin Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52,Guam,NaN,NaN,NaN,NaN,NaN,NaN,NaN
53,West Virginia,NaN,19275,13240,9430,7231,5967,5172
54,Northern Mariana Islands,NaN,NaN,NaN,NaN,NaN,NaN,NaN
55,American Samoa,NaN,NaN,NaN,NaN,NaN,NaN,NaN
